date,open,high,low,close,volume,oi
2025-01-20,66.6,68.6,66.35,67.77,51442654,0
2025-01-27,68.39,70.0,67.37,68.95,81141697,0
2025-02-03,70.0,73.55,68.47,71.54,106994958,0
2025-02-10,73.7,73.7,71.0,72.22,99970270,0
2025-02-17,71.68,73.18,70.93,72.08,71452778,0
2025-02-24,72.88,73.18,70.53,71.1,86236669,0
2025-03-03,71.6,72.85,70.66,72.21,55776827,0
2025-03-10,71.99,72.97,71.71,72.82,28536166,0
2025-03-17,73.88,75.18,72.0,73.95,70336278,0
2025-03-24,74.18,74.8,72.56,74.16,131475726,0
2025-04-01,75.84,80.0,74.56,74.99,127754390,0
2025-04-07,74.6,78.71,65.85,77.9,136406371,0
2025-04-15,78.5,80.28,77.6,79.53,62459982,0
2025-04-21,80.85,83.56,79.4,80.03,130384440,0
2025-04-28,80.8,81.2,77.36,78.91,87935456,0
2025-05-05,78.95,83.33,78.22,80.8,97382378,0
2025-05-12,79.38,79.88,76.36,77.78,111552133,0
2025-05-19,78.42,80.42,77.63,79.51,126424772,0
2025-05-26,79.51,81.95,77.38,79.49,48264601,0
2025-06-02,80.9,83.75,79.42,81.23,68013766,0
2025-06-09,80.82,83.83,79.9,83.13,80228733,0
2025-06-16,84.2,85.0,81.79,82.23,74250451,0
2025-06-23,83.33,83.33,79.74,79.81,87922675,0
2025-06-30,82.2,82.2,79.54,80.89,67340368,0
2025-07-07,80.9,84.78,79.0,81.15,46857871,0
2025-07-14,82.5,83.79,79.9,81.73,40553937,0
2025-07-21,84.18,84.7,79.67,82.1,71450962,0
2025-07-28,83.89,84.67,80.0,81.95,71207024,0
2025-08-04,83.99,84.63,80.5,84.36,66884060,0
2025-08-11,83.84,84.4,82.0,83.14,45681064,0
2025-08-18,83.5,84.78,80.02,82.62,55998015,0
2025-08-25,83.93,86.01,83.0,85.34,54385430,0
2025-09-01,86.76,89.89,84.44,88.65,114882049,0
2025-09-08,89.29,92.9,88.65,91.26,131783383,0
2025-09-15,93.0,93.0,90.45,91.29,111963474,0
2025-09-22,92.0,97.5,91.43,94.22,163985489,0
2025-09-29,94.8,97.79,94.34,97.07,166658262,0
2025-10-06,98.2,102.6,97.35,100.67,275065165,0
2025-10-13,102.6,108.69,101.6,108.11,331380020,0
2025-10-20,106.9,108.21,95.55,100.42,277030320,0
2025-10-27,100.75,101.21,96.6,100.02,241171497,0
2025-11-03,100.02,100.7,99.03,99.94,86677967,0
2025-11-10,101.19,105.46,100.46,103.81,155714537,0
2025-11-17,103.36,103.36,100.01,102.0,129774415,0
2025-11-24,101.99,104.98,101.55,104.62,110165986,0
2025-12-01,106.09,107.02,105.39,106.89,135074488,0
2025-12-08,106.77,109.98,105.5,109.61,133102551,0
2025-12-15,110.45,111.77,109.2,109.82,181343979,0
2025-12-22,110.7,115.0,110.34,114.31,206478003,0
2025-12-29,115.44,117.0,109.7,111.82,230737194,0
2026-01-05,112.16,113.99,111.42,113.61,212355221,0
2026-01-12,115.7,118.49,114.81,117.78,273323478,0
2026-01-19,119.15,126.9,118.56,126.68,256867833,0
