date,open,high,low,close,volume,oi
2025-01-20,211.97,211.97,199.86,202.87,2540161,0
2025-01-27,201.99,206.4,193.12,203.62,5594192,0
2025-02-03,203.99,207.97,200.0,203.4,7749365,0
2025-02-10,206.99,206.99,187.1,189.38,5729566,0
2025-02-17,194.2,196.99,185.0,191.7,7949585,0
2025-02-24,193.99,193.99,180.68,183.02,3810237,0
2025-03-03,187.4,191.96,179.0,188.61,3993903,0
2025-03-10,191.0,191.5,181.11,184.08,2244264,0
2025-03-17,188.99,200.5,183.16,197.71,3860217,0
2025-03-24,198.42,204.6,194.01,197.3,3496056,0
2025-04-01,201.6,201.6,191.15,192.58,3577429,0
2025-04-07,196.0,196.8,180.39,191.6,4468077,0
2025-04-15,197.45,202.6,193.01,199.41,2461890,0
2025-04-21,199.01,209.87,199.01,202.29,6587197,0
2025-04-28,204.8,208.2,197.8,203.43,2502910,0
2025-05-05,207.0,209.99,195.01,201.82,5916938,0
2025-05-12,206.64,215.72,204.11,215.21,4188167,0
2025-05-19,216.99,217.49,211.51,214.98,3480144,0
2025-05-26,218.8,219.99,213.14,217.61,3418319,0
2025-06-02,221.6,223.45,216.01,223.17,3545852,0
2025-06-09,223.5,227.99,216.17,220.81,3650550,0
2025-06-16,219.01,226.1,215.33,219.23,4334590,0
2025-06-23,218.99,227.0,215.61,225.01,4277887,0
2025-06-30,224.05,228.9,224.02,225.5,5440585,0
2025-07-07,222.3,227.8,222.3,222.96,3658139,0
2025-07-14,225.2,228.2,221.0,225.26,1972283,0
2025-07-21,222.01,227.6,221.43,221.84,3109220,0
2025-07-28,225.99,225.99,214.91,217.7,2297109,0
2025-08-04,219.47,222.0,214.72,215.2,2698698,0
2025-08-11,217.8,219.25,214.03,216.78,1574898,0
2025-08-18,210.28,224.2,210.28,221.34,2999211,0
2025-08-25,223.34,223.99,213.27,213.5,3695353,0
2025-09-01,215.9,222.0,213.5,217.9,2716469,0
2025-09-08,216.2,223.7,216.2,222.34,2462750,0
2025-09-15,224.6,235.0,221.04,225.97,3781054,0
2025-09-22,227.9,227.9,216.11,216.44,4268068,0
2025-09-29,218.6,224.04,214.7,220.73,2445026,0
2025-10-06,223.99,224.8,218.6,223.48,3980285,0
2025-10-13,224.99,226.97,217.32,224.31,2887353,0
2025-10-20,223.19,228.58,222.74,225.55,3292806,0
2025-10-27,227.9,229.99,225.05,227.13,2557955,0
2025-11-03,229.3,231.99,222.01,227.44,2682209,0
2025-11-10,225.01,232.03,225.01,230.43,4243868,0
2025-11-17,237.34,239.0,223.52,228.62,4669624,0
2025-11-24,228.62,232.5,227.1,231.18,2684070,0
2025-12-01,233.0,235.26,227.32,229.28,2663341,0
2025-12-08,229.99,229.99,221.9,227.99,6267167,0
2025-12-15,228.4,229.96,223.39,228.51,2795102,0
2025-12-22,229.94,231.99,228.02,228.46,5802466,0
2025-12-29,229.97,233.0,226.41,232.35,3149598,0
2026-01-05,234.99,239.29,225.99,226.93,5128428,0
2026-01-12,228.99,229.95,223.33,227.0,3124255,0
2026-01-19,229.84,229.84,219.54,220.4,1874269,0
