date,open,high,low,close,volume,oi
2025-01-20,71.14,72.14,68.06,68.53,12965595,0
2025-01-27,68.54,71.25,67.43,69.08,21279172,0
2025-02-03,69.09,70.99,67.67,69.0,13314008,0
2025-02-10,69.67,69.78,64.7,65.43,8149621,0
2025-02-17,65.44,67.72,64.03,66.19,19399855,0
2025-02-24,65.92,66.62,62.37,62.97,4539531,0
2025-03-03,64.19,66.35,61.54,65.83,7352545,0
2025-03-10,66.97,66.97,63.68,64.16,8030217,0
2025-03-17,64.97,68.38,63.67,68.24,25439226,0
2025-03-24,68.35,71.21,67.85,69.44,18407508,0
2025-04-01,70.75,71.9,68.0,69.74,9476072,0
2025-04-07,67.89,69.9,65.48,68.7,10680800,0
2025-04-15,70.0,72.89,69.16,72.47,15425420,0
2025-04-21,73.0,76.05,71.76,72.61,26338387,0
2025-04-28,74.79,75.97,71.81,72.8,9298478,0
2025-05-05,72.97,73.76,66.59,69.51,12078946,0
2025-05-12,70.52,74.46,70.52,74.09,18642397,0
2025-05-19,74.7,75.85,73.87,74.81,20819652,0
2025-05-26,75.18,78.58,74.29,78.1,18685710,0
2025-06-02,78.1,81.52,77.0,79.09,42821823,0
2025-06-09,80.43,81.92,76.0,77.42,24922508,0
2025-06-16,79.0,79.0,74.85,76.58,12409647,0
2025-06-23,74.66,79.91,74.44,78.49,9563381,0
2025-06-30,77.24,81.6,77.24,79.71,30414887,0
2025-07-07,81.7,81.7,76.44,78.23,11850092,0
2025-07-14,79.47,83.15,77.72,79.85,14555064,0
2025-07-21,79.85,80.97,77.7,78.15,9632238,0
2025-07-28,77.0,79.6,75.35,75.72,9805564,0
2025-08-04,73.82,78.28,73.82,76.75,12734094,0
2025-08-11,76.02,80.43,76.02,78.44,6640725,0
2025-08-18,79.3,80.6,76.82,77.94,9009940,0
2025-08-25,79.88,79.88,74.39,75.21,6844926,0
2025-09-01,76.4,79.04,74.31,76.27,7004505,0
2025-09-08,75.2,79.6,75.2,78.65,6362954,0
2025-09-15,76.68,82.73,76.68,82.38,15540520,0
2025-09-22,82.38,84.41,80.33,80.99,16292186,0
2025-09-29,80.25,84.85,80.25,84.66,14491846,0
2025-10-06,84.66,86.13,83.32,85.83,12627557,0
2025-10-13,85.83,86.95,84.52,85.14,15605784,0
2025-10-20,85.72,88.99,85.4,87.22,15276156,0
2025-10-27,87.3,92.27,87.23,91.27,24801703,0
2025-11-03,91.39,94.1,90.76,93.09,19149945,0
2025-11-10,90.76,93.99,90.76,93.72,14097432,0
2025-11-17,93.89,96.59,93.08,93.21,29070969,0
2025-11-24,93.6,96.55,92.88,95.01,17461705,0
2025-12-01,95.01,97.66,91.52,93.44,23069037,0
2025-12-08,93.63,94.05,89.7,91.87,15978305,0
2025-12-15,91.87,94.85,89.7,92.91,11066569,0
2025-12-22,95.23,95.23,91.31,92.09,5888578,0
2025-12-29,92.49,97.6,91.11,97.2,19975727,0
2026-01-05,97.69,99.4,93.21,95.6,15789819,0
2026-01-12,97.99,101.3,94.4,100.47,16704436,0
2026-01-19,100.93,101.48,98.4,98.46,8268737,0
