date,open,high,low,close,volume,oi
2025-04-21,31000,31220,30600,30915,7917,0
2025-04-22,30915,31140,30640,31015,4188,0
2025-04-23,31150,31400,30370,30470,7426,0
2025-04-24,30680,30680,30010,30060,6809,0
2025-04-25,30060,30295,29430,29705,5704,0
2025-04-28,29450,29945,29450,29780,4970,0
2025-04-29,29810,30145,29565,30100,5450,0
2025-04-30,30000,30100,29700,29985,3754,0
2025-05-02,29990,30845,29755,30725,6682,0
2025-05-05,30725,30985,30455,30725,8416,0
2025-05-06,30695,30695,30015,30160,10889,0
2025-05-07,30105,30585,29630,30345,10766,0
2025-05-08,30050,30525,29855,30005,12370,0
2025-05-09,29800,30300,29555,30165,3367,0
2025-05-12,30300,30595,30010,30065,5054,0
2025-05-13,30000,30500,30000,30390,6003,0
2025-05-14,30390,30645,30250,30325,4970,0
2025-05-15,30495,30555,30225,30330,6204,0
2025-05-16,31000,31500,30465,30560,32062,0
2025-05-19,30800,30860,30555,30685,6073,0
2025-05-20,30805,30960,30610,30845,26271,0
2025-05-21,30845,31590,30745,31435,22684,0
2025-05-22,31400,31420,30750,31145,7710,0
2025-05-23,31200,31245,30750,30795,4657,0
2025-05-26,30990,31100,29940,30220,8605,0
2025-05-27,30450,30500,30205,30415,3586,0
2025-05-28,30490,30500,30000,30120,4788,0
2025-05-29,30120,30450,30050,30350,3531,0
2025-05-30,30350,30620,30130,30455,3530,0
2025-06-02,30455,30840,30110,30605,9476,0
2025-06-03,30750,31390,30500,31135,11464,0
2025-06-04,31395,31620,31045,31295,13335,0
2025-06-05,31400,31900,31290,31695,25789,0
2025-06-06,31850,32200,30950,31630,16700,0
2025-06-09,31750,31985,31490,31810,4819,0
2025-06-10,32000,32100,31550,31645,3041,0
2025-06-11,31645,31795,31540,31635,2838,0
2025-06-12,31640,31850,31400,31575,9056,0
2025-06-13,31400,31625,31100,31515,5791,0
2025-06-16,31510,31875,31415,31675,3428,0
2025-06-17,31675,31845,31325,31800,14707,0
2025-06-18,31800,32000,31500,31565,3647,0
2025-06-19,31895,32085,30800,31030,8828,0
2025-06-20,31100,31745,30610,31620,9994,0
2025-06-23,31265,31455,30880,31050,6678,0
2025-06-24,31370,31800,31100,31535,9207,0
2025-06-25,31560,31795,31365,31680,5191,0
2025-06-26,31680,33255,31605,33055,30735,0
2025-06-27,33060,37000,32955,34940,53061,0
2025-06-30,34945,35790,34140,35670,25043,0
2025-07-01,35675,35800,34455,34665,15146,0
2025-07-02,34845,35590,34310,35460,13570,0
2025-07-03,35465,35955,35100,35420,13655,0
2025-07-04,35420,35675,34660,34735,9978,0
2025-07-07,34895,35010,34300,34485,6130,0
2025-07-08,34695,34985,33780,34160,7819,0
2025-07-09,34250,34600,34000,34390,10341,0
2025-07-10,34500,34845,34125,34555,4398,0
2025-07-11,34545,34735,34310,34420,3025,0
2025-07-14,34330,34500,34190,34295,2513,0
2025-07-15,34340,34595,34100,34275,4705,0
2025-07-16,34290,34535,34005,34280,3902,0
2025-07-17,34300,34440,34085,34165,4667,0
2025-07-18,34250,34390,33910,34125,4287,0
2025-07-21,34250,34350,33940,34085,2808,0
2025-07-22,34250,34320,34060,34130,4044,0
2025-07-23,34150,34950,34035,34735,7134,0
2025-07-24,34900,35290,34420,34580,6926,0
2025-07-25,34175,34290,33545,33780,5504,0
2025-07-28,33785,33870,32565,32895,6363,0
2025-07-29,32960,34750,32865,34710,14011,0
2025-07-30,34600,35310,34215,35195,8866,0
2025-07-31,34600,35100,34315,34405,6195,0
2025-08-01,34550,34815,33205,33595,7114,0
2025-08-04,33595,34220,33235,33995,5526,0
2025-08-05,33855,34100,33200,33255,7996,0
2025-08-06,33320,33500,32415,32605,8725,0
2025-08-07,32250,32900,32250,32720,4237,0
2025-08-08,32720,32990,32600,32845,3019,0
2025-08-11,32870,33070,32645,32980,3041,0
2025-08-12,33270,33800,31910,32560,12077,0
2025-08-13,32745,34060,32320,32940,18236,0
2025-08-14,33215,33480,32615,33265,6346,0
2025-08-18,33495,33495,32530,32590,7265,0
2025-08-19,32840,33145,32605,33065,4813,0
2025-08-20,33185,33185,32405,32595,9480,0
2025-08-21,32895,32900,32525,32635,3647,0
2025-08-22,32745,32775,31750,31875,6997,0
2025-08-25,32145,32145,31470,31520,6091,0
2025-08-26,31615,32050,31175,31885,10802,0
2025-08-28,32000,32025,31355,31475,8264,0
2025-08-29,31660,31945,31315,31480,4571,0
2025-09-01,31650,32315,31500,32130,6106,0
2025-09-02,32300,32700,32025,32495,6945,0
2025-09-03,32495,32775,32155,32575,5036,0
2025-09-04,32565,32755,32000,32175,4023,0
2025-09-05,32385,32385,31030,31150,19273,0
2025-09-08,31415,31645,30900,30965,10998,0
2025-09-09,31000,31170,30540,30630,6471,0
2025-09-10,30825,31400,30555,31255,20209,0
2025-09-11,31385,31495,30875,30975,13521,0
2025-09-12,31100,31230,30815,30980,6485,0
2025-09-15,30900,31400,30810,30910,5878,0
2025-09-16,31280,31280,30710,30930,9676,0
2025-09-17,31160,31220,30815,30970,12984,0
2025-09-18,31095,31355,30840,30890,8509,0
2025-09-19,31000,31055,30130,30365,12743,0
2025-09-22,30410,30670,30150,30195,14233,0
