date,open,high,low,close,volume,oi
2025-04-21,109.0,109.41,108.9,108.96,2291,0
2025-04-22,109.16,109.89,109.15,109.23,1140,0
2025-04-23,109.43,109.85,109.3,109.32,13630,0
2025-04-24,109.35,109.82,109.34,109.44,864,0
2025-04-25,109.44,109.57,109.44,109.57,15,0
2025-04-28,109.57,109.74,108.91,109.07,250,0
2025-04-29,109.22,110.09,109.11,109.21,436,0
2025-04-30,109.37,109.9,109.37,109.87,7,0
2025-05-02,109.87,109.89,109.33,109.44,255,0
2025-05-05,109.45,110.14,109.45,109.54,1612,0
2025-05-06,109.55,110.11,109.55,109.55,48,0
2025-05-07,109.43,110.06,109.43,109.96,293,0
2025-05-08,109.95,109.96,109.4,109.44,612,0
2025-05-09,109.47,109.98,108.7,109.92,1080,0
2025-05-12,109.92,109.92,108.89,108.89,2141,0
2025-05-14,109.56,110.27,109.56,109.92,733,0
2025-05-15,110.27,110.28,110.22,110.22,55,0
2025-05-16,110.21,110.5,109.9,110.4,3131,0
2025-05-19,110.4,110.69,110.05,110.17,165,0
2025-05-20,110.65,110.66,110.1,110.14,6293,0
2025-05-21,110.15,111.5,110.15,111.2,5606,0
2025-05-22,111.09,111.09,110.32,110.37,360,0
2025-05-23,110.37,111.0,110.37,111.0,927,0
2025-05-26,110.7,111.1,110.7,110.73,1303,0
2025-05-27,110.73,111.1,110.51,110.74,1290,0
2025-05-28,110.41,111.13,110.41,111.09,539,0
2025-05-29,111.0,111.1,110.6,110.65,221,0
2025-05-30,110.65,111.15,110.52,111.0,1916,0
2025-06-02,110.9,110.9,110.46,110.46,2325,0
2025-06-03,110.46,110.99,110.36,110.7,1291,0
2025-06-05,110.9,110.95,110.71,110.93,1166,0
2025-06-06,110.94,111.29,110.71,110.71,1695,0
2025-06-09,110.71,110.99,109.82,109.88,2742,0
2025-06-10,109.88,110.4,109.81,110.3,557,0
2025-06-11,110.1,110.2,109.83,110.19,1025,0
2025-06-12,109.93,109.95,109.61,109.61,51725,0
2025-06-13,109.61,110.15,108.0,110.15,4706,0
2025-06-16,110.15,110.15,109.18,109.97,959,0
2025-06-17,109.5,110.22,109.5,109.56,25139,0
2025-06-18,109.98,109.98,109.45,109.88,25306,0
2025-06-19,109.88,109.97,109.46,109.46,4632,0
2025-06-20,109.91,109.99,109.36,109.94,472,0
2025-06-23,109.9,109.91,109.25,109.91,409,0
2025-06-24,109.31,110.25,109.31,109.61,451,0
2025-06-25,109.62,110.04,109.62,110.04,87,0
2025-06-26,109.98,109.99,109.42,109.99,645,0
2025-06-27,109.41,109.95,109.41,109.51,1531,0
2025-06-30,109.96,109.97,109.46,109.93,727,0
2025-07-01,109.98,109.98,109.59,109.97,579,0
2025-07-02,109.97,110.29,109.97,110.18,167,0
2025-07-03,110.18,110.42,109.75,110.4,5400,0
2025-07-04,110.4,110.44,109.76,110.4,182,0
2025-07-07,109.85,110.59,109.85,110.58,1350,0
2025-07-08,110.56,110.56,109.85,109.92,1853,0
2025-07-10,110.34,110.34,109.82,110.33,429,0
2025-07-11,110.25,110.3,109.73,110.3,113,0
2025-07-14,109.86,110.49,109.85,110.39,1346,0
2025-07-15,109.95,110.37,109.95,110.03,406,0
2025-07-16,110.1,110.32,110.1,110.31,85,0
2025-07-17,110.31,110.37,110.1,110.29,2197,0
2025-07-18,110.2,110.59,110.1,110.28,5207,0
2025-07-21,113.03,113.03,110.25,110.71,502,0
2025-07-22,110.6,110.7,110.35,110.51,1016,0
2025-07-23,110.34,110.75,110.34,110.66,587,0
2025-07-24,110.69,110.69,110.42,110.69,31,0
2025-07-25,110.68,110.79,110.19,110.74,352,0
2025-07-28,110.59,110.59,110.06,110.59,499,0
2025-07-29,110.13,110.59,109.94,110.32,788,0
2025-07-30,110.4,110.6,110.1,110.17,70,0
2025-07-31,110.18,110.6,110.08,110.47,2189,0
2025-08-01,110.47,110.79,110.03,110.1,414,0
2025-08-04,110.41,110.41,110.11,110.32,212,0
2025-08-05,110.36,110.78,110.36,110.78,284,0
2025-08-06,110.77,110.78,110.07,110.18,396,0
2025-08-07,110.08,110.24,110.08,110.15,28,0
2025-08-08,110.15,110.28,109.75,109.98,1285,0
2025-08-11,109.97,110.22,109.73,110.11,250,0
2025-08-12,109.56,109.84,109.51,109.84,132,0
2025-08-13,108.0,111.21,108.0,109.17,2351,0
2025-08-14,109.11,109.52,109.11,109.52,210,0
2025-08-18,109.43,109.74,109.39,109.74,4407,0
2025-08-19,109.31,109.4,109.06,109.37,683,0
2025-08-20,109.31,109.85,108.91,109.84,358,0
2025-08-21,112.58,112.58,109.5,109.77,227,0
2025-08-22,109.67,109.67,109.01,109.5,922,0
2025-08-25,109.48,109.5,108.96,108.96,1978,0
2025-08-26,109.01,109.24,108.56,108.56,406,0
2025-08-28,108.51,109.19,108.18,108.19,230,0
2025-08-29,108.99,109.48,108.9,108.92,388,0
2025-09-01,108.34,109.44,108.33,109.44,59043,0
2025-09-02,108.83,109.39,108.64,109.39,71959,0
2025-09-03,109.24,109.34,108.82,109.34,276,0
2025-09-04,109.48,109.48,109.47,109.47,874,0
2025-09-05,109.98,110.11,109.02,110.02,75,0
2025-09-09,110.0,110.0,109.75,109.75,2095,0
2025-09-10,109.84,109.84,109.62,109.81,29,0
2025-09-11,109.6,109.8,109.6,109.64,654,0
2025-09-12,109.6,109.64,109.43,109.64,5099,0
2025-09-15,109.65,110.45,109.56,110.09,180,0
2025-09-16,110.46,110.46,109.66,110.19,1591,0
2025-09-17,110.19,110.34,109.91,110.34,14,0
2025-09-19,110.34,110.43,110.34,110.43,119,0
2025-09-22,110.43,110.57,110.04,110.57,266,0
2025-09-23,110.11,110.84,110.11,110.22,33,0
2025-09-24,110.24,110.72,110.19,110.45,74,0
2025-09-25,110.64,110.64,110.64,110.64,535,0
2025-09-26,110.65,110.95,110.02,110.94,8431,0
2025-09-29,110.94,111.97,110.07,110.73,978,0
2025-09-30,110.73,110.8,109.72,109.72,1262,0
2025-10-01,110.05,110.71,110.0,110.01,735,0
2025-10-03,110.01,111.1,110.01,110.11,1630,0
2025-10-06,111.28,111.28,110.19,110.7,485,0
2025-10-07,111.06,111.36,110.55,111.36,346,0
2025-10-08,111.22,111.54,110.63,110.7,888,0
2025-10-09,110.7,111.2,110.62,110.65,3769,0
2025-10-10,110.61,111.15,110.51,110.63,591,0
2025-10-13,111.0,111.23,110.69,111.23,256,0
2025-10-14,111.25,111.25,111.21,111.21,297,0
2025-10-15,111.2,111.2,110.96,110.96,19,0
2025-10-16,111.01,111.41,111.01,111.41,6764,0
2025-10-17,110.95,111.44,110.95,110.96,606,0
2025-10-20,110.96,111.37,110.96,111.37,10,0
2025-10-23,111.37,111.37,110.75,110.75,2350,0
2025-10-24,111.0,111.0,111.0,111.0,4,0
2025-10-27,111.0,111.23,110.7,110.89,259,0
2025-10-28,110.89,110.89,110.78,110.78,27,0
2025-10-29,111.22,111.22,110.79,110.79,40,0
2025-10-30,110.8,111.15,110.79,110.79,18,0
2025-10-31,111.1,111.1,110.71,110.71,28,0
2025-11-03,110.7,110.7,110.53,110.64,15,0
2025-11-04,110.58,111.04,110.58,111.04,24,0
2025-11-06,111.04,111.1,110.68,110.68,27,0
2025-11-07,111.22,111.22,111.21,111.21,212,0
2025-11-10,111.2,111.28,110.65,111.22,270,0
2025-11-11,111.19,111.19,111.17,111.18,101,0
