date,open,high,low,close,volume,oi
2026-02-20,30.39,30.41,30.09,30.27,4841,0
2026-02-23,31.25,32.69,30.16,30.24,646,0
2026-02-24,30.0,30.13,30.0,30.03,182,0
2026-02-25,30.32,30.36,30.15,30.29,76,0
2026-02-26,30.3,30.33,30.29,30.31,87,0
2026-02-27,29.95,30.12,29.91,29.97,1282,0
2026-03-02,29.64,30.11,29.39,29.57,728,0
2026-03-04,28.95,29.13,28.65,29.0,260,0
2026-03-05,29.15,29.24,29.11,29.16,117,0
2026-03-06,29.31,29.45,29.01,29.07,151,0
2026-03-09,28.35,29.5,28.28,29.5,127,0
2026-03-10,29.5,29.5,28.75,29.42,1135,0
2026-03-11,28.94,28.95,28.5,28.54,2450,0
2026-03-12,28.17,29.21,28.12,29.21,44,0
2026-03-13,28.1,28.98,27.57,28.03,9295,0
2026-03-16,28.03,28.03,27.13,27.77,1186,0
2026-03-17,27.67,28.45,27.66,28.38,500,0
2026-03-18,28.36,28.38,28.36,28.36,1119,0
2026-03-19,28.38,28.38,27.22,27.23,472,0
2026-03-20,28.23,28.23,27.52,27.52,377,0
2026-03-23,27.65,27.65,26.7,26.75,1557,0
2026-03-24,27.75,27.75,26.88,27.15,1452,0
2026-03-25,27.61,28.2,27.61,27.77,1728,0
2026-03-27,27.45,27.45,27.21,27.21,970,0
2026-03-30,27.34,28.5,27.34,28.5,486,0
2026-04-01,28.5,28.97,26.98,27.78,17323,0
2026-04-02,26.42,27.06,26.34,27.04,5298,0
2026-04-06,27.11,27.28,26.86,27.27,918,0
2026-04-07,27.27,27.49,27.14,27.49,563,0
2026-04-08,28.31,28.49,28.27,28.43,9104,0
2026-04-09,28.58,28.58,28.31,28.31,338,0
2026-04-10,28.65,28.68,28.64,28.68,2619,0
2026-04-13,28.32,29.4,27.63,28.56,1557,0
2026-04-15,29.03,29.03,28.93,28.93,344,0
2026-04-16,29.08,29.08,28.9,29.06,251,0
2026-04-17,29.1,29.24,28.99,29.24,3791,0
2026-04-20,29.2,29.42,29.11,29.26,2513,0
2026-04-21,29.44,29.46,29.43,29.46,180,0
2026-04-22,29.45,29.52,29.38,29.38,486,0
2026-04-23,29.29,29.3,29.21,29.21,88,0
2026-04-24,29.13,31.0,28.74,28.9,238,0
2026-04-27,29.05,29.2,29.04,29.2,63,0
2026-04-28,29.21,29.27,29.08,29.14,322,0
2026-04-29,29.23,29.39,29.15,29.25,510,0
2026-04-30,29.0,29.0,29.0,29.0,336,0
2026-05-04,29.15,29.26,28.97,28.97,131,0
2026-05-05,29.11,29.18,29.04,29.18,295,0
2026-05-06,29.77,29.77,29.18,29.32,270,0
2026-05-07,29.64,29.67,29.49,29.67,126,0
2026-05-08,29.56,29.56,29.48,29.51,123,0
2026-05-11,29.65,29.9,29.04,29.06,1231,0
2026-05-12,28.8,28.84,28.49,28.49,420,0
2026-05-13,29.18,29.32,28.43,28.5,279,0
2026-05-14,28.64,28.84,28.5,28.84,1160,0
2026-05-15,28.98,28.98,28.52,28.52,142,0
2026-05-18,28.39,28.67,28.34,28.61,1761,0
2026-05-19,28.75,28.81,28.75,28.75,90,0
2026-05-20,28.52,28.68,28.52,28.68,181,0
2026-05-21,28.92,28.99,28.82,28.99,226,0
2026-05-22,28.92,28.92,28.92,28.92,35,0
2026-05-25,29.22,29.22,29.07,29.2,637,0
2026-05-26,29.29,29.29,29.04,29.17,1404,0
2026-05-27,29.22,29.95,29.08,29.08,1485,0
2026-05-29,29.67,29.67,28.85,28.99,129,0
2026-06-01,29.44,29.44,28.45,28.51,1231,0
2026-06-02,28.51,28.71,28.4,28.71,130,0
2026-06-03,29.22,29.36,28.3,28.45,250,0
2026-06-04,28.55,28.63,28.55,28.59,72,0
2026-06-05,28.7,28.75,28.38,28.38,123,0
2026-06-08,28.36,28.41,28.32,28.32,1074,0
2026-06-09,28.36,28.36,28.3,28.3,202,0
2026-06-10,28.49,28.54,28.37,28.37,70,0
2026-06-11,28.38,28.38,28.16,28.18,55,0
2026-06-12,28.34,28.51,28.34,28.51,718,0
2026-06-16,29.24,29.24,29.04,29.16,528,0
2026-06-17,29.3,29.44,29.23,29.36,169,0
2026-06-18,29.5,29.97,29.46,29.53,1834,0
2026-06-19,29.65,35.22,29.2,33.38,9104,0
2026-06-22,32.7,35.34,30.0,34.79,57174,0
2026-06-23,34.79,35.22,29.1,29.37,230792,0
2026-06-24,29.51,29.93,29.1,29.17,14281,0
2026-06-25,29.17,29.68,29.17,29.28,16549,0
2026-06-29,29.42,29.7,29.05,29.13,25909,0
2026-06-30,29.6,30.37,29.01,29.21,4683,0
2026-07-01,29.35,29.35,29.16,29.22,10153,0
2026-07-02,29.08,29.78,29.08,29.55,11946,0
2026-07-03,29.69,29.72,29.55,29.57,1174,0
2026-07-06,29.55,29.9,29.47,29.73,44256,0
2026-07-07,29.86,29.89,29.62,29.8,114626,0
2026-07-08,29.94,29.94,29.01,29.18,1613,0
2026-07-09,29.72,29.72,29.16,29.16,36841,0
2026-07-10,29.5,29.84,29.48,29.68,1429,0
2026-07-13,29.5,29.68,29.43,29.59,718,0
2026-07-14,29.73,29.79,29.36,29.68,327,0
2026-07-15,29.82,29.82,29.5,29.5,12361,0
2026-07-16,29.57,29.63,29.42,29.48,1453,0
2026-07-17,29.6,29.68,29.4,29.48,1695,0
