date,open,high,low,close,volume,oi
2025-04-23,935.7,942.15,901.6,938.8,2500136,0
2025-04-24,940.0,971.7,935.0,961.7,3695638,0
2025-04-25,978.0,981.0,905.9,914.35,5736784,0
2025-04-28,914.0,941.6,904.0,925.3,2404027,0
2025-04-29,929.9,939.85,912.05,917.65,1466481,0
2025-04-30,919.7,919.7,892.0,899.65,1191673,0
2025-05-02,900.05,929.85,900.05,907.15,2065515,0
2025-05-05,911.0,980.85,909.95,937.2,5711254,0
2025-05-06,939.0,941.5,901.1,907.4,2569364,0
2025-05-07,878.0,907.0,865.1,871.6,5712060,0
2025-05-08,880.05,886.7,826.3,839.0,3262818,0
2025-05-09,811.0,834.6,806.1,827.1,2639860,0
2025-05-12,860.0,897.65,851.05,894.3,3286835,0
2025-05-13,890.0,908.9,885.25,904.2,2246532,0
2025-05-14,903.95,903.95,886.0,890.8,1929234,0
2025-05-15,894.95,913.55,884.05,910.8,1755815,0
2025-05-16,912.1,934.75,908.05,915.05,2288025,0
2025-05-19,920.0,920.8,886.0,888.9,2120510,0
2025-05-20,894.45,897.55,866.55,869.75,1301836,0
2025-05-21,869.9,881.0,860.5,872.15,1239047,0
2025-05-22,869.0,886.4,864.35,879.0,1121955,0
2025-05-23,884.5,884.5,871.1,876.55,816889,0
2025-05-26,877.95,891.0,875.9,878.7,966027,0
2025-05-27,880.0,890.4,874.25,879.15,1772369,0
2025-05-28,881.8,890.85,865.75,869.0,990253,0
2025-05-29,877.7,898.2,869.4,880.95,2045238,0
2025-05-30,881.05,889.45,862.0,867.2,1258500,0
2025-06-02,874.8,888.2,872.05,874.85,1911879,0
2025-06-03,876.55,877.75,854.0,856.55,5811649,0
2025-06-04,860.5,873.5,851.55,866.0,5947467,0
2025-06-05,869.95,883.0,864.05,872.2,5723306,0
2025-06-06,875.65,892.5,872.45,884.1,6679702,0
2025-06-09,888.5,908.4,876.0,901.4,6802393,0
2025-06-10,907.15,921.0,896.45,915.5,8134942,0
2025-06-11,919.85,924.35,895.0,904.5,5473555,0
2025-06-12,908.4,909.95,868.05,876.95,3852260,0
2025-06-13,860.0,871.75,851.7,861.0,4262332,0
2025-06-16,861.0,871.0,849.45,865.7,2424281,0
2025-06-17,866.0,867.35,846.05,848.85,1247192,0
2025-06-18,848.95,858.55,834.6,846.45,1943400,0
2025-06-19,845.0,849.05,818.0,823.6,1666745,0
2025-06-20,826.0,840.9,823.35,828.1,6345674,0
2025-06-23,817.95,842.55,817.8,837.2,1079104,0
2025-06-24,852.0,866.6,848.0,851.85,1922183,0
2025-06-25,856.35,863.7,847.05,850.2,2316935,0
2025-06-26,854.25,866.5,851.0,864.75,2717149,0
2025-06-27,865.0,900.85,863.0,883.7,3118143,0
2025-06-30,886.0,887.45,874.7,881.75,1673237,0
2025-07-01,884.0,892.3,871.0,872.4,1874380,0
2025-07-02,876.0,888.85,869.4,878.8,2946152,0
