date,open,high,low,close,volume,oi
2025-04-23,115.4,116.85,114.8,115.9,21212725,0
2025-04-24,116.0,117.0,114.25,115.15,14521505,0
2025-04-25,115.4,117.1,108.85,109.85,38828540,0
2025-04-28,109.6,111.5,108.25,110.55,19832845,0
2025-04-29,111.6,112.4,109.25,109.75,14598175,0
2025-04-30,109.95,110.35,105.25,106.4,26027090,0
2025-05-02,105.9,108.7,104.6,105.05,21543170,0
2025-05-05,105.6,116.85,105.1,111.3,136045365,0
2025-05-06,112.0,113.1,106.5,107.2,40326215,0
2025-05-07,104.2,107.8,104.2,106.4,30004955,0
2025-05-08,107.2,108.4,103.0,104.05,26223815,0
2025-05-09,101.0,103.2,101.0,102.4,21353120,0
2025-05-12,109.0,110.55,108.3,109.3,32049350,0
2025-05-13,109.3,109.45,107.2,107.75,27788610,0
2025-05-14,108.55,108.7,107.15,107.95,17970600,0
2025-05-15,108.5,109.25,107.45,108.6,17751625,0
2025-05-16,109.0,113.95,108.6,113.1,49525610,0
2025-05-19,113.3,114.6,111.85,112.45,18979610,0
2025-05-20,112.8,113.5,110.55,111.25,17156030,0
2025-05-21,111.2,112.2,109.35,110.25,13376865,0
2025-05-22,110.3,112.15,109.85,110.75,14943250,0
2025-05-23,111.2,112.1,110.2,110.65,12026850,0
2025-05-26,111.4,114.0,111.25,111.7,19173970,0
2025-05-27,112.0,112.05,109.95,110.5,13868320,0
2025-05-28,111.0,113.4,106.15,110.15,24560695,0
2025-05-29,110.75,111.75,110.2,110.4,12881605,0
2025-05-30,110.6,111.1,108.2,108.75,15370475,0
2025-06-02,109.4,112.0,109.0,111.0,17794610,0
2025-06-03,110.5,110.65,108.6,108.9,12927105,0
2025-06-04,109.5,110.0,107.7,109.05,13008395,0
2025-06-05,109.55,110.75,109.3,109.55,9616705,0
2025-06-06,110.15,112.8,109.8,111.05,20056905,0
2025-06-09,111.95,114.8,111.25,112.6,23617970,0
2025-06-10,113.55,122.1,112.5,119.2,150425895,0
2025-06-11,120.55,121.0,116.6,117.4,43819250,0
2025-06-12,117.4,117.75,113.1,113.45,25698510,0
2025-06-13,111.1,115.7,109.85,114.2,29630645,0
2025-06-16,113.6,114.4,111.0,112.6,13945785,0
2025-06-17,112.9,114.2,111.4,111.65,9820175,0
