date,open,high,low,close,volume,oi
2025-04-21,45.29,46.08,45.12,45.96,1805430,0
2025-04-22,46.03,47.0,46.02,46.77,2317953,0
2025-04-23,46.63,47.32,46.03,46.9,2001728,0
2025-04-24,46.91,46.99,46.48,46.56,1466312,0
2025-04-25,46.97,46.97,44.77,45.09,3167648,0
2025-04-28,45.08,45.98,44.67,45.92,1484950,0
2025-04-29,46.23,46.45,45.91,46.16,1475907,0
2025-04-30,46.24,46.58,45.41,45.74,1600198,0
2025-05-02,45.94,46.19,45.1,45.35,1320507,0
2025-05-05,46.71,46.71,45.21,46.05,684979,0
2025-05-06,46.39,46.39,44.83,44.95,1546570,0
2025-05-07,44.5,45.8,44.2,45.52,1602294,0
2025-05-08,46.06,46.07,44.68,44.92,993356,0
2025-05-09,44.5,45.0,43.52,44.7,1777732,0
2025-05-12,45.42,47.18,45.41,46.88,3106606,0
2025-05-13,46.89,47.1,46.5,46.93,1323754,0
2025-05-14,47.09,47.56,46.83,47.44,1694174,0
2025-05-15,47.44,47.79,47.12,47.63,1506823,0
2025-05-16,47.9,48.42,47.51,48.3,2571036,0
2025-05-19,48.28,48.65,48.03,48.33,1540933,0
2025-05-20,48.6,48.74,47.52,47.72,2139810,0
2025-05-21,47.88,48.19,47.47,47.96,1597207,0
2025-05-22,47.95,48.1,47.52,47.83,1755305,0
2025-05-23,47.83,48.33,47.55,48.21,1261832,0
2025-05-26,48.22,48.73,48.22,48.28,1055210,0
2025-05-27,48.29,48.6,48.02,48.34,993636,0
2025-05-28,48.58,48.78,48.44,48.5,842577,0
2025-05-29,48.51,48.99,48.38,48.93,1213595,0
2025-05-30,48.92,49.3,48.71,49.22,1311917,0
2025-06-02,49.2,49.6,48.8,49.52,2767366,0
2025-06-03,49.61,49.91,49.4,49.62,1119980,0
2025-06-04,48.37,50.05,48.37,49.99,977457,0
2025-06-05,50.21,50.86,49.91,50.81,1749764,0
2025-06-06,50.81,51.25,50.54,51.1,1874745,0
2025-06-09,50.59,52.02,50.59,51.49,1767024,0
2025-06-10,52.01,52.62,51.37,51.49,1693290,0
2025-06-11,51.56,51.84,50.8,51.14,1280207,0
2025-06-12,51.35,51.35,49.67,49.98,2318197,0
2025-06-13,49.75,50.06,48.9,49.79,2586762,0
2025-06-16,50.29,50.29,49.05,50.04,2152701,0
2025-06-17,51.29,51.29,49.93,50.01,1310178,0
2025-06-18,50.18,50.43,49.76,50.16,1575375,0
2025-06-19,50.17,50.5,49.37,49.48,1386000,0
2025-06-20,50.71,50.71,48.99,50.08,1165262,0
2025-06-23,51.33,51.9,49.41,50.55,1041970,0
2025-06-24,50.04,51.45,50.04,50.99,1926024,0
2025-06-25,49.71,51.47,49.71,51.07,3648724,0
2025-06-26,50.56,51.43,50.56,51.3,874359,0
2025-06-27,51.58,51.65,51.18,51.47,1311574,0
2025-06-30,52.75,52.75,51.14,51.62,1563207,0
2025-07-01,50.32,51.94,50.32,51.4,1111472,0
2025-07-02,52.94,52.94,51.0,51.45,1512110,0
2025-07-03,51.68,51.68,51.29,51.42,794094,0
2025-07-04,50.9,51.93,50.5,51.36,846338,0
2025-07-07,51.39,51.77,50.86,51.07,837231,0
2025-07-08,51.1,51.32,50.22,50.56,1636305,0
2025-07-09,50.88,50.98,50.58,50.77,651835,0
2025-07-10,50.78,51.18,50.42,50.55,588408,0
2025-07-11,50.54,50.82,50.0,50.12,1171553,0
2025-07-14,50.62,50.64,49.71,50.5,1365444,0
2025-07-15,50.5,50.99,50.5,50.94,1001656,0
2025-07-16,49.66,51.34,49.66,51.07,454563,0
2025-07-17,51.58,51.58,50.8,50.89,514234,0
2025-07-18,50.37,51.2,49.5,50.36,799460,0
2025-07-21,49.85,50.78,49.85,50.71,1054680,0
2025-07-22,50.21,51.09,49.44,50.65,707541,0
2025-07-23,50.9,50.93,50.3,50.73,674831,0
2025-07-24,51.24,51.24,50.32,50.51,1457460,0
2025-07-25,50.51,50.51,49.8,49.99,1404215,0
2025-07-28,49.74,50.69,48.64,49.5,1091743,0
2025-07-29,49.0,50.25,48.9,49.95,1346552,0
2025-07-30,48.7,50.39,48.7,50.14,632077,0
2025-07-31,48.64,50.29,48.64,49.97,1131140,0
2025-08-01,49.82,50.1,49.21,49.45,843744,0
2025-08-04,49.93,49.93,49.22,49.72,1048832,0
2025-08-05,50.35,50.35,49.21,49.45,576195,0
2025-08-06,49.45,49.81,48.57,48.96,1566270,0
2025-08-07,48.88,49.3,48.42,49.03,1246662,0
2025-08-08,49.52,49.52,47.66,47.86,1716046,0
2025-08-11,48.25,48.25,47.07,47.97,1389693,0
2025-08-12,47.97,48.28,47.72,47.82,749279,0
2025-08-13,48.18,48.51,48.05,48.33,712672,0
