date,open,high,low,close,volume,oi
2025-04-23,112.0,115.7,111.5,115.35,21894324,0
2025-04-24,115.1,116.05,114.4,115.3,12282938,0
2025-04-25,115.35,116.5,111.6,112.5,13969344,0
2025-04-28,111.55,113.9,111.35,113.75,5953646,0
2025-04-29,114.0,115.65,113.05,113.95,6807976,0
2025-04-30,113.95,114.8,112.35,112.65,10047166,0
2025-05-02,112.0,112.8,109.0,110.25,8557232,0
2025-05-05,110.25,112.5,110.2,112.1,4585356,0
2025-05-06,112.1,112.95,110.3,110.55,4060374,0
2025-05-07,109.3,113.5,109.2,113.3,7529564,0
2025-05-08,113.05,114.0,109.25,110.15,6145026,0
2025-05-09,108.7,111.0,108.1,110.8,5864400,0
2025-05-12,113.6,115.95,112.8,115.65,7344388,0
2025-05-13,115.65,116.45,114.75,115.15,6125816,0
2025-05-14,115.5,117.95,115.0,117.25,10515502,0
2025-05-15,117.75,119.95,116.95,119.7,10136628,0
2025-05-16,120.0,120.65,118.3,118.65,13642966,0
2025-05-19,119.5,121.6,118.5,120.55,14642518,0
2025-05-20,122.5,124.75,120.35,120.95,34044772,0
2025-05-21,121.75,122.9,119.75,122.3,17467454,0
2025-05-22,120.0,120.7,118.15,119.4,14472238,0
2025-05-23,120.5,121.9,117.55,119.8,28329800,0
2025-05-26,120.9,120.95,118.5,119.95,31103998,0
2025-05-27,120.25,120.75,119.0,119.8,13957124,0
2025-05-28,120.0,121.2,119.1,119.3,14692904,0
2025-05-29,120.0,120.6,119.0,120.35,13373628,0
2025-05-30,120.35,120.4,117.55,118.0,20459598,0
2025-06-02,118.9,118.9,117.25,118.1,11181946,0
2025-06-03,118.75,118.85,117.95,118.05,11195000,0
2025-06-04,119.0,119.1,117.5,117.8,12071762,0
2025-06-05,118.45,118.45,116.4,116.95,14461902,0
2025-06-06,117.0,121.4,116.75,121.0,23821972,0
2025-06-09,121.5,122.4,120.95,121.6,11154574,0
2025-06-10,121.75,121.95,120.4,120.6,8002548,0
2025-06-11,120.65,121.25,119.5,120.0,13560528,0
2025-06-12,120.0,120.15,117.45,117.6,7131958,0
2025-06-13,116.0,117.65,115.3,117.4,8478438,0
2025-06-16,117.05,118.05,116.0,117.9,5949562,0
2025-06-17,117.6,118.25,116.9,117.25,4227886,0
2025-06-18,117.0,118.2,116.55,117.0,10098702,0
2025-06-19,116.85,118.15,115.65,116.45,8194360,0
2025-06-20,116.0,117.95,116.0,117.6,10280514,0
2025-06-23,116.5,119.15,116.1,118.35,6059600,0
2025-06-24,119.1,121.45,118.7,120.4,11889666,0
2025-06-25,121.5,122.55,120.8,122.3,14770642,0
2025-06-26,122.35,124.65,122.25,124.45,18988974,0
2025-06-27,125.2,125.95,124.65,124.85,10399732,0
2025-06-30,125.5,125.8,124.4,125.45,7429606,0
2025-07-01,125.3,126.15,123.9,125.8,7030766,0
2025-07-02,125.8,126.5,124.85,125.8,7080494,0
2025-07-03,126.0,127.0,124.9,125.25,10579878,0
2025-07-04,125.55,125.9,124.2,124.9,7290956,0
2025-07-07,124.9,125.2,123.85,124.9,4698604,0
2025-07-08,125.0,125.7,123.6,124.9,5972592,0
2025-07-09,125.2,125.95,124.9,125.45,10059130,0
2025-07-10,126.95,127.0,124.6,124.9,13209766,0
2025-07-11,125.25,125.55,123.0,123.1,10768796,0
2025-07-14,125.0,127.0,123.5,126.5,18222508,0
2025-07-15,126.9,127.2,124.3,125.45,11983088,0
2025-07-16,125.4,125.9,122.7,124.6,13686931,0
2025-07-17,125.1,125.15,123.3,123.75,6161202,0
2025-07-18,123.7,124.45,122.0,122.25,4990390,0
2025-07-21,122.85,125.25,121.7,124.8,8377482,0
2025-07-22,125.4,125.4,123.75,124.0,9118516,0
2025-07-23,124.05,124.95,123.05,124.6,4574233,0
2025-07-24,124.6,125.45,124.35,124.8,10435772,0
2025-07-25,124.55,125.15,121.6,121.95,6422937,0
2025-07-28,121.95,125.0,121.6,122.75,10627268,0
2025-07-29,122.85,124.05,122.1,123.3,6535234,0
2025-07-30,123.3,123.35,121.6,121.9,5517480,0
2025-07-31,120.95,122.2,119.45,121.05,11333155,0
2025-08-01,121.05,121.25,117.72,120.35,13653423,0
2025-08-04,120.35,123.35,120.16,122.6,10209776,0
2025-08-05,122.6,122.98,121.3,121.97,5769803,0
2025-08-06,122.45,122.49,120.55,120.73,4414208,0
2025-08-07,120.0,121.54,118.16,119.81,10739005,0
2025-08-08,119.81,120.39,115.1,115.42,10860600,0
2025-08-11,115.9,120.34,114.96,120.02,13024457,0
2025-08-12,119.53,120.29,118.9,119.36,4155268,0
2025-08-13,119.7,121.05,119.15,119.73,4597540,0
2025-08-14,120.0,124.0,119.29,121.96,19020549,0
2025-08-18,125.1,132.8,125.1,131.76,80821577,0
2025-08-19,131.76,133.55,127.11,133.28,40387936,0
2025-08-20,134.3,134.31,132.2,133.1,20564141,0
2025-08-21,133.15,133.81,130.8,131.01,16695588,0
2025-08-22,131.01,132.1,129.63,131.2,11093419,0
2025-08-25,131.41,131.87,130.37,131.01,5255625,0
2025-08-26,130.51,132.36,129.91,131.37,13267634,0
2025-08-28,131.35,131.9,129.48,129.82,7709689,0
2025-08-29,129.68,130.24,126.76,126.98,10674470,0
2025-09-01,127.35,128.51,125.85,128.03,15300044,0
2025-09-02,128.71,132.79,128.46,130.39,15084908,0
2025-09-03,131.8,132.38,128.3,130.23,14455278,0
2025-09-04,132.4,132.66,126.54,128.01,20498606,0
2025-09-05,128.24,132.23,128.24,130.77,19576052,0
2025-09-08,132.0,138.2,131.37,137.29,33590663,0
2025-09-09,137.54,137.7,134.82,135.06,15017284,0
2025-09-10,135.98,136.13,132.72,134.01,15726944,0
2025-09-11,134.26,134.66,132.26,133.56,12684319,0
2025-09-12,133.6,136.14,132.77,134.09,18257240,0
