date,open,high,low,close,volume,oi
2025-04-23,224.0,229.5,223.31,228.56,272895,0
2025-04-24,228.56,229.69,227.11,228.12,215890,0
2025-04-25,229.26,229.99,222.86,224.14,221281,0
2025-04-28,228.0,228.38,223.05,227.62,129436,0
2025-04-29,230.37,230.37,220.79,227.51,201138,0
2025-04-30,227.5,228.2,224.92,227.15,124141,0
2025-05-02,228.28,231.12,226.05,226.87,215161,0
2025-05-05,226.88,231.49,226.87,231.28,210968,0
2025-05-06,233.24,235.14,230.13,231.32,345180,0
2025-05-07,231.32,235.53,228.05,235.37,328205,0
2025-05-08,235.02,237.18,230.0,230.74,185947,0
2025-05-09,230.15,232.13,227.06,230.32,130066,0
2025-05-12,235.0,238.79,234.93,238.35,277283,0
2025-05-13,238.35,239.48,235.1,236.61,150132,0
2025-05-14,243.71,243.71,234.24,238.34,149052,0
2025-05-15,238.48,243.1,237.6,242.58,315402,0
2025-05-16,242.63,244.5,242.5,244.0,234197,0
2025-05-19,247.0,247.0,243.35,244.83,260919,0
2025-05-20,244.83,246.05,239.14,239.91,269904,0
2025-05-21,240.5,243.72,239.29,241.89,143967,0
2025-05-22,242.45,242.45,238.1,239.7,175235,0
2025-05-23,240.89,241.55,238.52,240.12,106050,0
2025-05-26,241.77,243.81,239.72,242.76,222776,0
2025-05-27,241.0,244.99,240.01,241.23,150700,0
2025-05-28,248.47,248.47,239.45,239.7,149296,0
2025-05-29,246.89,246.89,239.31,240.46,150303,0
2025-05-30,240.97,241.0,238.0,238.48,145657,0
2025-06-02,244.0,244.0,236.55,238.11,148367,0
2025-06-03,239.3,239.9,237.0,237.57,105480,0
2025-06-04,240.0,240.0,237.12,237.98,124080,0
2025-06-05,238.5,239.5,236.33,237.97,140141,0
2025-06-06,238.96,242.29,237.22,241.99,414182,0
2025-06-09,245.0,245.0,241.99,243.1,253673,0
2025-06-10,242.03,243.74,242.03,242.7,131168,0
2025-06-11,242.71,244.88,242.43,243.04,187202,0
2025-06-12,244.25,244.39,238.39,239.05,280051,0
2025-06-13,241.27,241.27,234.11,238.68,149594,0
2025-06-16,242.56,242.56,235.88,238.79,112150,0
2025-06-17,245.0,245.0,237.06,237.8,105435,0
2025-06-18,236.01,240.59,236.01,238.11,138429,0
2025-06-19,241.99,241.99,237.73,239.12,174312,0
2025-06-20,240.31,241.8,238.82,241.43,120980,0
2025-06-23,238.1,240.96,238.1,239.3,130102,0
2025-06-24,246.48,246.48,239.33,240.77,179184,0
2025-06-25,245.65,245.65,239.64,242.96,118025,0
2025-06-26,243.04,245.0,242.5,244.44,200952,0
2025-06-27,244.44,246.08,244.08,244.87,209798,0
2025-06-30,246.44,246.44,243.03,243.68,149952,0
2025-07-01,250.99,250.99,242.45,243.25,82672,0
2025-07-02,248.0,248.0,242.4,243.9,109987,0
2025-07-03,245.19,246.73,243.92,244.83,300522,0
2025-07-04,238.7,246.0,238.7,245.05,80827,0
2025-07-07,246.28,246.28,244.22,244.65,82255,0
2025-07-08,244.64,246.0,242.23,243.78,107861,0
2025-07-09,244.11,245.15,243.01,244.5,87975,0
2025-07-10,244.29,245.99,243.26,244.37,59211,0
2025-07-11,244.9,244.9,239.68,240.41,155338,0
2025-07-14,246.42,247.62,240.02,241.02,67621,0
2025-07-15,242.22,245.0,241.69,244.68,165784,0
2025-07-16,246.22,246.22,242.01,245.53,106983,0
2025-07-17,243.06,249.0,243.06,245.96,169053,0
2025-07-18,248.76,252.1,244.88,245.04,1004087,0
