date,open,high,low,close,volume,oi
2025-04-23,82.59,83.3,80.07,80.9,3608114,0
2025-04-24,81.5,81.74,80.8,81.07,392448,0
2025-04-25,81.27,81.49,80.41,80.61,294421,0
2025-04-28,80.95,80.95,79.4,79.57,983520,0
2025-04-29,81.0,81.0,80.21,80.58,244427,0
2025-04-30,81.0,81.0,79.3,79.55,1641707,0
2025-05-02,79.23,79.5,78.21,79.08,575266,0
2025-05-05,79.63,80.33,78.62,80.07,331836,0
2025-05-06,82.47,82.47,80.33,82.1,466401,0
2025-05-07,82.7,82.7,81.62,81.76,396692,0
2025-05-08,81.76,82.4,80.39,81.44,2352590,0
2025-05-09,81.35,81.62,80.62,81.23,423340,0
2025-05-12,83.67,83.67,79.23,79.83,445524,0
2025-05-13,79.63,79.7,78.66,79.65,458598,0
2025-05-14,79.5,79.5,78.7,78.99,1797206,0
2025-05-15,78.09,78.09,76.81,77.44,1258465,0
2025-05-16,78.12,78.95,77.87,78.49,439247,0
2025-05-19,79.69,79.69,78.41,78.89,177400,0
2025-05-20,78.99,78.99,78.15,78.7,133901,0
2025-05-21,79.59,80.59,79.59,80.29,382392,0
2025-05-22,80.9,80.9,80.31,80.39,158213,0
2025-05-23,82.8,82.8,79.5,80.27,167553,0
2025-05-26,80.33,80.93,80.27,80.34,168873,0
2025-05-27,81.45,81.45,80.01,80.04,192477,0
2025-05-28,80.87,80.87,80.03,80.69,374729,0
2025-05-29,80.49,80.49,79.4,79.61,1355501,0
2025-05-30,79.61,80.14,79.33,80.02,179103,0
2025-06-02,80.5,81.31,80.0,81.08,386104,0
2025-06-03,81.8,81.9,81.3,81.6,2063464,0
2025-06-04,82.63,82.63,81.6,81.95,2563617,0
2025-06-05,82.93,82.93,81.63,82.29,236250,0
2025-06-06,80.23,82.63,80.23,81.77,4631424,0
2025-06-09,79.72,81.77,79.0,81.0,3575132,0
2025-06-10,81.63,81.99,80.04,81.08,287955,0
2025-06-11,82.0,82.0,80.05,81.43,608939,0
2025-06-12,79.39,83.04,79.39,82.09,251968,0
2025-06-13,84.55,84.55,83.12,83.82,752202,0
2025-06-16,82.46,85.63,81.72,83.79,412835,0
2025-06-17,81.69,85.88,81.69,83.13,332679,0
2025-06-18,85.2,85.2,83.0,83.37,2781142,0
2025-06-19,85.45,85.45,82.71,83.3,350513,0
2025-06-20,81.0,83.67,81.0,82.76,463693,0
2025-06-23,83.8,83.8,82.85,83.26,197691,0
2025-06-24,84.1,84.1,81.17,81.31,1742379,0
2025-06-25,83.34,83.34,81.06,81.48,347029,0
2025-06-26,83.0,83.0,81.22,81.64,153101,0
2025-06-27,81.64,81.64,79.59,80.22,681931,0
2025-06-30,80.63,80.63,79.33,80.52,448929,0
2025-07-01,81.93,82.33,80.52,81.72,1241949,0
2025-07-02,84.17,84.17,81.01,81.66,1173868,0
2025-07-03,83.7,83.7,81.5,81.62,1318177,0
2025-07-04,79.57,82.0,79.57,81.43,152195,0
2025-07-07,80.63,81.72,80.63,81.1,206910,0
2025-07-08,81.1,82.1,81.1,81.37,115507,0
2025-07-09,81.6,81.6,80.36,80.47,363085,0
2025-07-10,80.65,81.7,80.65,81.36,392839,0
2025-07-11,83.39,83.39,81.52,81.81,1103675,0
2025-07-14,82.94,82.94,79.76,82.45,305975,0
2025-07-15,82.45,82.77,80.38,82.2,103670,0
2025-07-16,80.14,81.96,80.14,81.79,197581,0
2025-07-17,82.47,82.47,81.51,81.72,149436,0
2025-07-18,79.67,82.49,79.67,82.21,244614,0
2025-07-21,82.21,82.89,82.03,82.84,209510,0
2025-07-22,83.83,83.99,81.53,83.51,1369571,0
2025-07-23,85.59,85.59,83.76,84.39,335207,0
2025-07-24,84.37,84.37,82.68,82.71,3067035,0
2025-07-25,83.47,83.47,82.32,82.61,207086,0
2025-07-28,84.67,84.67,82.26,82.53,192908,0
2025-07-29,80.46,84.59,80.46,82.49,1106916,0
2025-07-30,84.55,84.55,82.59,83.11,210095,0
2025-07-31,82.81,83.09,82.0,82.75,231933,0
2025-08-01,82.69,82.69,82.01,82.46,171739,0
2025-08-04,84.93,84.93,83.07,84.04,666074,0
2025-08-05,84.8,84.8,84.13,84.19,196739,0
2025-08-06,85.33,85.33,83.95,84.04,220757,0
2025-08-07,85.1,85.1,84.27,84.8,1198779,0
2025-08-08,86.0,86.0,84.8,85.09,1452464,0
2025-08-11,85.09,86.57,83.5,83.68,1371992,0
2025-08-12,85.77,85.77,83.33,83.54,197783,0
2025-08-13,83.73,83.93,83.48,83.79,1103834,0
2025-08-14,83.0,84.33,83.0,83.74,134293,0
2025-08-18,83.97,83.97,83.0,83.45,252577,0
2025-08-19,85.53,85.53,82.8,82.92,242138,0
