date,open,high,low,close,volume,oi
2025-04-23,263.51,264.53,262.29,264.0,7017,0
2025-04-24,271.92,271.92,263.2,263.65,3940,0
2025-04-25,263.0,264.5,259.5,261.51,25392,0
2025-04-28,266.59,266.59,261.52,264.24,11820,0
2025-04-29,266.49,270.85,263.91,264.31,25940,0
2025-04-30,266.4,266.4,263.31,263.46,14044,0
2025-05-02,267.14,267.14,263.46,264.18,12483,0
2025-05-05,263.01,266.89,263.01,266.43,15023,0
2025-05-06,266.46,267.59,264.5,264.9,4932,0
2025-05-07,268.21,268.21,263.88,265.08,9478,0
2025-05-08,265.0,265.79,262.92,263.64,3646,0
2025-05-09,271.55,271.55,260.5,261.69,5901,0
2025-05-12,269.54,271.72,262.71,271.5,51618,0
2025-05-13,273.53,279.64,267.5,267.84,7578,0
2025-05-14,268.71,269.6,267.01,268.08,2970,0
2025-05-15,270.48,273.0,266.07,272.2,12212,0
2025-05-16,272.2,272.63,271.38,272.1,31856,0
2025-05-19,274.9,274.9,270.78,271.82,4527,0
2025-05-20,274.49,274.49,268.77,269.04,5069,0
2025-05-21,269.0,271.75,269.0,270.26,1717,0
2025-05-22,271.89,271.9,266.88,268.45,9109,0
2025-05-23,260.4,271.15,260.4,270.41,6268,0
2025-05-26,273.25,273.25,268.86,272.15,7502,0
2025-05-27,280.31,280.31,269.16,270.76,7347,0
2025-05-28,262.64,273.49,262.64,269.99,5882,0
2025-05-29,269.99,272.64,269.04,270.35,1972,0
2025-05-30,262.24,271.27,262.24,270.16,2584,0
2025-06-02,273.13,273.13,267.62,269.91,9024,0
2025-06-03,270.86,270.86,267.26,268.07,14821,0
2025-06-04,276.11,276.11,266.25,268.71,5612,0
2025-06-05,271.0,271.25,268.71,269.89,9827,0
2025-06-06,272.89,273.0,269.0,272.11,3565,0
2025-06-09,272.12,280.27,270.66,273.66,3115,0
2025-06-10,281.87,281.87,272.08,273.28,3866,0
2025-06-11,275.69,275.7,271.21,274.31,7622,0
2025-06-12,282.54,282.54,271.07,271.76,4265,0
2025-06-13,271.29,271.3,266.61,270.23,16199,0
2025-06-16,272.74,272.78,269.61,272.7,4763,0
2025-06-17,273.99,274.63,271.1,271.24,11410,0
2025-06-18,273.7,273.7,270.04,271.05,2424,0
2025-06-19,271.04,271.57,270.07,270.65,2142,0
2025-06-20,278.77,278.77,262.53,273.65,12314,0
2025-06-23,281.86,281.86,265.44,272.09,11392,0
2025-06-24,276.0,276.0,272.0,272.86,10753,0
2025-06-25,276.79,276.79,274.12,274.95,4853,0
2025-06-26,266.7,278.95,266.7,278.3,25348,0
2025-06-27,286.65,286.65,276.63,279.25,11788,0
2025-06-30,287.63,287.63,277.0,278.42,8953,0
2025-07-01,286.77,286.77,276.0,279.53,3367,0
2025-07-02,287.92,287.92,271.14,278.27,3573,0
2025-07-03,280.74,280.75,277.2,277.95,4528,0
2025-07-04,278.08,278.71,276.78,278.68,3141,0
2025-07-07,275.0,281.6,275.0,278.6,3236,0
2025-07-08,281.0,281.0,277.69,278.65,5616,0
2025-07-09,280.64,280.64,278.12,278.59,1816,0
2025-07-10,285.55,285.55,277.31,277.69,2196,0
2025-07-11,278.56,278.56,274.8,275.4,6389,0
2025-07-14,277.75,277.75,272.55,274.68,9739,0
2025-07-15,275.41,276.31,274.21,275.81,142270,0
2025-07-16,277.17,277.17,273.67,275.68,21872,0
2025-07-17,278.37,278.38,274.9,275.07,3169,0
