date,open,high,low,close,volume,oi
2025-04-23,371.18,379.99,371.18,378.64,5746,0
2025-04-24,380.98,382.48,376.22,377.45,3153,0
2025-04-25,381.37,383.0,375.36,381.14,5217,0
2025-04-28,385.48,385.48,375.11,380.88,2270,0
2025-04-29,380.94,387.0,380.6,385.46,5101,0
2025-04-30,386.59,387.0,381.0,383.98,6119,0
2025-05-02,385.0,389.99,382.95,387.11,2258,0
2025-05-05,389.79,390.5,384.8,385.2,7089,0
2025-05-06,387.12,387.12,383.35,384.52,1189,0
2025-05-07,383.35,386.4,381.9,385.87,1862,0
2025-05-08,383.28,387.76,383.28,385.4,958,0
2025-05-09,381.24,387.0,381.24,385.55,3885,0
2025-05-12,392.0,411.97,390.22,409.43,10971,0
2025-05-13,409.48,409.48,400.67,401.45,1455,0
2025-05-14,402.0,406.71,402.0,406.31,660,0
2025-05-15,406.75,411.0,402.91,410.43,3443,0
2025-05-16,413.23,413.23,406.06,408.28,3073,0
2025-05-19,410.32,410.32,402.0,402.65,9747,0
2025-05-20,404.99,406.95,400.0,400.0,178951,0
2025-05-21,400.0,404.0,400.0,402.36,59230,0
2025-05-22,400.0,400.0,396.32,397.73,3044,0
2025-05-23,396.32,405.67,387.79,402.13,1998,0
2025-05-26,406.47,409.74,400.18,406.15,248382,0
2025-05-27,406.15,407.0,401.5,403.94,5303,0
2025-05-28,403.01,405.68,401.2,401.8,897,0
2025-05-29,405.48,406.8,403.95,404.64,679,0
2025-05-30,404.64,404.64,401.0,401.34,20834,0
2025-06-02,401.35,401.35,397.87,398.97,1290,0
2025-06-03,400.96,400.96,395.28,397.96,711,0
2025-06-04,397.96,399.83,395.57,397.19,1888,0
2025-06-05,399.01,403.0,398.8,401.22,1483,0
2025-06-06,401.23,403.48,399.19,403.32,2231,0
2025-06-09,404.0,407.98,404.0,405.84,1444,0
2025-06-10,408.16,416.05,408.16,411.85,4827,0
2025-06-11,412.5,418.94,412.01,418.86,4432,0
2025-06-12,418.86,418.99,413.31,414.09,5180,0
2025-06-13,411.7,417.61,409.61,414.59,2669,0
2025-06-16,418.97,424.01,415.42,422.01,179565,0
2025-06-17,411.45,426.44,411.45,425.69,3402,0
2025-06-18,425.21,426.0,421.1,421.97,906,0
2025-06-19,418.01,419.99,415.5,417.16,2941,0
2025-06-20,418.5,420.95,415.0,419.2,4016,0
2025-06-23,419.19,419.19,412.97,414.77,914,0
2025-06-24,414.77,419.5,414.77,415.34,796,0
2025-06-25,417.83,420.8,417.7,420.78,469,0
2025-06-26,421.99,421.99,414.94,419.54,2555,0
2025-06-27,422.0,423.19,417.31,419.21,1906,0
2025-06-30,421.31,421.31,417.2,418.93,438,0
2025-07-01,421.39,422.0,419.2,419.34,343,0
2025-07-02,423.31,425.5,417.02,420.14,2277,0
2025-07-03,420.14,422.49,419.21,419.38,440,0
2025-07-04,419.39,422.38,416.77,422.28,1993,0
2025-07-07,411.72,425.49,411.72,419.98,2527,0
2025-07-08,419.67,422.55,417.51,421.28,2645,0
2025-07-09,417.78,419.32,415.11,417.59,5235,0
2025-07-10,417.56,417.56,412.27,414.83,2598,0
2025-07-11,409.19,410.0,406.5,407.09,6036,0
2025-07-14,411.0,411.0,398.28,401.35,246787,0
2025-07-15,403.0,406.55,399.99,404.28,430240,0
2025-07-16,406.3,406.98,402.95,406.69,5391,0
2025-07-17,406.67,406.69,401.2,402.02,3959,0
2025-07-18,406.48,406.48,399.57,401.68,4306,0
2025-07-21,401.0,401.33,397.99,400.76,1945,0
2025-07-22,400.77,401.76,398.6,398.98,2110,0
2025-07-23,400.93,401.38,397.31,399.86,4122,0
2025-07-24,405.49,405.49,390.42,391.1,9804,0
2025-07-25,391.19,392.12,383.71,386.07,8040,0
2025-07-28,389.96,389.96,380.7,382.9,9435,0
2025-07-29,382.9,385.29,379.84,383.63,5445,0
2025-07-30,385.01,385.04,382.35,384.89,1546,0
2025-07-31,386.78,386.78,379.31,382.77,2671,0
2025-08-01,382.77,382.77,375.4,376.03,3373,0
2025-08-04,376.01,383.45,373.13,382.09,2905,0
2025-08-05,380.68,380.68,377.08,379.1,3311,0
2025-08-06,377.07,378.31,372.12,372.94,2427,0
2025-08-07,384.13,384.13,371.1,376.28,4560,0
2025-08-08,378.17,378.17,372.12,372.67,984,0
2025-08-11,372.68,374.92,370.7,374.22,1230,0
2025-08-12,375.09,379.47,375.0,375.84,2662,0
