date,open,high,low,close,volume,oi
2025-04-21,917.0,931.5,914.0,927.0,7824150,0
2025-04-22,929.5,939.0,923.0,926.0,11293580,0
2025-04-23,928.0,935.0,915.0,932.0,10818720,0
2025-04-24,962.0,966.0,927.0,930.0,18496710,0
2025-04-25,931.0,934.5,899.0,911.0,10893540,0
2025-04-28,908.0,912.5,900.0,909.0,9946560,0
2025-04-29,913.0,914.5,896.0,909.0,11768180,0
2025-04-30,884.0,889.0,855.5,863.5,39690570,0
2025-05-02,857.5,891.5,856.5,886.0,22026750,0
2025-05-05,888.0,903.0,886.5,893.0,8930610,0
2025-05-06,891.0,897.5,875.0,880.0,12040870,0
2025-05-07,875.0,900.0,872.0,899.0,11635570,0
2025-05-08,898.0,907.5,877.5,883.0,12018090,0
2025-05-09,865.0,878.0,860.5,864.0,12151340,0
2025-05-12,885.0,903.0,882.5,902.0,10638220,0
2025-05-13,900.5,916.0,899.0,904.0,13363000,0
2025-05-14,904.5,911.0,901.0,908.0,7594000,0
2025-05-15,910.0,921.5,903.0,919.0,10385000,0
2025-05-16,919.0,928.5,913.0,917.0,6251920,0
2025-05-19,917.0,929.0,917.0,925.5,7162740,0
2025-05-20,930.0,931.0,907.0,908.0,8106160,0
2025-05-21,910.0,928.0,903.0,920.0,7321500,0
2025-05-22,920.0,920.0,907.0,914.0,6159740,0
2025-05-23,914.0,929.0,911.0,924.0,4251690,0
2025-05-26,925.5,934.0,925.0,927.0,5476790,0
2025-05-27,927.0,929.0,914.0,917.0,7150000,0
2025-05-28,924.5,929.5,914.0,927.0,6507400,0
2025-05-29,925.0,928.0,916.0,920.5,7081750,0
2025-05-30,917.0,920.0,912.0,918.0,15041740,0
2025-06-02,913.0,916.5,904.0,912.0,6619630,0
2025-06-03,910.5,913.0,897.0,898.0,9080270,0
2025-06-04,897.5,904.0,896.5,899.0,5544930,0
2025-06-05,899.0,899.0,887.0,893.5,7853320,0
2025-06-06,894.5,943.5,887.5,937.0,19783860,0
2025-06-09,955.0,979.0,940.0,961.0,23496010,0
2025-06-10,970.0,970.0,948.5,950.0,9044040,0
2025-06-11,949.0,957.0,940.5,942.5,11860810,0
2025-06-12,945.0,953.0,935.5,937.0,12388330,0
2025-06-13,915.0,936.5,915.0,933.0,10182020,0
2025-06-16,956.0,956.0,925.0,938.0,7016290,0
2025-06-17,941.5,943.5,917.5,923.0,6110175,0
2025-06-18,927.0,932.5,915.0,919.0,5002923,0
2025-06-19,919.0,922.5,894.0,900.5,6585940,0
2025-06-20,897.0,907.5,886.0,905.0,14320241,0
2025-06-23,899.0,918.0,890.5,915.5,5870597,0
2025-06-24,920.0,936.0,914.5,916.5,11555634,0
2025-06-25,918.0,930.0,916.0,928.0,6623799,0
2025-06-26,930.0,953.5,928.5,951.5,11677790,0
2025-06-27,950.0,959.5,936.0,947.0,21637194,0
2025-06-30,956.0,956.0,934.0,936.5,6086081,0
2025-07-01,932.5,941.8,928.0,936.65,5381327,0
2025-07-02,933.0,939.85,914.0,923.0,9394493,0
2025-07-03,922.0,924.5,905.2,910.15,7606558,0
2025-07-04,922.0,940.7,919.0,925.3,10613046,0
2025-07-07,925.0,929.3,918.1,924.65,3383973,0
2025-07-08,918.8,929.5,918.8,927.65,3851432,0
2025-07-09,926.5,946.0,924.0,940.6,5341529,0
2025-07-10,943.0,951.7,942.25,947.65,5409906,0
2025-07-11,938.7,947.15,931.55,933.5,4278038,0
2025-07-14,932.0,932.0,911.3,918.85,6657978,0
2025-07-15,919.0,930.6,918.0,928.4,3892075,0
2025-07-16,924.0,927.0,919.4,921.75,3952491,0
2025-07-17,925.95,926.25,916.0,923.3,4583882,0
2025-07-18,920.5,944.9,920.0,942.0,7893820,0
2025-07-21,938.9,951.0,937.35,948.45,4660232,0
2025-07-22,955.0,962.0,940.0,952.55,6237382,0
2025-07-23,954.0,970.95,953.65,968.3,9694991,0
2025-07-24,970.0,970.0,954.0,958.95,5189112,0
2025-07-25,906.4,924.9,898.0,913.75,24415481,0
2025-07-28,909.25,913.75,879.0,880.5,14011284,0
2025-07-29,875.05,894.0,873.5,886.55,11323854,0
2025-07-30,890.95,892.6,875.0,884.85,5054496,0
2025-07-31,872.0,887.85,868.0,881.2,6999179,0
2025-08-01,884.8,895.85,873.0,875.6,5300299,0
2025-08-04,874.0,886.75,873.7,885.3,3969985,0
2025-08-05,889.0,893.6,882.4,891.9,4446791,0
2025-08-06,888.0,895.5,874.6,876.65,4212648,0
2025-08-07,871.0,882.0,867.25,879.1,5998002,0
2025-08-08,877.0,888.3,876.0,877.15,3736916,0
2025-08-11,877.15,888.3,872.75,877.8,5367926,0
2025-08-12,877.2,884.9,851.5,853.0,8257312,0
2025-08-13,854.55,864.0,849.0,860.0,10117225,0
2025-08-14,860.0,866.9,855.45,861.45,5379250,0
2025-08-18,875.0,919.65,875.0,905.2,16277779,0
2025-08-19,905.95,909.9,890.5,902.3,5764382,0
2025-08-20,900.55,902.0,886.05,887.8,5561646,0
2025-08-21,888.0,901.3,884.0,895.6,6697533,0
2025-08-22,895.0,903.9,892.0,894.5,6424895,0
