date,open,high,low,close,volume,oi
2025-04-23,56.37,56.75,55.9,56.04,33726,0
2025-04-24,56.04,56.26,55.82,55.94,23368,0
2025-04-25,56.64,56.64,54.83,55.49,151018,0
2025-04-28,55.13,56.27,55.13,56.2,58137,0
2025-04-29,56.94,56.94,56.01,56.18,27594,0
2025-04-30,55.9,56.14,55.68,55.92,47272,0
2025-05-02,56.42,56.42,55.64,55.73,102873,0
2025-05-05,55.35,55.97,55.05,55.54,17174,0
2025-05-06,55.53,55.54,54.83,55.08,41636,0
2025-05-07,55.0,55.5,55.0,55.4,95649,0
2025-05-08,55.5,55.65,54.96,55.22,2750,0
2025-05-09,55.28,55.28,54.25,54.37,3897,0
2025-05-12,54.79,56.28,54.79,56.12,6171,0
2025-05-13,56.41,56.41,55.71,55.78,101883,0
2025-05-14,55.13,55.94,53.27,55.67,23260,0
2025-05-15,55.63,56.39,55.22,56.23,67353,0
2025-05-16,56.48,56.81,55.98,56.27,86478,0
2025-05-19,56.27,56.55,56.05,56.31,16886,0
2025-05-20,56.97,56.97,55.69,55.77,6472,0
2025-05-21,56.45,56.45,55.58,55.96,20722,0
2025-05-22,56.85,56.85,55.34,55.67,2846015,0
2025-05-23,55.87,56.33,55.55,56.3,9615,0
2025-05-26,56.5,56.77,56.2,56.44,2660338,0
2025-05-27,56.16,56.61,55.95,56.26,44777,0
2025-05-28,55.56,56.78,55.56,56.29,5750,0
2025-05-29,56.32,56.45,55.92,56.27,1402,0
2025-05-30,56.29,56.69,56.1,56.63,35426,0
2025-06-02,56.92,56.92,56.12,56.64,33267,0
2025-06-03,56.98,56.98,56.27,56.52,24110,0
2025-06-04,57.19,57.19,56.25,56.6,3564,0
2025-06-05,56.89,56.89,56.4,56.53,2891035,0
2025-06-06,56.81,57.45,56.41,57.38,16468,0
2025-06-09,57.8,57.88,57.55,57.76,3484077,0
2025-06-10,57.78,57.78,57.35,57.56,67227,0
2025-06-11,57.84,57.84,57.14,57.2,12955,0
2025-06-12,57.43,57.44,56.7,56.86,121878,0
2025-06-13,56.74,56.74,56.14,56.27,9105,0
2025-06-16,56.47,56.91,56.13,56.81,50541,0
2025-06-17,56.81,56.82,56.42,56.53,11502,0
2025-06-18,56.26,56.8,56.26,56.65,3907776,0
2025-06-19,56.95,56.95,56.22,56.31,15827,0
2025-06-20,56.59,57.1,56.5,57.05,17642,0
2025-06-23,57.05,57.05,56.53,56.95,1629,0
2025-06-24,56.95,57.6,56.95,57.18,98747,0
2025-06-25,54.2,57.55,54.2,57.47,3214,0
2025-06-26,57.48,58.14,57.3,58.04,16139,0
2025-06-27,58.5,58.59,57.92,58.57,482254,0
2025-06-30,58.39,58.63,58.11,58.39,247557,0
2025-07-01,58.68,58.68,58.25,58.49,131935,0
2025-07-02,58.53,58.53,57.82,58.07,112084,0
2025-07-03,58.1,58.26,57.84,57.88,192308,0
2025-07-04,57.8,58.05,57.61,58.03,3049,0
2025-07-07,58.33,58.33,57.79,57.86,347841,0
2025-07-08,58.0,58.21,57.92,58.14,3695883,0
