date,open,high,low,close,volume,oi
2025-04-23,55.84,56.38,55.51,55.6,17834,0
2025-04-24,55.6,56.5,55.06,55.48,12373,0
2025-04-25,55.48,55.51,54.52,55.09,196911,0
2025-04-28,55.59,55.9,54.82,55.67,14108,0
2025-04-29,56.45,56.45,55.64,55.79,31748,0
2025-04-30,55.52,55.79,55.3,55.51,19443,0
2025-05-02,55.78,56.12,55.28,55.6,7320,0
2025-05-05,55.87,56.09,55.13,55.25,13139,0
2025-05-06,55.25,55.25,54.6,54.63,14637,0
2025-05-07,54.63,55.08,54.5,54.99,109365,0
2025-05-08,54.92,55.5,54.37,54.59,3507,0
2025-05-09,53.85,54.29,53.75,54.0,31052,0
2025-05-12,55.2,55.78,55.2,55.75,9227,0
2025-05-13,56.39,56.39,54.97,55.37,111540,0
2025-05-14,55.1,55.52,54.79,55.24,9487,0
2025-05-15,55.24,65.0,54.82,56.95,134160,0
2025-05-16,56.87,56.87,55.54,55.81,205716,0
2025-05-19,55.87,56.19,55.62,55.91,56340,0
2025-05-20,56.0,56.03,55.22,55.38,29727,0
2025-05-21,55.88,55.88,55.2,55.59,110212,0
2025-05-22,56.0,56.0,55.03,55.45,24484,0
2025-05-23,55.73,55.85,55.4,55.8,90209,0
2025-05-26,56.07,56.2,55.76,55.93,77507,0
2025-05-27,56.2,56.2,55.5,55.85,255180,0
2025-05-28,56.44,56.44,55.61,55.76,41336,0
2025-05-29,55.87,56.04,55.57,55.85,191025,0
2025-05-30,55.85,56.29,55.68,56.2,53334,0
2025-06-02,56.48,56.5,55.7,56.34,29872,0
2025-06-03,56.35,57.0,55.8,56.11,51713,0
2025-06-04,56.0,56.13,55.82,56.01,51779,0
2025-06-05,56.53,56.53,55.95,56.17,15123,0
2025-06-06,56.75,56.98,55.84,56.86,40039,0
2025-06-09,55.85,57.51,55.85,57.12,14113,0
2025-06-10,57.4,57.4,56.89,57.15,91608,0
2025-06-11,57.15,57.15,56.15,56.95,8943,0
2025-06-12,57.23,57.23,56.35,56.44,9023,0
2025-06-13,56.73,56.73,55.73,56.02,64103,0
2025-06-16,56.02,57.05,55.72,56.38,103262,0
2025-06-17,56.95,56.95,55.88,56.1,5800,0
2025-06-18,55.8,56.3,55.8,56.25,23776,0
2025-06-19,56.75,56.75,55.92,56.07,8960,0
2025-06-20,56.07,56.72,56.0,56.55,19692,0
2025-06-23,56.84,56.84,56.18,56.39,9503,0
2025-06-24,56.84,57.17,56.7,56.85,12911,0
2025-06-25,57.13,57.13,56.78,56.99,1863777,0
2025-06-26,57.53,57.6,56.87,57.49,94298,0
2025-06-27,57.95,58.02,57.49,57.95,202178,0
2025-06-30,58.5,58.5,57.71,58.0,140234,0
2025-07-01,57.71,58.12,57.67,57.94,20084,0
2025-07-02,58.3,58.3,57.44,57.68,7805,0
2025-07-03,57.72,57.89,57.4,57.47,45403,0
2025-07-04,57.85,57.85,57.21,57.73,13922,0
2025-07-07,57.73,57.77,57.38,57.62,4245,0
2025-07-08,58.3,58.3,56.81,57.72,11446,0
2025-07-09,58.2,58.2,56.5,57.83,1634,0
2025-07-10,58.11,58.11,57.51,57.66,6347,0
2025-07-11,57.64,57.71,57.1,57.43,24910,0
2025-07-14,57.36,57.66,57.1,57.45,4461,0
2025-07-15,57.95,57.95,57.29,57.55,6627,0
2025-07-16,57.95,57.95,57.44,57.85,47007,0
2025-07-17,58.0,58.0,57.35,57.4,20431,0
2025-07-18,56.7,57.4,56.7,56.94,29451,0
2025-07-21,56.14,57.67,56.14,57.63,64744,0
2025-07-22,57.63,57.77,57.4,57.44,9681,0
2025-07-23,57.54,57.91,57.3,57.83,18586,0
2025-07-24,58.11,58.99,57.35,58.15,20624,0
2025-07-25,58.5,58.5,57.09,57.28,26536,0
2025-07-28,56.81,57.25,56.75,56.82,13198,0
2025-07-29,57.1,57.1,56.51,56.95,9498,0
2025-07-30,57.24,57.24,56.69,56.8,4752,0
2025-07-31,56.53,57.08,56.07,56.71,6690,0
2025-08-01,55.29,62.0,55.29,58.68,60024,0
2025-08-04,57.37,57.37,56.15,56.37,97408,0
2025-08-05,57.77,57.77,55.89,56.01,25869,0
2025-08-06,56.5,56.5,55.86,55.98,33318,0
2025-08-07,55.86,56.36,55.57,56.24,12126,0
2025-08-08,55.74,56.21,55.51,55.56,14390,0
2025-08-11,56.55,56.55,55.59,56.0,8378,0
2025-08-12,55.86,56.2,55.69,55.77,41946,0
2025-08-13,55.83,56.02,55.71,55.95,5957,0
2025-08-14,56.22,56.22,55.85,55.99,4072,0
2025-08-18,56.01,56.9,56.0,56.44,18918,0
2025-08-19,56.44,56.75,56.4,56.69,62273,0
2025-08-20,56.69,57.08,56.28,56.52,20500,0
2025-08-21,56.52,56.79,56.38,56.54,3934,0
2025-08-22,55.8,56.95,55.41,55.96,45342,0
2025-08-25,56.24,56.89,55.71,55.97,26376,0
2025-08-26,56.88,57.73,55.2,55.53,129216,0
2025-08-28,56.64,56.69,54.6,54.64,83793,0
2025-08-29,54.72,54.86,54.4,54.45,27998,0
2025-09-01,55.4,55.4,54.48,54.8,41487,0
2025-09-02,55.68,55.68,54.24,54.46,59696,0
2025-09-03,55.55,55.55,54.32,54.88,117801,0
2025-09-04,54.89,55.84,54.63,54.72,57807,0
2025-09-05,55.3,55.9,54.5,54.93,10885,0
2025-09-08,55.78,56.1,54.76,55.01,14675,0
2025-09-09,55.18,55.19,54.77,54.96,10327,0
2025-09-10,55.44,55.45,55.05,55.34,262720,0
2025-09-11,56.72,56.72,55.17,55.48,49200,0
2025-09-12,55.3,55.62,55.3,55.61,43080,0
2025-09-15,55.61,56.44,55.47,55.68,11700,0
