date,open,high,low,close,volume,oi
2025-04-23,563.54,563.71,555.64,557.12,8277,0
2025-04-24,557.13,559.82,555.12,555.92,2180,0
2025-04-25,557.73,557.73,546.86,549.98,10630,0
2025-04-28,549.98,559.89,549.98,557.89,3566,0
2025-04-29,563.66,563.83,557.27,558.53,5765,0
2025-04-30,556.0,559.26,553.16,554.14,1549,0
2025-05-02,557.46,561.52,554.01,554.68,1932,0
2025-05-05,554.69,555.71,552.0,553.49,4450,0
2025-05-06,552.0,552.0,545.47,546.19,5573,0
2025-05-07,548.92,551.09,532.54,549.41,3263,0
2025-05-08,552.15,552.25,544.45,546.35,8070,0
2025-05-09,549.08,549.08,527.45,540.57,3556,0
2025-05-12,552.2,558.52,552.2,557.77,13741,0
2025-05-13,560.56,560.56,552.27,554.4,11228,0
2025-05-14,555.81,556.02,549.62,552.77,3844,0
2025-05-15,552.61,558.99,550.0,557.49,3216,0
2025-05-16,557.46,559.15,556.19,558.58,3325,0
2025-05-19,558.15,562.89,558.14,560.1,11725,0
2025-05-20,562.1,562.1,554.0,554.76,4451,0
2025-05-21,555.29,559.04,553.98,555.65,1250,0
2025-05-22,553.57,555.88,551.5,555.57,2771,0
2025-05-23,554.2,559.8,554.2,558.21,4239,0
2025-05-26,559.97,564.21,559.14,561.37,2731,0
2025-05-27,556.77,563.64,556.0,559.32,4604,0
2025-05-28,559.31,559.9,557.01,558.27,1565,0
2025-05-29,558.99,561.37,557.01,560.84,868,0
2025-05-30,560.84,563.77,558.92,562.25,2368,0
2025-06-02,567.97,567.97,559.68,563.36,3260,0
2025-06-03,563.12,564.26,560.0,561.35,1036,0
2025-06-04,559.87,562.25,559.32,561.0,2055,0
2025-06-05,562.25,564.69,560.85,562.08,1670,0
2025-06-06,564.89,572.04,560.64,570.88,16129,0
2025-06-09,573.73,575.59,572.4,572.99,8761,0
2025-06-10,573.1,573.32,570.21,571.89,4282,0
2025-06-11,571.17,572.0,569.09,570.16,2950,0
2025-06-12,570.15,570.79,565.09,566.34,2418,0
2025-06-13,559.5,561.73,558.58,560.76,17544,0
2025-06-16,551.0,565.87,546.74,565.4,639,0
2025-06-17,564.8,564.8,561.49,562.63,1223,0
2025-06-18,562.06,564.5,561.01,562.95,3540,0
2025-06-19,563.0,564.06,560.95,561.27,3886,0
2025-06-20,562.0,568.5,562.0,567.31,1208,0
2025-06-23,564.67,566.64,563.26,565.21,2634,0
2025-06-24,571.18,573.59,568.88,570.37,1902,0
2025-06-25,570.37,571.6,570.06,571.21,1000,0
2025-06-26,572.0,577.11,570.48,577.04,6205,0
2025-06-27,577.12,580.14,575.22,579.14,2769,0
2025-06-30,581.15,582.36,578.44,580.79,1217,0
2025-07-01,580.79,582.81,577.77,582.17,2670,0
2025-07-02,581.91,581.91,575.45,577.65,3758,0
2025-07-03,577.62,579.36,574.59,575.03,1794,0
2025-07-04,577.9,578.05,573.97,577.24,2370,0
2025-07-07,577.41,578.02,575.15,575.69,5377,0
2025-07-08,578.94,580.2,576.96,579.45,485,0
2025-07-09,577.94,580.02,577.01,579.44,5027,0
2025-07-10,578.96,579.73,576.94,577.1,407,0
2025-07-11,576.33,578.04,573.9,574.89,1564,0
2025-07-14,573.39,576.41,573.39,574.88,802,0
2025-07-15,576.04,578.89,575.46,576.69,1808,0
2025-07-16,579.03,579.7,576.35,578.68,3731,0
2025-07-17,578.68,578.68,575.0,575.83,1066,0
2025-07-18,573.01,573.53,569.13,570.62,18503,0
2025-07-21,570.12,576.42,569.41,575.91,1342,0
2025-07-22,577.68,578.11,574.33,575.18,1069,0
2025-07-23,574.48,580.01,573.68,579.7,10298,0
2025-07-24,582.59,582.59,575.39,577.4,785,0
2025-07-25,577.0,577.78,571.63,572.76,2161,0
2025-07-28,571.91,572.98,567.01,568.94,3297,0
2025-07-29,568.94,569.98,566.12,569.36,999,0
2025-07-30,569.36,571.03,568.14,569.04,526,0
2025-07-31,566.04,571.12,563.44,566.9,5764,0
2025-08-01,566.78,568.52,563.61,563.96,1564,0
2025-08-04,563.97,565.27,562.01,564.18,774,0
2025-08-05,564.18,564.18,558.99,561.67,1328,0
2025-08-06,575.71,575.71,559.87,562.16,9218,0
2025-08-07,560.71,562.72,557.0,562.43,1164,0
2025-08-08,562.02,562.02,556.97,557.59,1881,0
2025-08-11,558.37,561.81,558.22,561.56,664,0
2025-08-12,561.0,563.42,558.0,558.08,560,0
2025-08-13,559.98,560.99,559.15,560.87,3279,0
2025-08-14,563.67,563.67,560.8,562.39,3799,0
2025-08-18,569.95,570.12,565.03,566.5,1742,0
2025-08-19,565.69,568.19,564.39,566.52,1027,0
2025-08-20,566.23,566.45,564.15,565.92,1053,0
2025-08-21,568.09,568.39,566.15,566.55,2356,0
2025-08-22,563.82,563.82,560.22,560.48,21782,0
2025-08-25,560.48,561.66,558.64,559.42,2371,0
2025-08-26,558.97,558.97,553.0,553.48,10085,0
2025-08-28,551.89,552.33,546.0,547.19,7689,0
2025-08-29,547.74,549.47,545.0,545.51,4230,0
