date,open,high,low,close,volume,oi
2025-04-23,57.28,57.45,56.61,56.78,583350,0
2025-04-24,56.7,57.0,56.52,56.6,337210,0
2025-04-25,56.6,56.76,55.61,56.08,1539730,0
2025-04-28,56.08,57.05,55.7,56.88,1261250,0
2025-04-29,57.0,57.38,56.7,56.79,935520,0
2025-04-30,56.6,56.9,56.36,56.47,553340,0
2025-05-02,56.47,57.2,56.47,56.6,572380,0
2025-05-05,56.6,56.8,56.18,56.3,478480,0
2025-05-06,56.5,56.5,55.54,55.62,1083090,0
2025-05-07,55.34,56.13,55.34,55.95,904820,0
2025-05-08,55.95,56.5,55.5,55.76,5631800,0
2025-05-09,55.2,55.46,54.83,54.96,1077710,0
2025-05-12,56.61,57.16,55.51,57.05,6148980,0
2025-05-13,56.81,56.86,56.35,56.49,174560,0
2025-05-14,56.49,56.69,56.03,56.26,1029940,0
2025-05-15,56.3,57.06,56.0,56.87,258430,0
2025-05-16,56.87,57.09,56.58,56.86,2483160,0
2025-05-19,57.14,57.27,56.74,57.05,1132620,0
2025-05-20,56.54,57.18,56.42,56.49,193790,0
2025-05-21,56.49,56.9,56.21,56.76,1160040,0
2025-05-22,56.52,56.58,56.09,56.48,2980490,0
2025-05-23,58.18,58.18,55.83,56.94,455350,0
2025-05-26,57.22,57.4,56.81,57.15,543850,0
2025-05-27,57.16,57.34,56.6,56.9,802630,0
2025-05-28,57.18,57.18,56.83,56.95,101770,0
2025-05-29,56.95,57.3,56.7,57.11,300330,0
2025-05-30,57.48,57.48,56.95,57.29,189510,0
2025-06-02,57.4,57.5,57.0,57.48,2160650,0
2025-06-03,56.04,58.34,56.04,57.07,5662320,0
2025-06-04,57.07,57.24,56.9,57.17,193980,0
2025-06-05,57.17,57.51,57.08,57.23,4786160,0
2025-06-06,58.66,58.66,57.05,58.21,6568090,0
2025-06-09,58.4,58.66,58.02,58.46,1232420,0
2025-06-10,58.64,58.64,58.1,58.2,1822040,0
2025-06-11,58.15,58.36,58.0,58.04,208810,0
2025-06-12,57.92,58.2,57.56,57.63,488710,0
2025-06-13,57.45,57.45,56.87,57.02,542320,0
2025-06-16,58.45,58.45,56.74,57.49,299060,0
2025-06-17,57.52,57.57,57.16,57.31,1459270,0
2025-06-18,57.18,57.46,57.14,57.32,5237370,0
2025-06-19,55.89,57.48,55.89,57.08,87550,0
2025-06-20,57.08,57.85,57.08,57.71,1000640,0
2025-06-23,57.71,57.76,57.0,57.55,168550,0
2025-06-24,57.55,58.39,57.55,58.0,152700,0
2025-06-25,58.0,58.2,58.0,58.15,11640450,0
2025-06-26,58.16,58.78,58.09,58.72,466730,0
2025-06-27,58.5,59.2,58.41,59.17,577590,0
2025-06-30,59.17,59.5,58.93,59.03,703370,0
2025-07-01,60.5,60.5,58.75,59.21,1158860,0
2025-07-02,59.2,59.37,58.52,58.76,3475290,0
2025-07-03,57.29,59.04,57.29,58.52,2994360,0
2025-07-04,58.59,58.79,58.32,58.7,4326070,0
2025-07-07,58.41,58.87,58.41,58.64,515030,0
2025-07-08,58.35,59.05,58.35,58.94,225290,0
2025-07-09,58.94,59.05,58.74,58.94,188390,0
2025-07-10,58.94,59.09,58.63,58.64,6083350,0
2025-07-11,58.6,58.83,58.31,58.43,1462410,0
2025-07-14,58.43,58.8,58.32,58.59,2035820,0
2025-07-15,58.59,59.04,58.52,58.81,1395670,0
2025-07-16,58.81,59.05,58.7,58.84,108230,0
2025-07-17,58.84,58.96,58.6,58.61,896730,0
2025-07-18,59.3,59.3,57.96,58.06,222940,0
2025-07-21,58.06,65.16,57.99,59.74,585600,0
2025-07-22,59.48,59.48,58.62,58.67,121340,0
2025-07-23,59.17,59.17,58.6,58.93,2934390,0
2025-07-24,58.88,58.99,58.67,58.8,190020,0
2025-07-25,58.7,58.95,58.25,58.34,943430,0
2025-07-28,58.05,58.38,57.81,57.89,463440,0
2025-07-29,57.89,58.13,57.68,58.05,162410,0
2025-07-30,58.05,58.17,57.88,58.0,138920,0
2025-07-31,59.45,59.45,56.82,57.8,108950,0
2025-08-01,57.31,57.92,57.3,57.45,196050,0
2025-08-04,57.59,57.66,57.25,57.36,2399210,0
2025-08-05,57.36,57.36,56.93,57.08,2401400,0
2025-08-06,57.08,57.27,56.93,57.11,219500,0
2025-08-07,58.82,58.82,56.68,57.23,207610,0
2025-08-08,57.51,57.51,56.61,56.66,442690,0
2025-08-11,56.66,57.4,56.55,57.34,867170,0
2025-08-12,57.2,57.47,56.93,57.0,135020,0
2025-08-13,57.29,57.29,56.96,57.02,308970,0
2025-08-14,57.3,57.4,57.01,57.11,104250,0
2025-08-18,58.82,58.82,57.51,57.57,120010,0
2025-08-19,57.72,57.89,57.56,57.66,493730,0
2025-08-20,57.66,57.7,57.43,57.64,59310,0
2025-08-21,57.72,57.91,57.55,57.65,40140,0
2025-08-22,57.65,57.65,56.98,57.09,180420,0
2025-08-25,57.09,57.59,56.81,57.06,65080,0
2025-08-26,57.0,57.0,56.3,56.35,206540,0
2025-08-28,56.35,56.5,55.63,55.82,608140,0
2025-08-29,55.5,56.07,55.4,55.47,668750,0
2025-09-01,55.47,55.97,55.47,55.81,479850,0
2025-09-02,55.81,55.99,55.4,55.46,2249160,0
2025-09-03,55.7,55.92,55.4,55.84,303060,0
2025-09-04,56.41,56.41,55.84,55.93,367720,0
2025-09-05,56.01,56.05,55.58,55.94,136450,0
2025-09-08,55.44,56.43,55.44,56.12,235750,0
2025-09-09,56.38,56.38,55.95,55.99,512710,0
2025-09-10,56.28,56.58,56.21,56.49,1042670,0
2025-09-11,56.49,56.66,56.3,56.58,115590,0
2025-09-12,56.86,56.87,56.45,56.64,1477550,0
2025-09-15,56.14,56.98,56.14,56.87,656180,0
2025-09-16,55.45,57.1,55.45,57.02,1464700,0
2025-09-17,57.09,57.52,56.81,57.35,1914230,0
2025-09-18,57.64,57.7,57.36,57.6,1564190,0
2025-09-19,57.66,57.67,57.2,57.26,6810310,0
2025-09-22,57.5,57.56,57.1,57.13,176110,0
2025-09-23,57.13,57.48,56.99,57.32,5327680,0
2025-09-24,57.6,57.6,56.87,56.93,604510,0
2025-09-25,56.83,57.14,56.75,56.78,166800,0
