date,open,high,low,close,volume,oi
2025-04-23,1263.0,1263.95,1261.65,1263.88,9500,0
2025-04-24,1263.85,1265.98,1263.0,1264.31,7435,0
2025-04-25,1264.52,1266.38,1264.5,1265.31,1980,0
2025-04-28,1265.0,1268.79,1264.5,1265.0,3358,0
2025-04-29,1265.17,1267.17,1265.17,1266.85,2567,0
2025-04-30,1266.85,1268.48,1265.55,1267.89,2940,0
2025-05-02,1268.0,1269.0,1265.0,1267.97,2784,0
2025-05-05,1265.5,1270.55,1265.5,1270.18,12722,0
2025-05-06,1269.99,1271.05,1267.0,1270.0,2305,0
2025-05-07,1265.5,1270.92,1265.5,1268.66,928,0
2025-05-08,1268.66,1270.45,1267.01,1270.1,1606,0
2025-05-09,1266.99,1269.87,1256.97,1268.5,2469,0
2025-05-12,1268.5,1269.99,1263.01,1263.01,2318,0
2025-05-13,1263.19,1268.99,1263.18,1265.6,704,0
2025-05-14,1267.94,1270.97,1266.02,1268.49,2523,0
2025-05-15,1269.7,1272.48,1268.07,1269.6,6878,0
2025-05-16,1269.6,1273.92,1269.6,1273.68,976,0
2025-05-19,1275.0,1276.0,1271.6,1275.51,2991,0
2025-05-20,1278.99,1279.0,1273.07,1278.65,1755,0
2025-05-21,1280.0,1280.77,1278.07,1278.33,1987,0
2025-05-22,1284.99,1284.99,1277.68,1283.34,1771,0
2025-05-23,1284.99,1285.98,1283.5,1285.26,988,0
2025-05-26,1285.99,1286.76,1282.28,1285.27,2681,0
2025-05-27,1283.07,1287.15,1282.07,1282.19,6256,0
2025-05-28,1286.95,1287.49,1283.01,1283.85,2847,0
2025-05-29,1284.1,1287.75,1284.1,1284.7,1568,0
2025-05-30,1289.85,1289.88,1286.25,1286.31,6130,0
2025-06-02,1289.35,1289.36,1285.13,1288.43,2616,0
2025-06-03,1289.23,1289.24,1286.05,1287.74,2109,0
2025-06-04,1287.74,1289.49,1285.31,1285.64,9905,0
2025-06-05,1288.94,1289.12,1284.0,1288.84,1245,0
2025-06-06,1287.99,1289.48,1283.02,1286.28,4098,0
