date,open,high,low,close,volume,oi
2025-04-23,55.65,55.65,54.93,55.24,810,0
2025-04-24,55.25,55.25,55.04,55.23,386,0
2025-04-25,56.0,56.0,54.11,54.63,1815,0
2025-04-28,54.9,55.44,54.9,55.17,728,0
2025-04-29,53.66,55.89,53.66,55.12,597,0
2025-04-30,52.64,55.26,52.64,54.96,1420,0
2025-05-02,56.06,56.06,54.81,54.96,1651,0
2025-05-05,56.1,56.1,54.59,55.11,148,0
2025-05-06,54.71,54.71,53.95,53.95,5236,0
2025-05-07,51.9,54.48,51.9,54.31,941,0
2025-05-08,54.31,54.78,54.16,54.18,2414,0
2025-05-09,53.38,53.68,53.31,53.58,315,0
2025-05-12,54.4,55.38,54.4,55.09,1340,0
2025-05-13,55.09,55.2,54.74,54.75,1338,0
2025-05-14,55.86,55.86,53.73,54.7,1724,0
2025-05-15,54.59,55.2,54.33,55.2,164,0
2025-05-16,55.2,55.2,54.99,55.19,273,0
2025-05-19,55.46,55.5,55.2,55.49,1426,0
2025-05-20,56.6,56.6,54.66,54.83,615,0
2025-05-21,54.84,55.4,54.79,55.08,244,0
2025-05-22,54.62,55.1,54.49,55.04,162,0
2025-05-23,55.28,55.31,55.13,55.31,204,0
2025-05-26,55.58,55.62,55.35,55.56,2151,0
2025-05-27,55.56,55.66,55.19,55.3,307,0
2025-05-28,55.3,55.5,55.22,55.48,117,0
2025-05-29,55.2,55.58,55.07,55.57,2147,0
2025-05-30,56.68,56.68,55.3,55.85,2245,0
2025-06-02,56.12,56.12,55.37,55.67,1527,0
2025-06-03,55.85,55.85,55.44,55.44,545,0
2025-06-04,55.44,55.75,55.43,55.43,627,0
2025-06-05,55.56,55.85,55.52,55.83,564,0
2025-06-06,55.83,56.5,55.81,56.36,1581,0
2025-06-09,55.23,56.95,55.23,56.95,1015,0
2025-06-10,57.23,57.23,56.44,56.44,1023,0
2025-06-11,56.72,56.72,56.27,56.38,110,0
2025-06-12,56.27,56.52,55.87,55.87,801,0
2025-06-13,55.62,55.72,55.59,55.6,205,0
2025-06-16,55.6,56.09,54.23,55.73,926,0
2025-06-17,56.0,56.01,55.57,55.6,270,0
2025-06-18,55.85,55.85,55.52,55.63,442,0
2025-06-19,57.02,57.02,55.45,55.85,2633,0
2025-06-20,55.85,56.32,55.82,56.03,3019,0
2025-06-23,56.31,56.32,55.68,56.14,2883,0
2025-06-24,56.42,56.73,56.32,56.57,1573,0
2025-06-25,56.57,56.89,56.43,56.54,2778,0
2025-06-26,56.45,57.1,56.45,57.02,1880,0
2025-06-27,58.16,58.16,57.0,57.17,1596,0
2025-06-30,58.31,58.31,57.27,57.27,2021,0
2025-07-01,57.55,57.58,57.25,57.57,1791,0
2025-07-02,57.57,57.57,56.98,57.37,3514,0
2025-07-03,57.37,57.37,56.93,57.17,1355,0
2025-07-04,57.1,57.27,56.96,57.27,205,0
2025-07-07,57.55,57.55,57.0,57.06,78,0
2025-07-08,57.34,57.41,57.11,57.34,175,0
