date,open,high,low,close,volume,oi
2025-04-23,96.0,98.0,93.5,94.55,10574,0
2025-04-24,97.4,97.5,94.05,94.35,2472,0
2025-04-25,94.4,94.4,93.55,93.85,4004,0
2025-04-28,93.4,93.7,91.5,92.9,6803,0
2025-04-29,94.8,94.8,93.25,93.35,633,0
2025-04-30,95.7,95.7,92.35,92.85,7406,0
2025-05-02,93.3,93.3,90.85,92.2,8734,0
2025-05-05,92.7,93.7,91.6,93.7,1289,0
2025-05-06,94.15,96.1,93.8,95.55,3610,0
2025-05-07,93.2,96.2,93.2,95.6,1300,0
2025-05-08,96.05,96.05,93.5,94.95,6783,0
2025-05-09,94.9,95.75,93.75,94.65,1462,0
2025-05-12,94.8,94.8,91.05,91.7,5669,0
2025-05-13,92.95,92.95,91.05,92.55,1296,0
2025-05-14,90.25,92.85,90.25,91.8,18981,0
2025-05-15,90.8,90.95,89.55,90.75,1796,0
2025-05-16,91.85,91.9,91.3,91.75,278,0
2025-05-19,94.05,94.05,91.2,92.0,1120,0
2025-05-20,92.05,92.05,91.0,91.7,1917,0
2025-05-21,93.15,93.75,93.05,93.05,1121,0
2025-05-22,94.0,94.0,93.6,93.6,446,0
2025-05-23,93.15,93.9,93.1,93.25,300,0
2025-05-26,93.45,93.95,93.3,93.3,464,0
2025-05-27,93.75,93.85,93.0,93.45,1249,0
2025-05-28,93.5,93.95,93.3,93.7,1294,0
2025-05-29,94.15,94.15,92.5,92.5,2039,0
2025-05-30,92.8,93.45,92.8,93.0,380,0
2025-06-02,92.55,94.75,92.55,94.25,2380,0
2025-06-03,107.0,107.0,94.5,95.1,7798,0
2025-06-04,95.1,95.5,94.9,95.4,6823,0
2025-06-05,95.45,95.85,95.35,95.8,1745,0
2025-06-06,96.55,96.7,95.05,95.6,2032,0
2025-06-09,96.05,96.05,93.5,94.0,12401,0
2025-06-10,94.0,94.8,93.45,94.8,2875,0
2025-06-11,95.25,95.25,94.5,94.85,1339,0
2025-06-12,95.55,95.55,94.85,95.25,315,0
2025-06-13,95.7,98.95,95.7,97.25,8907,0
2025-06-16,97.25,98.5,97.25,97.65,4128,0
2025-06-17,98.1,98.1,96.2,96.95,1484,0
2025-06-18,96.95,98.0,96.95,97.45,1599,0
2025-06-19,97.45,97.45,96.6,97.2,609,0
2025-06-20,96.75,96.8,96.2,96.55,4246,0
2025-06-23,97.0,97.2,96.0,97.1,2070,0
2025-06-24,97.05,97.05,95.0,95.3,53425,0
2025-06-25,95.35,95.35,94.8,95.0,1408,0
2025-06-26,95.45,95.45,94.8,94.8,592,0
2025-06-27,94.8,94.8,93.5,94.0,4692,0
2025-06-30,94.45,94.45,93.25,93.6,1339,0
2025-07-01,93.6,95.0,93.6,94.7,2090,0
2025-07-02,95.0,95.5,94.5,95.45,1838,0
2025-07-03,95.9,95.9,95.0,95.1,2303,0
2025-07-04,95.55,95.55,94.45,94.95,1551,0
2025-07-07,94.95,95.4,94.0,94.55,1495,0
2025-07-08,95.0,95.05,94.8,95.0,735,0
2025-07-09,95.45,95.45,93.55,93.9,2287,0
2025-07-10,94.35,94.7,94.35,94.7,287,0
2025-07-11,94.9,95.45,94.9,95.35,1715,0
2025-07-14,95.8,96.15,95.35,95.9,2195,0
2025-07-15,96.35,96.35,95.6,95.9,2005,0
2025-07-16,96.35,96.35,94.9,95.3,519,0
2025-07-17,97.65,97.65,95.05,95.2,1031,0
2025-07-18,95.5,95.8,95.05,95.8,1603,0
2025-07-21,95.0,96.3,95.0,96.3,1515,0
2025-07-22,96.3,97.2,95.75,97.2,2570,0
2025-07-23,96.75,100.4,96.7,98.2,2203,0
2025-07-24,98.2,98.25,95.75,96.5,3003,0
2025-07-25,96.95,97.25,96.25,96.25,1010,0
2025-07-28,96.7,96.7,95.75,95.8,1558,0
2025-07-29,95.8,96.05,95.5,96.05,1711,0
2025-07-30,96.5,96.7,96.3,96.7,1008,0
2025-07-31,96.5,96.75,96.0,96.5,827,0
2025-08-01,96.5,96.5,95.2,95.25,1515,0
2025-08-04,96.2,98.1,96.2,97.6,3522,0
2025-08-05,97.6,98.65,97.5,97.9,1167,0
2025-08-06,98.5,98.5,96.9,98.0,1006,0
2025-08-07,98.45,99.5,97.85,98.45,1449,0
2025-08-08,98.9,98.9,98.2,98.75,739,0
2025-08-11,99.2,99.2,97.6,97.85,1025,0
2025-08-12,98.3,98.3,96.55,97.4,4198,0
2025-08-13,97.0,98.0,96.95,97.6,1775,0
2025-08-14,98.05,98.5,97.2,97.5,834,0
2025-08-18,97.95,97.95,96.7,97.45,826,0
2025-08-19,96.75,96.8,96.45,96.5,1702,0
2025-08-20,96.5,96.5,96.0,96.1,2918,0
2025-08-21,96.1,97.0,96.0,96.9,352762,0
2025-08-22,96.9,96.9,96.3,96.9,349,0
2025-08-25,94.5,98.0,94.5,97.95,737,0
2025-08-26,98.4,98.4,97.95,98.35,46710,0
2025-08-28,98.8,100.8,98.0,98.9,50009,0
2025-08-29,101.35,101.35,98.9,99.9,3164,0
2025-09-01,102.35,104.8,100.35,101.85,44209,0
2025-09-02,101.9,104.8,101.45,101.75,2553,0
2025-09-03,102.25,104.0,101.45,102.85,79653,0
2025-09-04,103.35,103.55,102.85,103.35,101882,0
2025-09-05,103.85,105.8,103.55,103.9,5036,0
2025-09-08,106.9,106.9,104.4,105.35,7743,0
2025-09-09,105.85,123.95,105.85,113.4,168939,0
2025-09-10,111.2,111.7,105.35,106.4,300218,0
2025-09-11,109.05,109.05,105.75,106.1,166330,0
2025-09-12,106.1,107.65,105.9,106.85,54072,0
2025-09-15,109.5,109.5,105.15,106.55,112326,0
2025-09-16,107.05,108.15,106.55,108.05,77272,0
2025-09-17,108.55,108.8,106.7,107.0,123027,0
2025-09-18,108.6,108.6,106.0,107.35,65047,0
