date,open,high,low,close,volume,oi
2025-04-23,230.4,231.33,224.1,230.53,9723451,0
2025-04-24,229.0,231.52,226.57,230.5,13730795,0
2025-04-25,230.98,231.79,217.85,222.37,18081374,0
2025-04-28,222.37,231.39,221.56,230.31,11353051,0
2025-04-29,230.3,235.2,230.24,231.33,16328906,0
2025-04-30,231.5,232.37,225.06,226.84,8248908,0
2025-05-02,226.84,231.23,223.8,224.54,8095009,0
2025-05-05,225.0,229.49,225.0,228.72,4412046,0
2025-05-06,228.72,228.95,216.12,217.75,11268211,0
2025-05-07,213.5,226.2,213.4,225.15,16036419,0
2025-05-08,225.3,227.0,214.9,217.17,7896625,0
2025-05-09,212.1,218.0,212.1,216.63,9483894,0
2025-05-12,224.0,233.5,224.0,232.95,14953189,0
2025-05-13,233.8,243.2,233.0,238.38,26179873,0
2025-05-14,239.69,240.76,234.34,239.36,21213251,0
2025-05-15,240.0,247.67,237.59,245.68,16138842,0
2025-05-16,247.8,259.99,244.16,250.35,50239674,0
2025-05-19,252.99,253.89,243.2,243.78,15730487,0
2025-05-20,244.99,249.48,241.8,244.43,15814984,0
2025-05-21,244.5,249.54,241.8,247.42,9812359,0
2025-05-22,247.0,251.65,244.6,247.57,14679264,0
2025-05-23,247.5,255.96,245.1,254.8,18672122,0
2025-05-26,255.85,262.35,255.44,261.86,18231776,0
2025-05-27,261.99,263.4,258.48,260.17,11619198,0
2025-05-28,261.1,268.95,260.84,266.61,16354936,0
2025-05-29,266.98,269.12,264.12,266.41,12113755,0
2025-05-30,267.74,268.65,258.73,259.83,16166684,0
2025-06-02,261.05,262.9,258.65,261.4,5496542,0
2025-06-03,262.5,262.85,252.05,252.95,10202467,0
2025-06-04,253.1,254.6,250.5,253.75,7322863,0
2025-06-05,254.95,256.5,251.25,252.0,5868497,0
2025-06-06,252.8,258.3,252.05,255.7,5912223,0
2025-06-09,257.0,259.6,254.25,258.15,8142667,0
2025-06-10,259.5,263.4,258.2,260.55,13506650,0
2025-06-11,261.4,261.4,255.5,257.0,6312600,0
2025-06-12,256.35,258.0,253.15,253.8,7494477,0
2025-06-13,247.6,255.2,245.7,253.55,6863381,0
2025-06-16,253.0,256.25,248.2,254.45,5449381,0
2025-06-17,255.0,256.5,250.7,252.35,3780350,0
2025-06-18,252.35,255.25,250.25,251.8,4309390,0
2025-06-19,251.1,253.0,243.5,247.2,6499510,0
2025-06-20,247.0,252.2,246.85,250.45,7364337,0
2025-06-23,248.45,255.5,248.15,253.8,6599595,0
2025-06-24,255.95,263.8,254.2,259.95,13591549,0
2025-06-25,261.2,264.25,260.05,261.85,8079034,0
2025-06-26,262.4,265.35,260.9,264.45,8632812,0
2025-06-27,265.0,268.4,263.2,264.1,8256515,0
2025-06-30,272.0,272.1,263.45,266.3,24499093,0
2025-07-01,267.75,267.75,262.5,264.65,6368798,0
2025-07-02,264.65,265.6,259.0,260.6,4720752,0
