date,open,high,low,close,volume,oi
2025-04-23,291.5,292.05,284.05,286.15,7400827,0
2025-04-24,288.55,290.9,286.0,287.6,5773985,0
2025-04-25,287.95,290.45,279.3,281.6,7773037,0
2025-04-28,279.15,296.15,279.15,295.25,14414879,0
2025-04-29,296.7,300.55,295.05,296.85,9522966,0
2025-04-30,303.8,307.1,294.3,295.3,21424437,0
2025-05-02,295.75,302.4,295.15,296.3,7751559,0
2025-05-05,301.9,310.3,300.95,305.75,16037327,0
2025-05-06,305.8,306.85,295.75,296.6,5444873,0
2025-05-07,292.4,302.4,292.4,301.8,7970668,0
2025-05-08,300.45,304.9,291.1,293.25,5918739,0
2025-05-09,288.15,292.7,287.0,292.25,4955934,0
2025-05-12,300.0,300.9,292.55,294.35,6844271,0
2025-05-13,294.35,295.8,290.0,292.3,7241358,0
2025-05-14,294.0,298.6,293.7,297.65,7733320,0
2025-05-15,299.05,304.9,298.55,301.9,7055032,0
2025-05-16,300.95,305.7,300.75,304.9,6861786,0
2025-05-19,303.35,304.35,301.1,302.1,2956007,0
2025-05-20,301.9,304.45,296.9,297.95,5016433,0
2025-05-21,297.45,301.65,294.6,300.8,5232094,0
2025-05-22,299.9,303.7,294.0,298.1,4876801,0
2025-05-23,297.15,304.8,297.15,303.7,4257721,0
2025-05-26,303.8,308.5,303.8,307.55,5050848,0
2025-05-27,307.5,307.5,300.45,301.9,4716473,0
2025-05-28,301.9,307.2,298.8,306.4,7112876,0
2025-05-29,305.9,307.2,302.5,303.95,4000772,0
2025-05-30,302.45,307.05,301.9,303.2,9148638,0
2025-06-02,303.2,304.3,300.6,301.5,3086437,0
2025-06-03,300.05,305.65,294.3,295.0,7853488,0
2025-06-04,295.0,297.8,293.9,296.7,5925942,0
2025-06-05,296.25,300.35,293.55,295.05,5900170,0
2025-06-06,294.3,302.7,294.3,301.6,5825337,0
2025-06-09,302.65,306.15,300.0,305.1,3787426,0
2025-06-10,305.9,309.25,304.2,304.9,6489933,0
2025-06-11,305.0,318.6,305.0,317.95,21739121,0
2025-06-12,314.75,315.25,302.6,303.45,13568848,0
2025-06-13,290.5,299.45,285.05,297.45,13958229,0
2025-06-16,295.2,301.75,293.8,301.35,6893567,0
2025-06-17,299.05,305.15,296.85,297.9,7219608,0
2025-06-18,297.15,301.75,294.95,300.8,10011198,0
2025-06-19,301.9,301.9,295.35,298.5,5399948,0
2025-06-20,296.1,300.85,295.25,298.55,8522458,0
2025-06-23,295.25,300.45,293.5,298.5,6848410,0
2025-06-24,310.0,312.15,301.9,304.05,11172373,0
2025-06-25,307.15,307.6,301.5,304.4,6658747,0
2025-06-26,303.65,315.25,303.65,314.05,15528180,0
2025-06-27,314.25,318.3,311.85,317.15,9911738,0
2025-06-30,318.1,321.6,314.6,316.15,5840638,0
2025-07-01,315.75,319.5,315.15,316.25,3921773,0
2025-07-02,317.8,318.95,313.15,316.0,3799017,0
2025-07-03,317.15,319.55,314.8,315.7,5049883,0
2025-07-04,318.1,331.1,316.1,329.7,13743465,0
2025-07-07,329.35,334.8,327.1,333.8,8603937,0
2025-07-08,333.3,341.6,332.1,338.65,12905482,0
2025-07-09,338.65,339.4,331.1,331.9,8039090,0
2025-07-10,335.05,336.05,331.45,334.25,6580919,0
2025-07-11,335.05,335.85,326.95,328.4,4803470,0
2025-07-14,329.35,331.6,326.5,328.0,5372218,0
2025-07-15,331.1,333.8,329.65,331.45,6270256,0
2025-07-16,333.35,334.95,330.85,331.25,8426412,0
2025-07-17,332.9,333.2,327.85,330.25,4026086,0
2025-07-18,330.95,334.7,325.85,327.15,5631392,0
2025-07-21,327.15,328.25,323.3,326.25,5051058,0
2025-07-22,326.25,327.95,323.75,324.1,4447293,0
2025-07-23,325.6,328.55,320.75,328.05,5089227,0
2025-07-24,328.05,328.45,323.55,325.15,3270996,0
2025-07-25,323.9,325.15,315.3,317.05,3514659,0
2025-07-28,316.55,322.25,315.25,317.5,5630809,0
2025-07-29,320.0,321.2,317.3,318.95,7809814,0
2025-07-30,318.1,327.2,314.25,321.0,11366010,0
