date,open,high,low,close,volume,oi
2025-04-23,87.49,87.49,84.3,85.44,572119,0
2025-04-24,85.5,85.88,84.61,85.25,70006,0
2025-04-25,85.87,85.94,84.52,84.91,386361,0
2025-04-28,84.99,85.7,83.5,83.99,159144,0
2025-04-29,84.78,85.99,84.21,85.09,229914,0
2025-04-30,85.94,85.95,83.55,83.96,237187,0
2025-05-02,83.8,83.8,82.07,83.33,356562,0
2025-05-05,83.44,84.39,82.59,84.22,46800,0
2025-05-06,85.99,87.33,84.88,86.89,305122,0
2025-05-07,86.88,86.88,85.52,86.1,48947,0
2025-05-08,85.01,86.9,84.7,85.79,285274,0
2025-05-09,84.99,86.75,84.48,85.94,161030,0
2025-05-12,85.0,85.49,82.0,82.5,284612,0
2025-05-13,83.39,83.98,82.51,83.8,1302477,0
2025-05-14,82.63,83.5,82.63,83.03,70542,0
2025-05-15,82.32,82.99,80.77,81.94,311011,0
2025-05-16,83.0,83.4,82.25,82.35,275438,0
2025-05-19,83.27,83.45,82.18,83.27,32154,0
2025-05-20,83.27,83.27,82.19,82.8,27274,0
2025-05-21,84.69,84.69,83.74,84.28,68921,0
2025-05-22,85.0,85.0,84.26,84.84,48567,0
2025-05-23,84.22,85.93,84.22,84.57,126402,0
2025-05-26,93.03,93.03,83.85,84.24,130591,0
2025-05-27,84.31,84.84,84.25,84.31,152506,0
2025-05-28,84.77,85.67,84.08,84.6,87671,0
2025-05-29,84.61,84.61,83.56,83.86,166812,0
2025-05-30,84.0,84.29,83.63,84.16,21775,0
2025-06-02,84.69,85.55,84.16,85.39,97382,0
2025-06-03,83.25,88.0,83.25,86.0,364758,0
2025-06-04,88.15,88.15,85.51,86.34,323305,0
2025-06-05,84.18,86.77,84.18,86.43,40909,0
2025-06-06,89.02,89.02,85.56,86.04,2974325,0
2025-06-09,86.04,86.04,84.21,85.04,3134550,0
2025-06-10,85.45,85.49,84.12,85.43,26674,0
2025-06-11,85.01,87.37,85.01,85.54,292402,0
2025-06-12,83.4,87.3,83.4,86.32,2663520,0
2025-06-13,87.59,88.95,87.4,88.49,469372,0
2025-06-16,86.27,89.95,86.27,88.12,526540,0
2025-06-17,87.99,88.0,86.4,87.21,671697,0
2025-06-18,89.39,89.39,87.13,87.66,483522,0
2025-06-19,89.61,89.61,87.0,87.53,372864,0
2025-06-20,86.03,87.44,86.03,87.19,440216,0
2025-06-23,88.45,88.45,87.19,87.78,377766,0
2025-06-24,88.0,88.0,85.4,85.77,631922,0
2025-06-25,85.78,86.27,85.68,86.0,361646,0
2025-06-26,87.3,87.3,85.63,85.98,366609,0
2025-06-27,85.98,85.98,84.5,84.58,76626,0
2025-06-30,83.6,85.17,83.6,84.79,223747,0
2025-07-01,84.15,86.1,84.15,85.83,46043,0
2025-07-02,83.68,87.97,83.68,86.07,48144,0
2025-07-03,88.22,88.22,85.91,85.97,34071,0
2025-07-04,86.4,86.4,85.64,86.23,218947,0
2025-07-07,88.38,88.38,85.25,85.6,41225,0
