date,open,high,low,close,volume,oi
2025-04-23,78.83,79.75,78.61,79.18,2345,0
2025-04-24,79.19,79.37,78.75,79.08,21555,0
2025-04-25,79.99,79.99,77.83,78.26,2613,0
2025-04-28,77.93,79.88,74.74,79.29,3792,0
2025-04-29,80.97,80.97,79.19,79.69,617,0
2025-04-30,80.93,80.93,79.26,79.63,1045,0
2025-05-02,79.51,80.9,79.43,79.84,3376,0
2025-05-05,81.44,81.44,79.82,79.88,5070,0
2025-05-06,79.88,80.01,79.56,79.74,2376,0
2025-05-07,82.13,82.13,78.14,79.8,4609,0
2025-05-08,80.19,80.19,79.12,79.49,674,0
2025-05-09,79.12,80.05,78.33,78.61,1683,0
2025-05-12,80.58,81.51,79.64,81.47,4835,0
2025-05-13,82.71,83.27,80.25,80.5,3176,0
2025-05-14,82.37,82.37,79.7,80.56,1657,0
2025-05-15,82.17,82.17,79.5,81.63,3194,0
2025-05-16,81.99,82.0,80.54,81.6,3340,0
2025-05-19,82.0,82.0,79.96,81.32,1308,0
2025-05-20,82.97,82.97,80.37,80.66,1302,0
2025-05-21,81.99,82.0,80.19,80.81,1249,0
2025-05-22,79.19,80.72,79.19,80.14,3718,0
2025-05-23,80.64,81.35,80.64,80.85,887,0
2025-05-26,82.67,82.67,80.13,81.28,1943,0
2025-05-27,80.0,82.2,80.0,80.85,1246,0
2025-05-28,80.48,81.13,80.45,80.65,834,0
2025-05-29,79.82,82.26,79.82,80.8,1152,0
2025-05-30,82.0,82.0,77.65,80.7,1707,0
2025-06-02,82.3,82.3,79.31,80.78,1662,0
2025-06-03,81.18,81.19,80.04,80.33,640,0
2025-06-04,82.3,82.3,80.13,80.72,1786,0
2025-06-05,80.75,82.33,80.52,80.86,1023,0
2025-06-06,82.88,82.88,64.38,81.5,2237,0
2025-06-09,83.53,83.53,79.86,81.83,6432,0
2025-06-10,82.7,82.7,80.91,81.71,5388,0
2025-06-11,84.16,84.16,81.7,81.94,2307,0
2025-06-12,82.01,83.38,80.9,81.05,6882,0
2025-06-13,81.1,81.66,80.3,81.4,1157,0
2025-06-16,79.21,82.97,79.21,80.49,98221,0
2025-06-17,80.01,81.49,80.01,81.13,2892,0
2025-06-18,82.75,82.75,80.66,80.94,827,0
2025-06-19,82.62,82.62,80.5,80.71,3106,0
2025-06-20,78.29,81.99,78.29,80.96,2533,0
2025-06-23,79.34,81.68,79.25,81.35,3812,0
2025-06-24,82.49,82.49,79.72,81.57,3678,0
2025-06-25,81.97,83.2,81.61,82.08,3783,0
2025-06-26,82.08,83.17,80.44,83.06,7514,0
2025-06-27,84.05,84.05,83.19,83.52,6198,0
2025-06-30,83.52,84.7,81.5,83.28,3564,0
2025-07-01,81.19,85.36,81.19,83.13,1221,0
2025-07-02,83.13,83.68,82.84,83.21,1204,0
2025-07-03,81.55,83.67,81.55,82.93,470,0
2025-07-04,84.7,84.7,81.54,83.26,2315,0
2025-07-07,85.76,85.76,80.79,83.11,1311,0
2025-07-08,83.25,83.5,82.7,83.03,491,0
2025-07-09,84.69,84.69,80.6,83.4,1792,0
2025-07-10,81.73,84.97,81.73,82.99,966,0
2025-07-11,84.65,84.7,82.04,82.28,1587,0
2025-07-14,83.97,83.97,80.23,82.03,1515,0
2025-07-15,82.53,82.54,81.96,82.31,999,0
2025-07-16,83.96,83.96,80.66,82.24,629,0
2025-07-17,80.6,83.8,80.6,81.99,469,0
2025-07-18,80.5,83.5,80.5,81.6,1577,0
2025-07-21,82.97,82.97,80.96,81.92,664,0
