date,open,high,low,close,volume,oi
2025-04-23,1440.5,1486.0,1427.5,1478.5,8121570,0
2025-04-24,1480.0,1497.0,1446.0,1450.0,3868135,0
2025-04-25,1462.0,1503.0,1436.5,1478.0,5022010,0
2025-04-28,1482.0,1494.0,1451.0,1475.5,2291125,0
2025-04-29,1491.0,1511.0,1470.0,1497.0,2852330,0
2025-04-30,1495.0,1502.0,1456.0,1461.0,2021165,0
2025-05-02,1468.0,1507.5,1464.5,1476.5,2371700,0
2025-05-05,1484.0,1519.0,1480.0,1499.5,2420060,0
2025-05-06,1570.0,1600.0,1478.0,1485.0,11503675,0
2025-05-07,1480.0,1523.0,1467.0,1520.0,2994720,0
2025-05-08,1524.0,1586.0,1524.0,1551.0,5923215,0
2025-05-09,1511.0,1549.0,1511.0,1536.0,2793100,0
2025-05-12,1600.0,1675.0,1568.5,1662.5,6150415,0
2025-05-13,1680.0,1685.0,1642.5,1653.5,3061420,0
2025-05-14,1647.0,1699.0,1646.0,1692.5,3161205,0
2025-05-15,1692.5,1709.0,1672.5,1692.0,2536890,0
2025-05-16,1696.0,1700.0,1682.0,1685.0,1186730,0
2025-05-19,1686.0,1686.0,1650.5,1655.0,1391245,0
2025-05-20,1675.5,1704.0,1636.5,1641.0,4093215,0
2025-05-21,1642.5,1663.0,1629.0,1653.0,1140780,0
2025-05-22,1640.0,1674.0,1634.0,1652.5,1588285,0
2025-05-23,1662.0,1694.0,1648.0,1664.5,1916425,0
2025-05-26,1672.5,1697.0,1656.5,1691.0,1328450,0
2025-05-27,1690.0,1696.0,1680.0,1692.0,823720,0
2025-05-28,1707.0,1715.0,1691.0,1693.5,1397865,0
2025-05-29,1709.0,1740.0,1703.0,1726.0,1920635,0
2025-05-30,1734.5,1737.0,1693.0,1710.0,1536140,0
2025-06-02,1710.0,1723.0,1690.5,1717.0,1574265,0
2025-06-03,1728.0,1731.5,1696.5,1700.0,910355,0
2025-06-04,1719.0,1730.5,1694.0,1724.5,1812516,0
2025-06-05,1724.5,1792.0,1713.0,1766.0,2409185,0
2025-06-06,1779.5,1783.5,1744.0,1775.5,1206610,0
2025-06-09,1788.5,1805.0,1772.0,1794.0,1439693,0
2025-06-10,1817.0,1895.0,1817.0,1830.5,6550333,0
2025-06-11,1835.0,1848.0,1810.5,1816.5,2303047,0
2025-06-12,1821.5,1828.0,1766.5,1784.5,1603658,0
