date,open,high,low,close,volume,oi
2025-04-23,126.0,127.2,125.3,127.0,191804,0
2025-04-24,126.99,127.24,125.81,126.07,148834,0
2025-04-25,126.08,126.97,123.02,124.17,173819,0
2025-04-28,124.17,125.21,123.73,124.99,102763,0
2025-04-29,125.13,125.79,124.37,124.64,210127,0
2025-04-30,124.99,125.3,123.97,124.83,77814,0
2025-05-02,124.83,126.02,123.8,124.34,100335,0
2025-05-05,124.96,126.46,124.96,126.23,136816,0
2025-05-06,126.98,127.33,125.52,125.82,206884,0
2025-05-07,125.32,126.0,124.11,125.72,121434,0
2025-05-08,125.22,126.26,123.15,123.69,105149,0
2025-05-09,123.11,123.52,120.94,123.09,138687,0
2025-05-12,124.99,127.77,124.99,127.43,147984,0
2025-05-13,127.38,127.6,125.65,126.03,150839,0
2025-05-14,126.01,126.88,125.64,126.28,143954,0
2025-05-15,126.91,128.4,125.99,128.23,246014,0
2025-05-16,128.86,128.86,127.84,128.53,140100,0
2025-05-19,129.7,129.9,128.06,128.33,171251,0
2025-05-20,128.97,129.25,126.0,126.19,138879,0
2025-05-21,126.87,127.53,125.73,126.95,145679,0
2025-05-22,126.95,126.95,125.4,126.11,125062,0
2025-05-23,126.66,127.5,126.12,127.35,89671,0
2025-05-26,128.17,128.39,127.07,127.83,92373,0
2025-05-27,130.0,130.0,126.65,127.23,215960,0
2025-05-28,127.15,127.66,126.25,126.42,141809,0
2025-05-29,128.0,128.0,126.06,126.78,86924,0
2025-05-30,128.08,128.09,126.05,126.21,79827,0
2025-06-02,126.21,127.0,125.57,126.87,99330,0
2025-06-03,127.5,127.82,126.0,126.13,138039,0
2025-06-04,126.69,126.8,126.0,126.56,103122,0
2025-06-05,126.99,127.71,126.35,127.13,139835,0
2025-06-06,127.71,128.67,126.92,128.59,179597,0
2025-06-09,132.45,132.45,126.1,128.85,270773,0
2025-06-10,130.0,130.0,128.33,128.68,141757,0
2025-06-11,129.29,129.32,128.31,128.49,118377,0
2025-06-12,129.13,129.13,126.66,126.95,148875,0
2025-06-13,126.6,127.99,122.1,126.16,153058,0
2025-06-16,124.11,128.22,124.11,127.15,85536,0
2025-06-17,127.78,127.84,126.36,126.63,73376,0
2025-06-18,126.99,127.48,126.2,126.64,75664,0
2025-06-19,127.91,127.94,126.36,126.77,114152,0
2025-06-20,127.28,128.69,126.46,128.47,160679,0
2025-06-23,127.71,128.77,126.74,128.36,122726,0
2025-06-24,129.09,129.84,128.29,128.46,144736,0
2025-06-25,129.74,130.06,128.77,129.97,142022,0
2025-06-26,130.05,131.11,129.95,131.02,200208,0
2025-06-27,131.65,131.65,129.96,131.31,161671,0
2025-06-30,131.66,131.69,130.55,130.94,123067,0
2025-07-01,132.25,132.9,130.68,130.82,81749,0
2025-07-02,131.47,131.99,130.47,131.08,75501,0
2025-07-03,132.13,132.46,130.05,131.02,102661,0
2025-07-04,134.29,134.29,130.17,130.73,75954,0
2025-07-07,132.04,132.09,130.43,131.26,96261,0
2025-07-08,131.3,131.58,130.0,130.79,88893,0
2025-07-09,131.97,131.99,130.29,131.02,71604,0
2025-07-10,131.55,131.55,130.0,130.16,67381,0
2025-07-11,130.17,130.52,128.82,129.02,109285,0
2025-07-14,129.55,129.61,127.98,129.06,1023911,0
2025-07-15,129.64,130.5,129.08,130.0,105898,0
2025-07-16,130.0,130.7,129.49,130.47,64030,0
2025-07-17,131.77,132.98,130.16,130.22,69673,0
2025-07-18,130.4,131.11,129.35,129.56,61255,0
2025-07-21,130.71,130.71,128.55,130.31,94246,0
2025-07-22,131.8,131.8,130.46,131.01,73918,0
2025-07-23,131.14,131.37,130.72,131.08,85635,0
2025-07-24,131.37,131.5,130.38,130.49,148667,0
2025-07-25,131.66,131.66,129.2,129.4,61208,0
2025-07-28,129.99,130.02,128.38,128.58,129881,0
2025-07-29,128.57,129.48,128.18,129.36,57778,0
2025-07-30,129.34,129.99,129.1,129.52,39491,0
2025-07-31,129.81,130.65,128.3,130.01,90054,0
2025-08-01,130.18,131.13,129.2,129.54,101609,0
2025-08-04,130.18,130.75,129.72,130.63,125341,0
2025-08-05,130.61,131.38,129.91,130.76,65012,0
2025-08-06,131.41,131.64,129.91,130.41,71141,0
2025-08-07,130.31,131.5,129.2,130.91,77464,0
2025-08-08,131.15,131.15,129.2,129.62,201367,0
2025-08-11,128.98,131.28,128.97,130.78,109580,0
2025-08-12,130.87,131.3,130.41,130.66,123862,0
2025-08-13,130.8,131.73,130.8,131.61,86426,0
2025-08-14,131.78,131.84,131.15,131.28,85469,0
2025-08-18,132.43,135.19,132.09,134.5,793274,0
2025-08-19,135.28,135.85,133.84,135.63,697654,0
2025-08-20,136.08,136.59,135.64,136.43,239345,0
2025-08-21,136.76,136.76,136.0,136.38,226966,0
2025-08-22,136.77,136.77,135.18,135.69,205027,0
2025-08-25,137.32,137.32,134.81,135.9,134273,0
2025-08-26,136.99,139.29,134.52,135.36,178331,0
2025-08-28,136.03,136.03,134.0,134.13,170251,0
2025-08-29,134.76,134.82,133.6,134.26,112190,0
2025-09-01,134.78,135.94,134.01,135.84,114528,0
2025-09-02,132.44,136.88,132.44,135.86,167156,0
2025-09-03,137.29,137.29,134.85,136.79,152618,0
2025-09-04,139.45,140.41,136.9,137.34,588282,0
2025-09-05,133.9,138.46,133.9,137.62,209318,0
2025-09-08,139.0,139.0,137.55,138.33,146371,0
2025-09-09,138.98,138.98,137.68,138.4,178266,0
2025-09-10,139.38,139.38,137.53,137.93,660611,0
2025-09-11,139.06,141.19,137.31,137.9,83129,0
2025-09-12,141.34,141.34,137.02,137.62,142763,0
2025-09-15,138.89,138.89,137.2,137.35,123993,0
