date,open,high,low,close,volume,oi
2025-04-23,90.7,90.78,88.93,90.44,1851329,0
2025-04-24,92.2,92.2,89.89,90.13,1536505,0
2025-04-25,90.65,90.73,87.41,88.22,3093380,0
2025-04-28,90.0,90.0,87.7,89.5,2171126,0
2025-04-29,87.7,90.3,86.81,89.16,1239350,0
2025-04-30,91.0,91.0,88.36,88.63,1033883,0
2025-05-02,91.29,91.29,87.64,87.94,1588610,0
2025-05-05,90.0,90.0,87.1,88.25,1067735,0
2025-05-06,89.7,90.0,86.55,86.88,2474953,0
2025-05-07,88.66,88.66,85.88,87.53,1695597,0
2025-05-08,88.0,89.28,86.02,86.53,1518591,0
2025-05-09,89.13,89.13,85.0,86.29,2304076,0
2025-05-12,88.88,89.45,87.26,89.36,2213311,0
2025-05-13,89.86,89.98,88.31,88.92,1313485,0
2025-05-14,90.03,90.35,88.94,90.01,2341903,0
2025-05-15,90.84,91.13,89.2,91.01,3461011,0
2025-05-16,88.28,92.8,88.28,92.44,4562893,0
2025-05-19,93.0,93.53,92.24,92.74,3631685,0
2025-05-20,92.74,93.6,91.75,91.9,6607989,0
2025-05-21,92.65,93.39,91.9,92.92,1816663,0
2025-05-22,94.0,94.0,91.4,92.1,2255914,0
2025-05-23,92.7,92.82,91.88,92.68,1214674,0
2025-05-26,93.84,93.84,92.71,92.76,1577797,0
2025-05-27,93.39,93.39,92.05,92.45,793519,0
2025-05-28,93.19,93.19,92.29,92.34,776335,0
2025-05-29,93.5,93.5,92.05,92.47,942053,0
2025-05-30,93.51,93.53,91.4,91.56,1419818,0
2025-06-02,92.39,92.39,88.95,91.8,994627,0
2025-06-03,93.0,93.0,90.7,91.03,1070667,0
2025-06-04,93.3,93.3,90.75,91.52,971298,0
2025-06-05,93.5,93.5,91.02,92.41,1319165,0
2025-06-06,92.8,94.72,90.09,92.92,2313554,0
2025-06-09,90.59,93.93,90.58,93.8,2159170,0
2025-06-10,94.0,94.55,93.8,94.09,1312762,0
2025-06-11,94.09,95.0,91.73,93.79,1425914,0
2025-06-12,92.3,95.0,92.3,92.48,1598831,0
2025-06-13,92.0,92.93,90.0,92.64,1784706,0
2025-06-16,92.0,94.49,92.0,93.82,1685875,0
2025-06-17,96.16,96.16,93.13,93.34,1558008,0
2025-06-18,93.7,93.79,92.5,92.69,972837,0
2025-06-19,95.0,95.0,91.2,92.04,1098621,0
2025-06-20,89.73,93.99,89.73,93.52,1863484,0
2025-06-23,91.18,94.6,91.18,94.42,2252640,0
2025-06-24,92.05,95.0,92.05,93.34,1823744,0
2025-06-25,92.87,95.67,92.86,92.98,1204844,0
2025-06-26,92.24,94.05,92.24,93.54,1309098,0
2025-06-27,91.2,94.35,90.73,94.02,1392344,0
2025-06-30,93.63,94.71,92.86,94.23,1239843,0
2025-07-01,94.6,94.79,93.51,94.21,1124879,0
2025-07-02,91.85,95.08,91.85,93.58,2519432,0
2025-07-03,95.91,95.91,93.41,93.71,722703,0
2025-07-04,92.55,94.29,92.55,93.91,719222,0
2025-07-07,93.1,95.8,93.1,93.28,2029197,0
2025-07-08,95.0,95.0,93.01,94.15,1562174,0
2025-07-09,94.15,94.65,93.65,94.29,905464,0
2025-07-10,94.33,94.99,93.51,93.69,651311,0
2025-07-11,94.6,94.6,93.01,93.32,623734,0
2025-07-14,95.65,95.65,93.01,93.4,793931,0
2025-07-15,95.8,95.8,93.3,93.58,733137,0
2025-07-16,94.05,94.05,91.62,93.43,672683,0
2025-07-17,94.99,94.99,91.94,93.32,2550779,0
2025-07-18,95.04,95.04,90.98,92.75,707890,0
2025-07-21,94.99,94.99,92.23,93.09,687095,0
2025-07-22,94.13,94.13,92.77,93.33,897099,0
2025-07-23,93.26,95.0,90.53,93.47,888035,0
2025-07-24,93.45,94.5,92.01,92.87,667205,0
2025-07-25,93.6,93.6,91.1,91.22,1431360,0
2025-07-28,91.2,93.25,90.56,90.83,919086,0
2025-07-29,90.0,93.1,89.7,91.22,738043,0
2025-07-30,88.93,91.95,88.93,91.13,526356,0
2025-07-31,93.86,93.86,90.0,90.58,803506,0
2025-08-01,91.0,91.0,89.5,89.66,668258,0
2025-08-04,90.85,91.9,89.0,90.09,591311,0
2025-08-05,89.63,91.34,89.59,90.11,531317,0
2025-08-06,88.0,90.7,88.0,90.02,584834,0
2025-08-07,90.0,91.08,89.0,89.82,770067,0
2025-08-08,91.08,91.08,89.0,89.81,555827,0
2025-08-11,91.08,91.08,89.52,90.02,548502,0
2025-08-12,87.76,91.08,87.76,90.31,794654,0
2025-08-13,89.8,91.2,89.8,91.08,889179,0
2025-08-14,93.35,93.35,88.8,90.5,572835,0
2025-08-18,91.5,91.85,87.79,90.58,686111,0
2025-08-19,92.0,92.0,88.31,90.31,345855,0
2025-08-20,90.31,91.97,90.2,90.34,685902,0
2025-08-21,91.8,92.0,88.08,89.97,579333,0
2025-08-22,90.01,91.5,88.37,89.57,360470,0
2025-08-25,87.33,91.71,87.33,89.64,708838,0
2025-08-26,88.0,91.0,88.0,88.56,609093,0
2025-08-28,88.0,88.99,87.61,87.87,695201,0
2025-08-29,86.5,88.2,85.67,87.83,710965,0
2025-09-01,90.46,90.46,86.51,89.02,718050,0
2025-09-02,90.0,90.9,88.31,90.09,952929,0
2025-09-03,87.83,91.08,87.83,90.22,525635,0
2025-09-04,90.34,91.83,89.4,89.49,653041,0
2025-09-05,90.3,90.58,87.25,89.36,448850,0
2025-09-08,90.81,90.81,88.29,88.93,489420,0
2025-09-09,86.7,90.57,86.26,88.75,683169,0
2025-09-10,88.08,90.15,86.53,89.85,1222854,0
2025-09-11,88.81,90.99,88.68,90.68,1046965,0
2025-09-12,91.35,91.7,88.41,91.53,1160055,0
2025-09-15,89.24,92.08,89.24,91.56,930349,0
2025-09-16,92.25,92.82,89.27,92.7,3417273,0
2025-09-17,93.33,93.52,89.92,93.43,2847403,0
2025-09-18,93.97,94.0,92.5,92.9,1138600,0
2025-09-19,92.9,93.38,92.0,93.02,819163,0
2025-09-22,93.2,93.43,92.29,93.03,1147969,0
2025-09-23,93.05,93.5,92.26,93.16,2567392,0
2025-09-24,90.83,93.74,90.83,93.32,1642412,0
2025-09-25,93.78,94.3,92.5,92.86,1359555,0
2025-09-26,90.07,93.33,90.07,91.76,2571986,0
2025-09-29,91.7,93.08,91.0,92.16,856466,0
2025-09-30,92.7,93.06,92.02,92.35,508694,0
2025-10-01,92.35,93.5,92.21,92.74,893109,0
2025-10-03,91.5,93.75,91.5,93.69,1589109,0
2025-10-06,91.34,93.97,91.34,93.4,1010750,0
2025-10-07,93.96,94.35,90.6,93.74,1472214,0
2025-10-08,94.14,94.67,92.3,92.44,867031,0
2025-10-09,92.5,92.95,91.9,92.81,1329235,0
2025-10-10,93.33,93.95,92.64,93.59,991072,0
2025-10-13,94.0,94.0,92.5,93.03,1278828,0
2025-10-14,93.6,93.8,92.36,92.39,788258,0
2025-10-15,92.88,93.92,92.4,93.55,925123,0
2025-10-16,93.92,94.0,93.51,93.91,1081147,0
2025-10-17,94.4,94.4,93.27,93.77,1056677,0
2025-10-20,94.14,94.37,93.72,94.0,1183344,0
2025-10-21,96.0,96.0,91.65,94.09,503020,0
2025-10-23,92.0,94.92,92.0,94.48,1531536,0
2025-10-24,92.11,95.09,92.11,94.57,1171786,0
2025-10-27,95.49,95.49,94.39,94.55,979282,0
2025-10-28,94.99,94.99,93.42,93.82,746252,0
2025-10-29,91.01,95.3,91.01,94.77,2153672,0
2025-10-30,95.5,95.51,94.16,94.83,934057,0
2025-10-31,95.0,95.0,94.12,94.65,855452,0
2025-11-03,94.78,95.0,94.0,94.37,756015,0
2025-11-04,94.86,94.86,90.6,93.13,781113,0
2025-11-06,93.36,93.36,91.61,91.77,1144617,0
2025-11-07,92.05,92.29,91.0,92.05,2443923,0
2025-11-10,89.74,92.76,89.74,92.35,687652,0
2025-11-11,94.65,94.65,91.81,92.82,783399,0
2025-11-12,93.03,93.55,92.55,93.03,730544,0
2025-11-13,92.43,93.26,92.32,92.56,710986,0
2025-11-14,92.6,93.55,92.56,93.4,906131,0
2025-11-17,93.78,93.9,93.33,93.6,779247,0
2025-11-18,93.92,95.48,91.81,93.09,629828,0
2025-11-19,93.49,93.78,92.53,93.06,508819,0
2025-11-20,93.16,93.81,93.08,93.23,742139,0
2025-11-21,95.56,95.56,92.52,92.6,435490,0
2025-11-24,90.85,93.14,89.82,91.47,733383,0
2025-11-25,91.41,91.94,91.32,91.47,1158237,0
2025-11-26,91.88,92.46,91.36,92.34,947151,0
2025-11-27,91.3,92.73,91.3,91.97,463912,0
2025-11-28,91.97,93.0,91.01,91.56,571211,0
2025-12-01,92.21,92.21,91.0,91.96,675715,0
2025-12-02,89.66,92.19,89.66,91.54,778591,0
2025-12-03,91.72,91.95,90.3,90.71,912568,0
2025-12-04,90.3,91.69,90.3,90.95,675126,0
2025-12-05,91.12,91.25,90.41,90.96,643166,0
2025-12-08,91.17,91.35,89.02,89.3,1280128,0
2025-12-09,89.3,89.72,88.0,89.6,889023,0
2025-12-10,89.92,90.5,89.31,89.69,567415,0
2025-12-11,89.69,90.21,89.12,89.44,1156635,0
2025-12-12,89.79,90.1,88.4,89.58,493029,0
2025-12-15,89.99,90.49,87.34,89.48,704700,0
2025-12-16,88.51,89.98,88.51,88.86,578048,0
2025-12-17,89.64,89.64,88.5,88.73,433374,0
2025-12-18,86.7,89.14,86.7,88.27,559603,0
2025-12-19,88.2,89.34,86.06,89.24,539796,0
2025-12-22,89.9,90.02,89.01,89.96,1113518,0
2025-12-23,90.12,91.53,89.91,91.16,2559822,0
