date,open,high,low,close,volume,oi
2025-04-23,78.33,78.33,76.27,77.2,66713,0
2025-04-24,78.74,78.74,76.5,76.99,73916,0
2025-04-25,76.91,77.35,75.51,75.88,138687,0
2025-04-28,76.26,76.8,75.43,76.55,109391,0
2025-04-29,77.7,77.7,76.18,76.41,105296,0
2025-04-30,76.41,76.96,75.65,76.06,116221,0
2025-05-02,76.81,77.2,75.58,76.01,88232,0
2025-05-05,76.61,77.44,76.01,76.53,75118,0
2025-05-06,77.65,77.65,75.55,75.89,152582,0
2025-05-07,76.65,76.7,74.64,75.91,109760,0
2025-05-08,76.67,76.67,74.9,75.19,79915,0
2025-05-09,75.95,76.67,73.83,74.96,71115,0
2025-05-12,77.21,78.0,76.12,77.88,150941,0
2025-05-13,77.37,78.11,76.85,77.04,114597,0
2025-05-14,78.09,78.09,76.4,77.48,97913,0
2025-05-15,78.64,78.64,77.13,78.29,107967,0
2025-05-16,79.8,79.8,76.33,78.6,118812,0
2025-05-19,79.8,79.8,78.16,78.5,108513,0
2025-05-20,79.2,79.2,77.51,77.78,128296,0
2025-05-21,80.11,80.11,77.47,78.18,75441,0
2025-05-22,79.35,79.35,76.82,77.22,194328,0
2025-05-23,78.4,78.4,77.16,77.98,54653,0
2025-05-26,79.15,79.15,77.96,78.53,64800,0
2025-05-27,79.53,79.53,77.82,78.09,117420,0
2025-05-28,78.3,78.59,77.8,77.99,67743,0
2025-05-29,76.15,78.88,76.15,78.09,65120,0
2025-05-30,79.24,79.24,77.7,77.99,53115,0
2025-06-02,78.9,78.9,76.22,78.01,70639,0
2025-06-03,79.2,79.2,77.32,77.71,84066,0
2025-06-04,78.29,78.29,77.25,77.59,77728,0
2025-06-05,78.53,78.53,76.81,77.8,49933,0
2025-06-06,79.0,79.0,77.37,78.36,91582,0
2025-06-09,78.52,79.25,76.75,79.08,137148,0
2025-06-10,79.08,79.75,79.07,79.6,101424,0
2025-06-11,80.79,80.79,79.6,80.07,99220,0
2025-06-12,81.27,81.27,78.8,78.91,128798,0
2025-06-13,81.28,81.28,77.27,78.4,104133,0
2025-06-16,79.66,79.66,77.62,78.98,51350,0
2025-06-17,79.85,79.9,78.35,79.04,48559,0
2025-06-18,79.91,79.91,78.25,78.45,63147,0
2025-06-19,77.82,79.31,77.63,77.75,65142,0
2025-06-20,78.61,78.65,77.57,78.51,39272,0
2025-06-23,78.88,78.88,76.15,78.07,92489,0
2025-06-24,79.24,79.24,76.5,78.16,82856,0
2025-06-25,79.02,79.04,77.23,78.54,48813,0
2025-06-26,76.57,79.4,76.57,79.17,57440,0
