date,open,high,low,close,volume,oi
2025-04-23,101.45,101.45,96.55,97.6,23238,0
2025-04-24,100.55,100.8,96.85,96.95,21807,0
2025-04-25,97.45,97.45,96.6,96.8,57933,0
2025-04-28,97.25,97.25,94.3,95.8,21734,0
2025-04-29,96.25,97.8,95.95,96.9,11727,0
2025-04-30,97.35,97.35,95.0,95.8,21536,0
2025-05-02,97.75,97.75,93.85,95.1,102226,0
2025-05-05,95.55,97.0,94.0,96.6,64036,0
2025-05-06,96.6,99.5,96.6,98.45,10631,0
2025-05-07,98.45,98.9,97.3,98.0,8695,0
2025-05-08,98.45,98.6,96.65,97.9,48369,0
2025-05-09,98.35,98.35,96.8,97.3,4280,0
2025-05-12,97.1,98.0,94.15,94.6,95816,0
2025-05-13,95.05,95.8,94.1,95.7,13430,0
2025-05-14,95.45,95.45,94.2,95.2,238938,0
2025-05-15,94.75,94.75,92.5,93.65,131724,0
2025-05-16,94.1,95.15,94.05,94.55,120977,0
2025-05-19,95.45,95.45,94.1,95.05,93317,0
2025-05-20,95.5,95.5,93.15,94.7,3403,0
2025-05-21,95.35,96.65,95.35,96.35,84307,0
2025-05-22,96.8,97.1,96.05,96.8,129995,0
2025-05-23,96.95,97.0,96.0,96.0,119130,0
2025-05-26,96.55,96.85,96.1,96.45,4279,0
2025-05-27,96.9,97.15,95.95,96.25,4776,0
2025-05-28,96.9,96.95,95.8,96.85,59559,0
2025-05-29,96.4,97.3,95.5,95.85,98972,0
2025-05-30,95.85,96.5,95.75,96.4,100293,0
2025-06-02,96.85,97.6,94.6,97.45,96966,0
2025-06-03,97.7,98.15,97.5,98.0,26490,0
2025-06-04,98.45,98.5,97.5,98.4,160639,0
2025-06-05,98.45,99.05,98.15,98.95,95355,0
2025-06-06,99.3,99.95,98.2,98.4,179065,0
2025-06-09,98.4,98.4,96.8,97.35,128784,0
2025-06-10,97.4,97.55,96.85,97.55,206190,0
2025-06-11,98.0,98.0,97.05,97.6,205161,0
2025-06-12,98.05,98.85,97.65,98.4,193271,0
2025-06-13,99.0,101.45,99.0,100.55,192913,0
2025-06-16,98.05,101.3,98.05,100.85,61101,0
2025-06-17,103.35,103.35,98.2,99.8,95949,0
2025-06-18,100.3,100.45,99.5,100.2,133531,0
2025-06-19,100.7,100.7,99.35,100.1,82156,0
2025-06-20,100.6,100.6,98.45,99.6,84714,0
2025-06-23,100.45,100.45,98.55,100.1,132667,0
2025-06-24,100.6,100.6,98.05,98.3,166715,0
2025-06-25,98.75,98.75,97.7,98.15,242952,0
2025-06-26,98.6,98.6,97.05,98.25,40837,0
2025-06-27,98.25,98.65,96.0,96.65,8417,0
2025-06-30,97.1,97.1,95.95,96.85,243460,0
2025-07-01,97.35,98.2,94.85,98.2,261060,0
2025-07-02,100.65,100.65,97.5,98.25,89099,0
2025-07-03,100.25,100.25,97.6,98.1,6838,0
2025-07-04,98.55,98.55,97.6,97.9,124054,0
2025-07-07,98.35,98.35,97.15,97.65,303289,0
2025-07-08,98.1,98.1,97.6,97.95,206644,0
2025-07-09,97.95,97.95,96.7,97.0,100488,0
2025-07-10,97.45,97.8,95.0,97.8,150585,0
2025-07-11,98.25,98.3,97.95,98.3,162677,0
2025-07-14,98.75,99.45,98.75,99.25,208355,0
2025-07-15,96.8,99.7,96.8,98.85,202603,0
2025-07-16,98.8,98.8,97.95,98.45,135180,0
2025-07-17,98.9,98.9,98.0,98.25,432279,0
2025-07-18,100.7,100.7,98.0,99.05,104771,0
2025-07-21,99.5,99.5,98.6,99.45,160189,0
2025-07-22,99.9,100.4,99.9,100.2,203259,0
2025-07-23,100.7,101.5,100.5,101.5,150987,0
2025-07-24,101.05,101.05,98.5,99.6,181441,0
2025-07-25,100.05,100.05,99.15,99.3,202700,0
2025-07-28,101.3,101.3,98.7,99.1,186585,0
2025-07-29,99.55,99.55,98.55,99.1,28125,0
2025-07-30,99.55,99.85,99.1,99.85,150380,0
2025-07-31,99.8,99.8,98.9,99.5,86676,0
2025-08-01,99.95,99.95,98.5,98.75,2547,0
2025-08-04,99.2,100.7,99.15,100.6,50344,0
2025-08-05,100.75,101.35,100.75,101.15,144144,0
2025-08-06,101.65,101.9,100.75,101.1,181850,0
2025-08-07,102.05,102.05,101.3,101.75,252306,0
2025-08-08,101.75,102.0,101.6,101.95,232012,0
2025-08-11,103.4,103.4,99.35,100.8,253991,0
2025-08-12,101.3,101.3,100.15,100.25,324378,0
2025-08-13,100.25,100.7,100.25,100.65,191576,0
