date,open,high,low,close,volume,oi
2025-04-23,310.69,314.46,310.01,313.43,63281,0
2025-04-24,313.01,314.24,312.47,312.83,6620,0
2025-04-25,314.09,314.09,306.41,309.76,8518,0
2025-04-28,309.76,313.23,309.5,312.37,8793,0
2025-04-29,313.93,314.18,310.81,311.69,4001,0
2025-04-30,311.34,313.17,310.77,311.16,3092,0
2025-05-02,314.97,314.97,308.51,311.19,4462,0
2025-05-05,314.79,314.79,307.1,312.78,4101,0
2025-05-06,314.5,314.75,309.93,310.25,3420,0
2025-05-07,311.8,312.59,303.0,312.04,8152,0
2025-05-08,309.0,312.76,306.0,309.54,8347,0
2025-05-09,309.0,309.0,305.01,307.03,8559,0
2025-05-12,311.05,318.0,311.01,317.1,23982,0
2025-05-13,317.11,317.49,314.6,315.46,41275,0
2025-05-14,315.28,319.0,315.0,317.1,8113,0
2025-05-15,316.99,326.0,315.28,322.85,18260,0
2025-05-16,324.46,324.46,319.1,321.74,10484,0
2025-05-19,324.46,324.89,321.28,322.08,12345,0
2025-05-20,323.24,323.64,317.17,318.25,6622,0
2025-05-21,319.68,321.57,318.25,320.18,5959,0
2025-05-22,320.19,320.19,315.8,317.74,11056,0
2025-05-23,318.23,321.34,318.21,320.76,2914,0
2025-05-26,323.94,324.23,321.26,322.4,6270,0
2025-05-27,322.4,322.66,320.0,320.79,5600,0
2025-05-28,319.35,322.36,319.35,320.37,1421,0
2025-05-29,320.83,321.88,319.26,321.33,3170,0
2025-05-30,320.25,322.38,319.08,319.78,4272,0
2025-06-02,321.37,322.98,317.1,318.8,5525,0
2025-06-03,318.96,318.96,316.43,317.16,7148,0
2025-06-04,317.16,321.5,316.05,318.07,4425,0
2025-06-05,318.0,320.03,316.49,319.17,4901,0
2025-06-06,319.68,322.93,318.34,322.09,7628,0
2025-06-09,322.09,325.0,320.48,324.13,6283,0
2025-06-10,324.0,326.66,323.99,325.87,6078,0
2025-06-11,325.66,327.36,325.38,326.28,57270,0
2025-06-12,326.29,326.3,320.77,322.48,6851,0
2025-06-13,314.15,322.9,314.15,319.99,4201,0
2025-06-16,320.45,323.23,319.48,323.2,3372,0
2025-06-17,323.2,323.43,320.79,322.05,7201,0
2025-06-18,322.0,323.43,319.97,321.6,7011,0
2025-06-19,322.53,322.53,319.64,319.81,2019,0
2025-06-20,319.66,324.0,319.66,323.62,2484,0
2025-06-23,322.0,324.5,320.18,324.08,5140,0
2025-06-24,327.32,327.32,323.96,324.37,10048,0
2025-06-25,324.59,327.05,324.59,326.34,5253,0
2025-06-26,329.48,330.0,326.97,329.76,6203,0
2025-06-27,329.76,332.54,328.81,331.41,8048,0
2025-06-30,333.06,333.06,329.75,330.34,5341,0
2025-07-01,331.99,331.99,329.77,331.17,1804,0
2025-07-02,332.82,332.82,328.1,330.8,2928,0
2025-07-03,332.45,333.02,329.69,330.63,2374,0
2025-07-04,332.28,332.28,328.2,330.35,4875,0
2025-07-07,330.35,330.7,328.55,330.38,2950,0
2025-07-08,330.38,330.82,328.74,330.52,6162,0
2025-07-09,334.9,334.9,326.1,329.68,4209,0
2025-07-10,329.75,330.12,328.09,328.87,5473,0
2025-07-11,328.56,329.06,326.4,326.82,5704,0
2025-07-14,329.9,329.9,324.0,326.07,10815,0
2025-07-15,326.1,327.72,325.43,327.4,2201,0
2025-07-16,325.77,327.79,325.7,327.53,1607,0
2025-07-17,327.99,328.32,326.0,326.84,15020,0
