date,open,high,low,close,volume,oi
2025-04-23,28.36,28.64,28.04,28.55,410131,0
2025-04-24,28.71,28.84,28.4,28.51,326780,0
2025-04-25,28.5,28.92,27.61,27.86,409551,0
2025-04-28,28.4,28.4,27.46,28.02,233769,0
2025-04-29,28.24,28.29,27.92,28.0,150554,0
2025-04-30,27.9,27.9,27.47,27.57,311782,0
2025-05-02,27.69,27.91,27.43,27.61,390187,0
2025-05-05,27.74,28.16,27.62,28.11,406603,0
2025-05-06,28.14,28.31,27.4,27.43,343396,0
2025-05-07,27.43,28.05,27.21,27.93,248647,0
2025-05-08,27.98,28.16,27.2,27.37,207575,0
2025-05-09,27.3,27.3,26.65,27.09,273876,0
2025-05-12,27.71,28.45,27.71,28.39,695799,0
2025-05-13,28.39,28.56,28.24,28.41,163428,0
2025-05-14,28.55,28.65,28.35,28.61,220179,0
2025-05-15,28.6,28.96,28.42,28.93,224277,0
2025-05-16,28.89,29.29,28.89,29.11,198176,0
2025-05-19,29.23,29.34,29.04,29.29,299760,0
2025-05-20,29.46,29.46,28.7,28.8,333579,0
2025-05-21,28.79,29.13,28.62,29.08,176951,0
2025-05-22,29.1,29.12,28.66,28.91,123978,0
2025-05-23,28.97,29.47,28.71,29.38,270161,0
2025-05-26,29.52,29.69,29.39,29.51,252632,0
2025-05-27,29.56,29.61,29.26,29.45,193790,0
2025-05-28,29.59,29.67,29.43,29.52,163417,0
2025-05-29,29.66,29.7,29.33,29.51,216885,0
2025-05-30,29.65,29.73,29.5,29.65,267612,0
2025-06-02,29.66,29.85,29.46,29.82,346081,0
2025-06-03,29.96,29.97,29.55,29.66,407351,0
2025-06-04,30.4,30.4,29.56,29.71,282313,0
2025-06-05,29.85,30.01,29.71,29.87,605579,0
2025-06-06,30.02,31.0,29.86,30.84,1445972,0
2025-06-09,31.15,31.74,30.99,31.43,1826289,0
2025-06-10,31.95,31.95,31.15,31.22,1041897,0
2025-06-11,31.23,31.34,30.7,30.92,718131,0
2025-06-12,31.0,31.07,30.3,30.38,930410,0
2025-06-13,30.38,30.38,29.63,30.19,776836,0
2025-06-16,30.0,30.63,29.65,30.51,731170,0
2025-06-17,30.59,30.63,30.11,30.31,376360,0
2025-06-18,30.29,30.41,30.03,30.08,365435,0
2025-06-19,30.14,30.22,29.55,29.6,670686,0
2025-06-20,29.59,30.3,29.56,30.18,391963,0
2025-06-23,30.04,30.5,29.83,30.41,460829,0
2025-06-24,30.59,30.92,30.59,30.7,916949,0
2025-06-25,30.68,30.97,30.68,30.83,1027919,0
2025-06-26,30.84,31.34,30.84,31.31,636481,0
2025-06-27,31.46,31.55,31.06,31.36,380612,0
2025-06-30,32.37,32.37,31.26,31.42,814499,0
2025-07-01,31.31,31.61,31.21,31.36,1253530,0
2025-07-02,32.3,32.3,30.83,30.99,788845,0
2025-07-03,31.11,31.12,30.76,30.82,719740,0
2025-07-04,31.59,31.59,30.55,30.73,451362,0
2025-07-07,31.07,31.07,30.48,30.72,347810,0
2025-07-08,30.84,30.84,30.41,30.69,2081546,0
2025-07-09,30.85,31.0,30.56,30.83,229041,0
2025-07-10,30.83,31.03,30.71,30.84,1946335,0
2025-07-11,30.77,30.88,30.43,30.47,950563,0
2025-07-14,30.77,31.38,30.25,30.46,421589,0
2025-07-15,30.28,30.87,30.28,30.81,687998,0
2025-07-16,30.88,30.88,30.57,30.71,271838,0
2025-07-17,30.88,30.88,30.49,30.51,239383,0
2025-07-18,29.74,30.69,29.74,30.44,235416,0
2025-07-21,30.74,30.75,30.24,30.72,270216,0
2025-07-22,30.87,30.88,30.6,30.65,238418,0
2025-07-23,30.96,30.99,30.47,30.84,235449,0
2025-07-24,31.15,31.15,30.59,30.63,192257,0
2025-07-25,30.94,30.94,29.85,30.01,797532,0
2025-07-28,30.31,30.31,29.57,29.67,333822,0
2025-07-29,30.76,30.76,29.45,29.83,294335,0
2025-07-30,29.91,29.99,29.61,29.8,327560,0
2025-07-31,29.59,29.88,29.43,29.68,421827,0
2025-08-01,29.81,29.81,29.2,29.29,310276,0
2025-08-04,29.46,29.83,29.3,29.75,337518,0
2025-08-05,29.86,29.89,29.48,29.62,229942,0
2025-08-06,29.64,29.81,29.23,29.46,269155,0
2025-08-07,29.45,29.74,29.14,29.59,389257,0
2025-08-08,30.32,30.32,29.25,29.4,197395,0
2025-08-11,29.45,29.74,29.28,29.71,132236,0
2025-08-12,29.85,29.85,29.34,29.43,315040,0
2025-08-13,29.67,29.84,29.52,29.79,218573,0
2025-08-14,29.87,30.03,29.66,29.82,129463,0
2025-08-18,30.44,30.75,30.14,30.44,814907,0
2025-08-19,30.68,30.74,30.15,30.44,260219,0
2025-08-20,30.55,30.57,30.21,30.3,219388,0
2025-08-21,30.45,30.55,30.15,30.17,240775,0
2025-08-22,30.29,30.29,30.02,30.08,287019,0
2025-08-25,30.25,30.44,29.99,30.02,182643,0
2025-08-26,30.0,30.14,29.31,29.38,455426,0
2025-08-28,29.42,29.43,28.87,28.94,720684,0
2025-08-29,29.0,29.2,28.75,28.83,587996,0
2025-09-01,28.97,29.3,28.82,29.27,186935,0
2025-09-02,29.04,29.54,29.04,29.3,157825,0
2025-09-03,29.28,29.55,29.14,29.49,220097,0
2025-09-04,30.37,30.37,29.51,29.58,282745,0
2025-09-05,29.58,29.9,29.58,29.77,162357,0
2025-09-08,29.76,29.99,29.71,29.81,231706,0
2025-09-09,29.95,29.95,29.78,29.86,237583,0
2025-09-10,29.89,30.29,29.89,30.15,203304,0
2025-09-11,29.39,30.32,29.39,30.14,152533,0
2025-09-12,30.29,30.43,30.13,30.37,323641,0
2025-09-15,30.52,30.63,30.01,30.56,389235,0
2025-09-16,30.55,30.77,30.48,30.56,271792,0
2025-09-17,30.75,30.78,30.5,30.54,145485,0
2025-09-18,30.53,30.77,30.53,30.66,146320,0
2025-09-19,30.75,30.75,30.58,30.66,270418,0
2025-09-22,30.41,30.91,30.41,30.68,276605,0
2025-09-23,30.83,30.88,30.62,30.76,142858,0
2025-09-24,30.75,30.8,30.5,30.55,147120,0
2025-09-25,30.55,30.61,30.1,30.21,157622,0
2025-09-26,30.0,30.32,29.63,29.73,379516,0
2025-09-29,29.76,30.06,29.76,29.96,180657,0
2025-09-30,29.96,30.33,29.72,29.9,175838,0
2025-10-01,29.66,30.29,29.66,30.23,378264,0
2025-10-03,30.24,30.4,30.05,30.32,145273,0
2025-10-06,30.42,30.75,30.31,30.68,309722,0
2025-10-07,30.79,31.0,30.68,30.78,438966,0
2025-10-08,30.77,30.98,30.5,30.54,213058,0
2025-10-09,30.62,30.9,30.47,30.83,277755,0
2025-10-10,30.96,31.06,30.8,30.81,199579,0
2025-10-13,30.56,31.2,29.0,31.1,389514,0
2025-10-14,31.09,31.49,30.87,31.07,487634,0
2025-10-15,31.18,31.88,31.07,31.67,658659,0
2025-10-16,31.66,31.85,31.53,31.72,2385174,0
2025-10-17,31.77,31.78,31.5,31.62,329365,0
2025-10-20,31.8,32.14,31.66,31.85,935022,0
2025-10-21,31.05,32.33,31.05,32.05,262456,0
2025-10-23,32.34,32.66,31.82,31.91,573678,0
2025-10-24,32.41,32.41,31.72,31.87,318122,0
2025-10-27,31.86,32.09,31.67,31.98,423621,0
2025-10-28,32.13,32.15,31.82,31.9,940153,0
2025-10-29,31.95,32.21,31.75,31.99,805210,0
2025-10-30,32.13,32.13,31.79,31.91,144462,0
2025-10-31,32.25,32.25,31.46,31.69,1416405,0
2025-11-03,31.97,32.23,31.5,32.15,748730,0
2025-11-04,32.1,32.25,32.02,32.09,420075,0
2025-11-06,32.02,32.11,31.59,31.68,383832,0
2025-11-07,31.68,32.54,31.4,32.44,596031,0
2025-11-10,32.56,32.69,32.32,32.59,632200,0
2025-11-11,32.59,32.59,31.72,32.15,1012435,0
2025-11-12,32.18,32.47,32.15,32.37,489372,0
2025-11-13,32.15,32.53,32.15,32.23,657225,0
2025-11-14,32.23,32.48,31.77,32.31,448241,0
2025-11-17,32.31,32.74,32.31,32.57,326263,0
2025-11-18,32.7,32.7,32.34,32.41,322330,0
2025-11-19,32.34,32.5,32.21,32.36,350148,0
2025-11-20,32.66,32.77,32.37,32.65,2803246,0
2025-11-21,32.64,32.65,32.25,32.29,459560,0
2025-11-24,32.29,32.39,31.94,31.96,437320,0
2025-11-25,32.08,32.16,32.0,32.07,128336,0
2025-11-26,32.32,32.81,32.11,32.78,742437,0
2025-11-27,32.89,33.06,32.78,32.96,568532,0
2025-11-28,33.07,33.11,32.78,32.85,297991,0
2025-12-01,33.14,33.14,32.71,32.81,640598,0
2025-12-02,32.82,32.85,32.57,32.68,439334,0
2025-12-03,32.81,32.81,32.12,32.25,800723,0
2025-12-04,32.31,32.42,32.15,32.35,456104,0
2025-12-05,31.54,32.88,31.54,32.84,740604,0
2025-12-08,33.66,33.66,32.2,32.33,749190,0
2025-12-09,33.13,33.13,31.73,32.18,471237,0
2025-12-10,32.21,32.42,31.58,31.86,441970,0
2025-12-11,32.65,32.65,31.86,32.37,284143,0
2025-12-12,32.51,32.68,32.26,32.44,238248,0
2025-12-15,32.44,32.48,32.09,32.27,343631,0
2025-12-16,32.28,32.49,31.75,31.81,406743,0
2025-12-17,31.83,32.12,31.6,31.7,485206,0
2025-12-18,31.67,32.09,31.62,31.92,349376,0
2025-12-19,31.98,32.32,31.92,32.28,287462,0
2025-12-22,33.08,33.08,32.24,32.43,241692,0
