date,open,high,low,close,volume,oi
2025-04-23,60.36,60.68,60.21,60.61,1080367,0
2025-04-24,60.82,61.18,60.0,60.06,1588609,0
2025-04-25,60.59,60.59,59.03,59.79,1236454,0
2025-04-28,59.98,59.99,59.4,59.84,703785,0
2025-04-29,60.12,60.12,59.46,59.61,665703,0
2025-04-30,59.65,59.99,59.23,59.52,518594,0
2025-05-02,59.66,59.76,59.0,59.36,704970,0
2025-05-05,59.67,60.13,59.39,60.01,921555,0
2025-05-06,60.39,60.39,59.68,59.94,946272,0
2025-05-07,59.94,59.94,59.11,59.64,404783,0
2025-05-08,59.64,59.84,58.91,59.05,587023,0
2025-05-09,58.95,58.96,58.12,58.67,627620,0
2025-05-12,59.02,60.3,59.02,60.21,1037320,0
2025-05-13,60.27,60.48,59.46,59.59,1345318,0
2025-05-14,59.8,59.81,59.29,59.61,769421,0
2025-05-15,59.9,60.1,59.32,59.95,996635,0
2025-05-16,60.23,60.55,59.8,60.37,881385,0
2025-05-19,60.37,60.66,60.07,60.23,1682716,0
2025-05-20,60.53,60.61,59.34,59.44,842095,0
2025-05-21,59.72,60.0,59.35,59.67,497934,0
2025-05-22,59.67,59.67,58.51,58.82,1976486,0
2025-05-23,59.11,59.75,58.91,59.64,1916759,0
2025-05-26,59.64,60.2,59.64,60.14,1697865,0
2025-05-27,60.22,60.38,59.5,59.81,1285499,0
2025-05-28,59.82,59.82,59.1,59.3,1231251,0
2025-05-29,59.69,59.69,58.92,59.24,1119231,0
2025-05-30,59.25,59.49,58.75,58.87,1249732,0
2025-06-02,59.01,59.78,58.91,59.41,957230,0
2025-06-03,59.0,60.08,58.93,59.05,869798,0
2025-06-04,59.34,60.0,58.86,59.5,700667,0
2025-06-05,59.48,59.49,58.92,59.27,1066934,0
2025-06-06,59.47,59.47,59.18,59.38,932013,0
2025-06-09,60.08,60.08,59.31,59.67,1210921,0
2025-06-10,60.11,60.11,59.35,59.84,1400611,0
2025-06-11,61.33,61.33,59.4,59.45,1574879,0
2025-06-12,59.51,59.71,58.59,58.7,2378065,0
2025-06-13,60.16,60.16,57.96,58.11,3481045,0
2025-06-16,59.3,59.3,57.99,58.44,1494324,0
2025-06-17,59.61,59.61,58.05,58.21,1344395,0
2025-06-18,59.37,60.12,57.82,58.01,1186260,0
2025-06-19,58.5,58.5,57.7,57.82,930196,0
2025-06-20,57.83,58.4,57.78,58.22,534342,0
2025-06-23,59.67,59.67,57.69,57.97,1606153,0
2025-06-24,58.7,58.7,57.95,58.0,1265488,0
2025-06-25,59.74,59.74,57.96,58.26,911808,0
2025-06-26,58.49,58.65,58.22,58.61,1153205,0
2025-06-27,58.91,58.91,58.55,58.68,886644,0
2025-06-30,60.14,60.14,58.35,58.56,1406245,0
2025-07-01,58.56,58.98,53.0,58.17,1449599,0
2025-07-02,58.46,58.79,57.94,58.08,1255342,0
2025-07-03,59.53,59.53,58.01,58.16,1103230,0
2025-07-04,59.61,59.61,58.17,58.41,778255,0
2025-07-07,58.17,59.33,56.94,59.22,2129228,0
2025-07-08,58.98,59.49,58.98,59.22,1925023,0
2025-07-09,59.34,59.6,59.16,59.51,2358588,0
2025-07-10,59.55,59.79,59.11,59.15,952231,0
2025-07-11,59.45,59.9,59.36,59.5,1834045,0
2025-07-14,59.86,60.48,59.31,59.68,955964,0
2025-07-15,59.72,60.06,59.43,60.01,1447871,0
2025-07-16,59.68,60.61,59.61,60.31,931585,0
2025-07-17,60.48,60.64,60.3,60.45,1473445,0
2025-07-18,60.8,60.8,60.01,60.24,775576,0
2025-07-21,60.7,61.74,59.79,59.99,1376846,0
2025-07-22,60.5,61.74,59.64,59.77,679503,0
2025-07-23,59.53,60.06,58.27,59.45,885563,0
2025-07-24,59.81,59.81,58.57,58.78,1507796,0
2025-07-25,59.07,59.07,58.15,58.25,1433951,0
2025-07-28,58.39,58.65,58.02,58.39,769067,0
2025-07-29,59.05,59.05,58.17,58.57,705795,0
2025-07-30,58.57,58.66,58.35,58.57,715705,0
2025-07-31,58.65,59.81,58.0,59.45,1509419,0
2025-08-01,59.45,60.74,59.44,59.9,2057392,0
2025-08-04,60.35,60.35,59.67,59.8,595773,0
2025-08-05,60.09,60.09,59.22,59.48,1237447,0
2025-08-06,59.87,59.87,58.79,58.89,707275,0
2025-08-07,59.18,59.18,58.62,58.99,409274,0
2025-08-08,57.51,59.34,57.51,58.55,272546,0
2025-08-11,58.56,59.02,58.26,58.95,725589,0
2025-08-12,59.24,59.28,58.61,58.65,380962,0
2025-08-13,58.94,59.07,58.42,58.7,321251,0
2025-08-14,58.7,59.08,58.28,58.35,558101,0
2025-08-18,59.49,60.01,58.35,59.12,1322151,0
2025-08-19,59.53,59.75,58.91,59.7,547958,0
2025-08-20,59.7,60.49,59.38,60.35,1619568,0
2025-08-21,60.08,61.0,59.91,60.02,778922,0
2025-08-22,60.33,60.33,59.45,59.57,592692,0
2025-08-25,59.98,59.98,59.12,59.52,678660,0
2025-08-26,59.82,60.31,59.29,60.04,1052887,0
2025-08-28,60.46,60.46,59.19,59.27,1063971,0
2025-08-29,59.56,60.28,59.23,59.99,798966,0
2025-09-01,60.41,60.41,59.7,59.95,663276,0
2025-09-02,60.35,60.6,59.83,60.57,1078212,0
2025-09-03,60.85,62.08,60.52,60.87,1104756,0
2025-09-04,61.73,62.3,60.91,61.0,3689405,0
2025-09-05,61.46,62.15,59.9,60.2,3106057,0
2025-09-08,60.23,60.63,60.0,60.04,822845,0
2025-09-09,61.54,61.54,59.96,60.37,1282175,0
2025-09-10,60.89,61.73,60.2,60.57,1121144,0
2025-09-11,59.05,60.89,59.05,60.7,1021144,0
2025-09-12,61.11,61.11,60.25,60.36,912923,0
2025-09-15,60.37,60.73,60.24,60.4,1078282,0
2025-09-16,60.78,60.78,60.16,60.3,1579692,0
2025-09-17,60.68,60.68,60.01,60.13,1442120,0
2025-09-18,60.67,60.67,60.05,60.43,1289754,0
2025-09-19,60.44,60.59,60.05,60.12,1096626,0
2025-09-22,60.21,60.39,59.68,59.8,1055927,0
2025-09-23,60.01,60.09,58.85,59.04,2458206,0
2025-09-24,59.06,59.4,58.86,59.08,1097887,0
2025-09-25,59.39,59.4,58.8,58.88,642914,0
2025-09-26,58.86,59.18,58.41,58.5,1464884,0
2025-09-29,58.9,58.9,58.1,58.73,1800216,0
2025-09-30,58.87,58.94,58.27,58.41,737443,0
2025-10-01,58.76,58.91,58.15,58.84,597786,0
2025-10-03,59.1,59.1,58.44,58.93,957390,0
2025-10-06,59.11,59.12,58.57,58.81,475167,0
2025-10-07,58.81,59.06,58.46,58.54,1339617,0
2025-10-08,58.42,58.62,58.1,58.23,1001469,0
2025-10-09,58.26,58.52,58.09,58.46,725269,0
2025-10-10,58.46,58.79,58.32,58.73,944705,0
2025-10-13,58.73,58.74,58.1,58.21,1752049,0
2025-10-14,58.5,58.54,57.85,57.93,1543754,0
2025-10-15,57.96,58.5,57.95,58.38,823384,0
2025-10-16,58.67,59.6,58.36,59.51,2174242,0
2025-10-17,59.51,60.53,59.51,60.29,3061146,0
2025-10-20,60.59,60.72,60.23,60.3,1099540,0
2025-10-21,60.6,60.7,59.87,60.33,358722,0
2025-10-23,60.69,61.19,60.35,60.5,2491003,0
2025-10-24,60.83,60.83,59.63,60.06,1174107,0
2025-10-27,60.06,60.39,59.96,60.17,1168419,0
2025-10-28,60.17,60.47,59.62,59.83,668672,0
2025-10-29,59.95,60.35,59.84,60.3,848432,0
2025-10-30,60.31,60.4,59.76,60.06,469208,0
2025-10-31,60.15,60.45,59.85,59.89,584461,0
2025-11-03,60.18,60.18,59.43,59.97,835618,0
2025-11-04,59.97,59.97,59.53,59.65,988204,0
2025-11-06,59.82,60.05,59.35,59.41,504435,0
2025-11-07,59.41,59.67,59.09,59.23,422829,0
2025-11-10,59.59,59.59,58.95,59.17,283102,0
2025-11-11,59.39,59.49,58.91,59.43,549719,0
2025-11-12,59.49,59.64,59.24,59.41,749138,0
2025-11-13,59.4,59.57,59.12,59.19,824287,0
2025-11-14,59.21,59.49,58.81,59.4,768398,0
2025-11-17,59.69,59.82,59.41,59.48,717522,0
2025-11-18,59.74,59.97,59.02,59.13,556028,0
2025-11-19,59.42,59.42,59.06,59.2,448021,0
2025-11-20,59.25,59.65,59.17,59.26,624319,0
2025-11-21,59.9,59.9,59.1,59.31,469147,0
2025-11-24,59.31,59.65,58.94,59.02,786510,0
2025-11-25,59.27,59.27,58.59,58.85,3726348,0
2025-11-26,58.99,59.3,58.82,59.23,418159,0
2025-11-27,59.39,59.45,59.1,59.33,676806,0
2025-11-28,59.49,59.49,59.16,59.38,385543,0
2025-12-01,59.43,59.58,59.02,59.29,690144,0
2025-12-02,59.56,59.57,59.05,59.17,699059,0
2025-12-03,59.06,59.53,58.58,58.81,680341,0
2025-12-04,58.76,59.15,58.55,59.08,542418,0
2025-12-05,59.42,59.43,58.28,59.03,1318833,0
2025-12-08,59.37,59.49,58.22,58.39,876535,0
2025-12-09,59.0,59.0,57.95,58.36,1014284,0
2025-12-10,56.9,58.71,56.9,58.21,650369,0
2025-12-11,58.55,58.55,57.96,58.33,537211,0
2025-12-12,58.58,59.49,58.01,58.6,1193175,0
2025-12-15,58.6,59.06,58.1,58.72,679893,0
2025-12-16,58.79,59.2,58.52,58.74,1463384,0
2025-12-17,58.89,58.89,58.31,58.43,538206,0
2025-12-18,58.4,58.49,58.13,58.34,450833,0
2025-12-19,58.34,58.68,58.25,58.6,349114,0
2025-12-22,58.78,58.94,58.65,58.86,418542,0
2025-12-23,59.28,59.32,58.7,59.25,1037121,0
2025-12-24,59.24,59.29,58.9,58.98,1611726,0
2025-12-26,58.9,59.08,58.18,58.97,712791,0
2025-12-29,58.98,59.18,58.76,58.89,657501,0
2025-12-30,58.89,59.09,58.66,58.78,590807,0
2025-12-31,59.12,59.27,58.72,59.22,1175070,0
2026-01-01,59.47,59.47,57.26,57.51,5939971,0
2026-01-02,58.94,58.94,56.6,56.85,7126081,0
2026-01-05,56.52,57.33,55.42,57.22,4787583,0
2026-01-06,57.49,57.49,56.89,57.32,5314766,0
2026-01-07,57.98,57.98,57.1,57.28,5598708,0
