date,open,high,low,close,volume,oi
2025-04-23,62.03,62.04,61.7,61.95,410,0
2025-04-24,61.95,61.95,61.95,61.95,7,0
2025-04-25,61.6,62.0,61.55,61.57,585,0
2025-04-28,61.87,61.94,61.5,61.5,848,0
2025-04-29,61.62,62.35,61.62,62.35,186,0
2025-04-30,62.08,62.1,62.07,62.07,2025,0
2025-05-02,62.08,62.13,61.86,61.98,1708,0
2025-05-05,62.13,62.3,61.8,62.22,639,0
2025-05-06,61.87,65.0,61.8,64.61,496,0
2025-05-07,64.3,64.31,61.81,62.16,23110,0
2025-05-08,62.29,62.29,62.28,62.29,13,0
2025-05-09,62.6,62.6,61.81,61.82,1162,0
2025-05-12,65.0,65.0,61.65,61.84,7351,0
2025-05-13,61.7,62.32,61.65,62.11,7197,0
2025-05-14,62.11,62.37,62.11,62.21,16258,0
2025-05-15,62.41,62.41,62.05,62.22,1058,0
2025-05-16,62.14,62.4,62.13,62.4,1444,0
2025-05-19,62.15,62.53,62.15,62.49,2466,0
2025-05-20,62.48,62.48,62.25,62.48,2055,0
2025-05-21,62.32,62.85,62.32,62.8,812,0
2025-05-22,62.42,62.42,62.42,62.42,248,0
2025-05-23,62.38,62.8,62.38,62.48,319,0
2025-05-26,62.79,62.9,62.46,62.62,565,0
2025-05-27,62.89,62.9,62.59,62.59,861,0
2025-05-28,62.88,62.9,62.57,62.59,159,0
2025-05-29,62.55,62.98,62.55,62.58,369,0
2025-05-30,62.56,62.94,62.56,62.61,1609,0
2025-06-02,62.88,62.93,62.61,62.71,794,0
2025-06-03,62.63,62.97,62.63,62.71,305,0
2025-06-04,62.61,62.8,62.61,62.61,2038,0
2025-06-05,62.61,62.98,62.61,62.96,434,0
2025-06-06,62.96,62.96,62.96,62.96,355,0
2025-06-09,62.95,62.95,62.95,62.95,52,0
2025-06-10,62.85,62.85,62.85,62.85,50,0
2025-06-11,62.5,62.97,62.5,62.66,898,0
2025-06-12,62.65,62.75,62.32,62.56,13076,0
2025-06-13,62.25,62.27,62.25,62.27,67,0
2025-06-16,62.72,62.75,62.34,62.7,969,0
2025-06-17,62.79,62.9,62.51,62.9,242,0
2025-06-18,62.59,62.87,62.45,62.45,151,0
2025-06-19,62.5,62.87,62.45,62.45,137,0
2025-06-20,62.37,62.74,62.37,62.43,1562,0
2025-06-23,62.71,62.71,62.44,62.71,276,0
2025-06-24,62.4,62.82,62.33,62.82,349,0
2025-06-25,62.81,62.82,62.37,62.44,271,0
2025-06-26,62.73,62.77,62.73,62.77,110,0
2025-06-27,62.75,62.75,62.38,62.71,839,0
2025-06-30,61.64,63.5,61.64,62.82,437,0
2025-07-01,62.84,62.95,62.46,62.95,1560,0
2025-07-02,62.94,63.9,62.81,62.81,3632,0
2025-07-03,63.12,63.12,62.63,62.78,729,0
2025-07-04,62.7,63.42,62.6,62.99,440,0
2025-07-07,63.3,63.3,62.65,63.03,2718,0
2025-07-08,63.05,63.8,62.68,62.7,4509,0
2025-07-09,63.01,63.1,62.66,62.97,14821,0
2025-07-10,62.65,63.05,62.65,62.79,6797,0
2025-07-11,62.79,63.05,62.62,62.67,1277,0
2025-07-14,62.67,63.05,62.67,63.05,1435,0
2025-07-15,63.02,63.05,62.69,63.04,4628,0
2025-07-16,62.86,62.86,62.86,62.86,10,0
