date,open,high,low,close,volume,oi
2025-04-23,61.6,61.69,61.51,61.59,209058,0
2025-04-24,61.45,61.84,61.44,61.55,357224,0
2025-04-25,61.57,61.76,61.56,61.71,318509,0
2025-04-28,61.71,61.72,61.26,61.41,758502,0
2025-04-29,61.45,61.81,61.42,61.55,234092,0
2025-04-30,61.46,61.86,61.46,61.74,141686,0
2025-05-02,61.78,61.97,61.64,61.77,202227,0
2025-05-05,61.77,61.89,61.56,61.76,182409,0
2025-05-06,61.77,61.89,61.61,61.77,358181,0
2025-05-07,61.77,62.35,61.65,61.84,177938,0
2025-05-08,62.59,62.59,61.7,61.8,412318,0
2025-05-09,61.9,61.9,61.51,61.75,76873,0
2025-05-12,61.89,62.35,61.61,61.87,385971,0
2025-05-13,61.65,61.96,61.65,61.83,234029,0
2025-05-14,61.83,61.99,61.83,61.89,207124,0
2025-05-15,61.89,61.99,61.86,61.97,506809,0
2025-05-16,62.27,62.27,61.9,62.07,320011,0
2025-05-19,61.86,62.24,61.81,62.17,150737,0
2025-05-20,62.23,62.37,62.18,62.32,403608,0
2025-05-21,62.44,62.48,62.22,62.37,260925,0
2025-05-22,62.36,62.5,62.32,62.39,328883,0
2025-05-23,62.44,62.53,62.13,62.4,446957,0
2025-05-26,62.54,62.54,62.21,62.4,449622,0
2025-05-27,62.47,62.52,62.28,62.46,203777,0
2025-05-28,62.53,62.53,62.4,62.44,258982,0
2025-05-29,62.46,62.64,62.45,62.52,142464,0
2025-05-30,62.52,62.64,62.44,62.59,267288,0
2025-06-02,62.64,62.65,62.47,62.52,504147,0
2025-06-03,62.64,62.64,62.46,62.51,190111,0
2025-06-04,62.74,62.74,62.39,62.54,678480,0
2025-06-05,62.69,62.69,62.47,62.58,245309,0
2025-06-06,62.62,62.87,62.62,62.81,237307,0
2025-06-09,63.44,63.44,62.51,62.63,403717,0
2025-06-10,62.84,62.84,62.5,62.5,671762,0
2025-06-11,62.55,62.62,62.4,62.43,1081313,0
2025-06-12,62.7,62.7,62.17,62.35,972374,0
2025-06-13,62.35,62.45,62.0,62.29,198375,0
2025-06-16,62.26,62.4,62.14,62.32,175923,0
2025-06-17,63.19,63.19,62.12,62.36,95465,0
2025-06-18,62.45,62.49,62.38,62.46,157769,0
2025-06-19,62.59,62.59,62.37,62.42,151440,0
2025-06-20,63.98,63.98,62.15,62.4,145187,0
2025-06-23,62.16,62.45,62.16,62.27,141301,0
2025-06-24,62.4,62.49,62.3,62.37,173844,0
2025-06-25,62.38,62.45,62.3,62.37,184273,0
2025-06-26,62.49,62.49,62.19,62.37,296565,0
2025-06-27,62.37,62.44,62.2,62.32,354526,0
2025-06-30,62.32,62.5,62.29,62.39,245475,0
2025-07-01,62.49,62.69,62.29,62.55,606157,0
2025-07-02,62.99,63.0,62.4,62.62,333256,0
2025-07-03,62.69,62.75,62.56,62.65,304175,0
2025-07-04,62.76,62.8,62.5,62.77,486686,0
2025-07-07,64.65,64.65,62.61,62.65,1035325,0
2025-07-08,62.79,62.79,62.62,62.67,423813,0
2025-07-09,62.68,62.72,62.61,62.62,459947,0
2025-07-10,62.75,62.75,62.61,62.66,636383,0
2025-07-11,62.78,62.78,62.57,62.74,295366,0
2025-07-14,62.8,62.8,62.59,62.66,519200,0
2025-07-15,62.76,62.76,62.6,62.64,575962,0
2025-07-16,62.69,62.7,62.62,62.64,273455,0
2025-07-17,62.64,62.74,62.59,62.69,275559,0
2025-07-18,62.88,62.88,62.6,62.73,245361,0
2025-07-21,63.8,63.8,62.71,62.75,419023,0
2025-07-22,62.86,62.89,62.67,62.73,228464,0
2025-07-23,62.9,62.96,62.74,62.78,178661,0
2025-07-24,62.89,62.89,62.71,62.75,452531,0
2025-07-25,62.73,62.85,62.62,62.65,216725,0
2025-07-28,62.85,62.85,62.6,62.63,209593,0
2025-07-29,62.72,62.72,62.58,62.64,145776,0
2025-07-30,62.64,62.75,62.61,62.72,221191,0
2025-07-31,62.73,62.73,62.64,62.67,129059,0
2025-08-01,62.88,62.89,62.62,62.7,308743,0
2025-08-04,63.63,63.63,62.61,62.83,246293,0
2025-08-05,62.92,62.92,62.8,62.81,124797,0
2025-08-06,62.82,62.84,62.7,62.74,269762,0
2025-08-07,62.75,62.79,62.63,62.68,309232,0
2025-08-08,62.78,62.78,62.63,62.66,141199,0
2025-08-11,62.67,62.78,62.54,62.62,244442,0
2025-08-12,62.69,62.69,62.52,62.53,334068,0
2025-08-13,62.57,62.59,62.43,62.44,357572,0
2025-08-14,62.45,62.59,62.43,62.53,142271,0
2025-08-18,62.41,62.69,62.4,62.48,242108,0
2025-08-19,62.59,62.6,62.25,62.39,464645,0
2025-08-20,62.59,62.59,62.38,62.47,139711,0
2025-08-21,62.65,62.65,62.37,62.39,601534,0
2025-08-22,62.4,62.49,62.38,62.38,93858,0
2025-08-25,62.59,62.59,62.36,62.4,135831,0
2025-08-26,62.38,62.45,62.31,62.35,238112,0
2025-08-28,62.35,62.42,62.26,62.3,271927,0
2025-08-29,62.31,62.49,62.3,62.41,349616,0
2025-09-01,62.59,62.59,62.27,62.36,325724,0
2025-09-02,62.55,62.56,62.27,62.29,350379,0
2025-09-03,62.59,62.6,62.27,62.36,219764,0
2025-09-04,62.6,62.6,62.38,62.46,161403,0
2025-09-05,62.6,62.6,62.35,62.48,200079,0
2025-09-08,62.66,62.67,62.48,62.55,213409,0
2025-09-09,62.67,62.67,62.47,62.57,3576783,0
2025-09-10,62.66,62.8,62.51,62.64,170865,0
2025-09-11,62.41,62.8,62.4,62.56,203738,0
2025-09-12,62.51,62.79,62.5,62.56,114251,0
