date,open,high,low,close,volume,oi
2025-04-23,1231.4,1270.1,1231.4,1268.5,1908019,0
2025-04-24,1275.0,1275.0,1226.0,1267.9,2200361,0
2025-04-25,1265.0,1281.0,1255.4,1266.5,1485280,0
2025-04-28,1267.1,1270.6,1245.7,1265.9,466160,0
2025-04-29,1267.0,1279.0,1248.2,1262.7,1089795,0
2025-04-30,1260.0,1275.7,1239.7,1260.5,1344364,0
2025-05-02,1260.0,1279.0,1251.5,1256.7,423201,0
2025-05-05,1264.0,1287.9,1258.8,1262.1,1604829,0
2025-05-06,1267.5,1272.0,1248.4,1250.8,1155139,0
2025-05-07,1233.6,1254.1,1211.5,1246.9,1800027,0
2025-05-08,1245.1,1272.4,1236.5,1240.6,1119558,0
2025-05-09,1200.0,1245.2,1195.2,1242.1,649047,0
2025-05-12,1282.0,1292.9,1257.6,1289.5,1386761,0
2025-05-13,1293.0,1295.0,1264.0,1266.3,895398,0
2025-05-14,1266.0,1287.4,1259.2,1282.0,1102055,0
2025-05-15,1275.1,1298.4,1270.3,1290.4,734151,0
2025-05-16,1290.5,1305.0,1282.2,1299.5,912957,0
2025-05-19,1303.0,1308.2,1290.0,1291.5,915695,0
2025-05-20,1297.0,1301.4,1257.6,1260.8,664154,0
2025-05-21,1260.0,1292.2,1256.0,1280.0,762035,0
2025-05-22,1285.0,1285.0,1255.2,1264.0,234851,0
2025-05-23,1264.0,1283.3,1260.4,1277.4,312877,0
2025-05-26,1278.8,1291.2,1277.1,1284.5,269355,0
2025-05-27,1283.8,1283.8,1258.8,1269.6,847346,0
2025-05-28,1275.0,1279.8,1250.5,1259.0,232166,0
2025-05-29,1260.0,1261.9,1224.0,1246.1,1471954,0
2025-05-30,1246.1,1251.5,1227.0,1231.4,1382707,0
2025-06-02,1256.9,1301.3,1256.9,1266.1,2571867,0
2025-06-03,1264.1,1268.7,1235.0,1238.5,892994,0
2025-06-04,1240.1,1242.1,1220.1,1227.2,683760,0
2025-06-05,1234.0,1234.5,1210.1,1214.9,1088686,0
2025-06-06,1220.0,1221.6,1206.3,1210.1,878031,0
