date,open,high,low,close,volume,oi
2025-04-23,83.0,83.25,80.3,81.13,8009701,0
2025-04-24,81.0,81.45,80.64,81.11,1821755,0
2025-04-25,81.11,81.54,80.34,80.68,1023122,0
2025-04-28,80.59,80.67,79.46,79.61,1981464,0
2025-04-29,80.01,82.0,80.01,80.48,2759787,0
2025-04-30,80.47,80.6,79.25,79.48,1090474,0
2025-05-02,79.5,79.5,78.22,79.18,535662,0
2025-05-05,79.63,80.15,78.3,79.97,2216164,0
2025-05-06,80.33,82.25,80.33,82.12,706256,0
2025-05-07,82.13,82.68,81.47,81.53,6911701,0
2025-05-08,81.53,82.2,80.0,81.27,2800531,0
2025-05-09,81.15,81.54,80.1,81.31,490649,0
2025-05-12,80.95,80.95,78.35,78.46,960900,0
2025-05-13,80.81,80.81,78.5,79.35,2461451,0
2025-05-14,79.35,79.35,78.5,78.94,483194,0
2025-05-15,79.0,79.0,76.98,77.77,2109763,0
2025-05-16,78.03,79.18,78.03,78.21,1527995,0
2025-05-19,79.45,79.45,77.13,78.86,423657,0
2025-05-20,78.86,78.86,78.01,78.68,214037,0
2025-05-21,81.04,81.04,79.3,80.0,751009,0
2025-05-22,80.21,80.94,80.21,80.3,314053,0
2025-05-23,82.71,82.71,79.93,80.25,587911,0
2025-05-26,80.33,80.7,80.26,80.5,378881,0
2025-05-27,81.45,81.45,80.04,80.12,774333,0
2025-05-28,80.13,80.78,80.13,80.53,184535,0
2025-05-29,80.3,80.3,79.5,79.67,647649,0
2025-05-30,79.67,80.27,79.62,80.25,549067,0
2025-06-02,80.25,81.25,79.83,81.13,526762,0
2025-06-03,81.03,82.63,81.03,81.59,2475699,0
2025-06-04,81.59,82.19,81.5,81.83,2051864,0
2025-06-05,83.87,83.87,81.4,82.24,3306405,0
2025-06-06,84.29,84.29,81.27,81.8,4319213,0
2025-06-09,79.75,81.65,79.75,80.99,790780,0
2025-06-10,80.88,81.09,80.49,81.06,1953023,0
2025-06-11,80.91,81.45,80.91,81.23,223905,0
2025-06-12,82.95,82.95,81.46,81.94,1200327,0
2025-06-13,82.63,83.85,82.63,83.75,1073155,0
2025-06-16,85.84,85.84,83.53,83.78,1076599,0
2025-06-17,83.6,83.6,82.9,83.12,762337,0
2025-06-18,83.0,83.66,82.42,83.45,1272400,0
2025-06-19,85.53,85.53,82.75,83.37,415776,0
2025-06-20,85.45,85.45,82.57,82.89,546749,0
2025-06-23,83.95,83.95,82.63,83.32,1011608,0
2025-06-24,82.99,83.0,81.41,81.58,1413925,0
2025-06-25,83.61,83.61,81.52,81.73,1322013,0
2025-06-26,81.73,82.2,81.49,81.78,1834454,0
2025-06-27,81.63,83.77,80.01,80.36,1674417,0
2025-06-30,78.35,80.95,78.35,80.51,1322706,0
2025-07-01,78.49,81.99,78.49,81.68,1157998,0
2025-07-02,84.13,84.13,80.63,81.78,1234322,0
2025-07-03,83.82,83.82,81.33,81.68,1040786,0
2025-07-04,82.1,82.1,81.31,81.46,493088,0
2025-07-07,81.46,81.49,80.81,81.13,346370,0
2025-07-08,82.13,82.13,81.15,81.43,1335583,0
2025-07-09,81.26,81.3,80.53,80.55,593090,0
2025-07-10,80.7,81.5,80.7,81.42,1202724,0
2025-07-11,81.42,81.84,81.42,81.82,720871,0
2025-07-14,81.82,82.6,81.82,82.46,439701,0
2025-07-15,84.93,84.93,82.05,82.29,307857,0
2025-07-16,82.1,82.1,81.72,81.91,195520,0
2025-07-17,81.91,82.4,81.63,81.81,1129657,0
2025-07-18,79.76,83.85,79.76,82.29,272588,0
2025-07-21,84.34,84.34,82.06,82.67,331262,0
2025-07-22,82.71,83.95,82.71,83.43,511703,0
2025-07-23,85.45,85.45,83.53,84.38,888272,0
2025-07-24,85.83,86.48,82.85,82.85,1004275,0
2025-07-25,83.95,83.95,82.47,82.67,855744,0
2025-07-28,83.08,83.08,81.63,82.5,1164726,0
2025-07-29,84.56,84.56,81.53,82.41,537650,0
2025-07-30,82.41,83.14,82.41,83.0,543587,0
2025-07-31,82.8,82.9,81.3,82.77,1101279,0
2025-08-01,82.98,82.98,82.02,82.38,1325864,0
2025-08-04,84.5,84.5,83.02,83.99,943826,0
2025-08-05,85.63,85.63,84.03,84.28,462186,0
2025-08-06,85.0,86.38,83.92,84.16,840102,0
2025-08-07,86.26,86.26,84.32,84.69,719901,0
2025-08-08,87.23,87.23,84.69,85.01,580224,0
2025-08-11,84.65,85.0,82.68,83.92,1170041,0
2025-08-12,86.01,86.01,83.03,83.57,1090341,0
2025-08-13,83.57,84.05,83.57,83.88,817025,0
2025-08-14,83.88,84.29,83.33,83.8,607527,0
2025-08-18,84.22,84.22,83.03,83.47,1054411,0
2025-08-19,83.47,83.63,82.85,82.85,761305,0
