date,open,high,low,close,volume,oi
2025-04-23,15.44,15.5,15.17,15.31,3582609,0
2025-04-24,15.7,15.71,15.08,15.27,2982622,0
2025-04-25,15.35,15.35,15.05,15.2,2338943,0
2025-04-28,15.65,15.65,14.74,15.03,2384798,0
2025-04-29,15.3,15.48,15.12,15.2,2391051,0
2025-04-30,15.37,15.37,15.01,15.03,2992053,0
2025-05-02,15.48,15.48,14.58,14.93,5886871,0
2025-05-05,15.15,15.23,14.81,15.16,3096207,0
2025-05-06,15.4,15.48,15.27,15.46,3442904,0
2025-05-07,15.92,15.92,15.0,15.45,1914056,0
2025-05-08,15.91,15.91,15.18,15.37,2181926,0
2025-05-09,15.83,15.83,15.18,15.3,1585514,0
2025-05-12,15.12,15.18,14.8,14.85,4622785,0
2025-05-13,15.3,15.3,14.82,15.0,1633531,0
2025-05-14,15.27,15.27,14.86,14.93,1072854,0
2025-05-15,15.08,15.08,14.52,14.66,4147891,0
2025-05-16,14.99,14.99,14.72,14.8,3657270,0
2025-05-19,15.1,15.44,14.75,14.9,4451254,0
2025-05-20,15.0,15.0,14.79,14.86,1603162,0
2025-05-21,14.86,15.31,14.86,15.1,2922809,0
2025-05-22,15.5,15.5,15.1,15.18,2396437,0
2025-05-23,15.47,15.47,15.11,15.15,1227679,0
2025-05-26,15.6,15.6,15.12,15.16,2146147,0
2025-05-27,15.37,15.37,15.09,15.1,1817898,0
2025-05-28,15.55,15.55,15.09,15.18,1323633,0
2025-05-29,15.14,15.14,14.68,15.01,2242963,0
2025-05-30,15.29,15.29,15.03,15.12,2000893,0
2025-06-02,15.58,15.58,15.07,15.29,3830498,0
2025-06-03,15.67,15.75,15.22,15.38,7053410,0
2025-06-04,15.84,15.84,15.35,15.45,1661224,0
2025-06-05,15.75,15.75,15.39,15.51,2751657,0
2025-06-06,15.98,15.98,15.4,15.43,2180241,0
2025-06-09,15.45,15.57,15.11,15.28,3512688,0
2025-06-10,15.74,15.74,14.89,15.3,2442605,0
2025-06-11,15.37,15.5,15.3,15.32,1207204,0
2025-06-12,15.39,15.58,15.37,15.44,3044419,0
2025-06-13,15.67,15.86,15.53,15.78,5246359,0
2025-06-16,16.26,16.26,15.7,15.78,3125431,0
2025-06-17,16.25,16.25,15.57,15.67,2673588,0
2025-06-18,15.79,15.79,15.64,15.72,1702883,0
2025-06-19,16.19,16.19,15.52,15.71,2204841,0
2025-06-20,16.18,16.18,15.57,15.63,1641465,0
2025-06-23,16.1,16.1,15.6,15.71,3456117,0
2025-06-24,16.18,16.18,15.36,15.37,4239253,0
2025-06-25,15.83,15.83,15.35,15.38,1758551,0
2025-06-26,14.99,15.84,14.99,15.42,1993570,0
2025-06-27,15.42,15.84,15.14,15.16,4219882,0
2025-06-30,15.59,15.59,14.78,15.18,2866270,0
2025-07-01,14.72,15.49,14.72,15.4,3900707,0
2025-07-02,15.86,15.86,15.01,15.41,1989207,0
2025-07-03,15.16,15.87,15.16,15.41,1512617,0
2025-07-04,15.84,15.84,15.32,15.38,1615071,0
2025-07-07,15.03,15.5,15.01,15.31,2392540,0
2025-07-08,15.63,15.63,15.31,15.37,1485476,0
2025-07-09,15.6,15.6,15.2,15.21,2569820,0
2025-07-10,15.52,15.52,15.11,15.34,1205715,0
