date,open,high,low,close,volume,oi
2025-04-23,255.89,256.9,254.7,256.47,21144,0
2025-04-24,256.84,256.84,254.82,254.82,1711,0
2025-04-25,255.0,257.06,254.03,254.11,595,0
2025-04-28,255.38,256.37,254.24,254.4,12168,0
2025-04-29,255.67,256.01,254.06,254.34,46,0
2025-04-30,256.0,256.01,254.02,255.99,536,0
2025-05-02,254.72,256.66,254.72,256.26,5832,0
2025-05-05,256.25,256.26,253.74,256.25,6641,0
2025-05-06,256.25,257.17,254.11,254.67,9553,0
2025-05-07,254.01,256.56,254.01,255.52,3486,0
2025-05-08,255.52,256.49,255.52,256.04,4172,0
2025-05-09,254.76,257.94,252.83,257.94,3434,0
2025-05-12,257.7,257.7,253.67,254.41,6839,0
2025-05-13,254.51,256.21,254.51,255.0,172,0
2025-05-14,255.01,256.99,255.01,256.45,6152,0
2025-05-15,256.99,257.49,255.51,255.99,2343,0
2025-05-16,255.99,258.41,255.99,258.41,469,0
2025-05-19,258.36,258.37,256.01,258.0,14438,0
2025-05-20,258.01,258.24,256.41,258.14,275,0
2025-05-21,258.14,258.9,257.01,258.46,628,0
2025-05-22,257.53,258.28,257.52,257.76,5135,0
2025-05-23,257.99,257.99,257.89,257.89,642,0
2025-05-26,258.86,258.86,256.29,257.89,2287,0
2025-05-27,257.88,259.11,256.58,257.07,1713,0
2025-05-28,257.02,259.52,257.02,258.21,3808,0
2025-05-29,258.0,259.75,258.0,259.68,1626,0
2025-05-30,259.75,259.8,258.01,258.48,6610,0
2025-06-02,258.48,259.04,257.51,257.87,2795,0
2025-06-03,257.51,259.4,257.02,258.25,4907,0
2025-06-04,259.48,259.58,257.18,257.74,2082,0
2025-06-05,257.73,259.6,257.61,257.81,539,0
2025-06-06,257.2,260.25,257.2,260.25,210,0
2025-06-09,261.55,261.9,254.49,260.62,8201,0
2025-06-10,258.23,262.0,255.66,259.15,8491,0
2025-06-11,259.15,260.0,256.08,258.46,1534,0
2025-06-12,258.04,258.04,256.52,257.01,5179,0
2025-06-13,255.73,259.6,255.73,257.01,965,0
2025-06-16,257.01,258.02,256.96,256.96,2331,0
2025-06-17,256.95,258.95,256.95,258.95,137,0
2025-06-18,258.91,258.91,256.38,258.91,203,0
2025-06-19,258.87,258.92,257.0,257.4,2222,0
2025-06-20,257.4,258.09,255.56,255.66,1573,0
2025-06-23,258.1,258.1,255.53,256.01,18463,0
2025-06-24,256.8,258.38,255.81,256.57,1379,0
2025-06-25,256.81,259.3,256.81,258.01,125,0
2025-06-26,258.94,258.94,256.8,256.8,145,0
2025-06-27,259.18,259.18,256.81,256.85,2025,0
2025-06-30,256.85,258.51,254.02,257.99,5557,0
2025-07-01,258.5,258.5,256.05,258.49,9443,0
2025-07-02,259.78,259.78,253.5,257.71,19237,0
2025-07-03,258.0,259.12,256.54,256.57,1238,0
2025-07-04,256.57,259.79,256.57,258.65,9931,0
2025-07-07,259.08,259.08,256.5,257.96,7022,0
2025-07-08,257.88,259.22,257.25,257.78,20292,0
2025-07-09,259.01,259.01,257.31,258.34,545,0
2025-07-10,258.0,258.29,257.84,258.19,340,0
2025-07-11,258.27,258.27,257.64,257.66,7749,0
