date,open,high,low,close,volume,oi
2025-04-23,35.26,35.49,35.11,35.33,37960,0
2025-04-24,35.48,35.49,35.11,35.23,16752,0
2025-04-25,35.68,35.68,34.6,34.97,32253,0
2025-04-28,35.46,35.47,34.9,35.15,33295,0
2025-04-29,35.16,35.49,35.06,35.32,9438,0
2025-04-30,35.39,35.65,34.95,35.24,17368,0
2025-05-02,35.11,35.54,34.98,35.11,20539,0
2025-05-05,35.28,35.54,35.01,35.4,56783,0
2025-05-06,35.68,35.68,34.73,34.8,32378,0
2025-05-07,34.81,35.29,34.71,35.11,18418,0
2025-05-08,35.58,35.59,35.01,35.3,23055,0
2025-05-09,34.69,35.31,34.51,35.01,22356,0
2025-05-12,35.5,36.34,35.12,35.77,24438,0
2025-05-13,35.77,36.0,35.66,35.74,40498,0
2025-05-14,36.18,36.5,35.85,36.29,61146,0
2025-05-15,36.47,36.51,36.26,36.41,15206,0
2025-05-16,36.51,36.79,36.31,36.6,6962,0
2025-05-19,36.61,36.79,36.21,36.48,30351,0
2025-05-20,36.49,36.78,36.08,36.14,32471,0
2025-05-21,36.14,36.44,35.91,36.24,33293,0
2025-05-22,36.42,36.49,35.89,36.05,12473,0
2025-05-23,38.0,38.0,35.71,36.24,21122,0
2025-05-26,36.48,36.59,35.93,36.18,43532,0
2025-05-27,36.03,36.58,36.01,36.43,15129,0
2025-05-28,36.49,36.49,36.09,36.34,5214,0
2025-05-29,36.52,36.59,36.0,36.21,25166,0
2025-05-30,36.39,36.57,36.06,36.34,36407,0
2025-06-02,36.48,36.49,36.11,36.38,19545,0
2025-06-03,36.49,36.49,36.0,36.04,58847,0
2025-06-04,36.94,36.94,36.07,36.3,12642,0
2025-06-05,36.12,36.53,36.11,36.44,41782,0
2025-06-06,36.58,36.65,36.22,36.57,25695,0
2025-06-09,36.89,37.29,36.62,37.13,57041,0
2025-06-10,36.87,38.5,36.76,37.51,30993,0
2025-06-11,38.25,38.25,37.02,37.17,31126,0
2025-06-12,38.09,38.09,36.58,36.79,43206,0
2025-06-13,36.74,36.78,36.28,36.57,21465,0
2025-06-16,36.88,36.98,36.46,36.76,15948,0
2025-06-17,37.14,37.19,36.61,36.66,16763,0
2025-06-18,36.8,36.99,36.58,36.66,20483,0
2025-06-19,35.74,36.94,35.74,36.24,21256,0
2025-06-20,36.66,37.69,36.6,36.92,101234,0
2025-06-23,37.08,37.08,36.4,36.78,12957,0
2025-06-24,37.02,37.72,36.72,37.06,10862,0
2025-06-25,37.06,37.48,37.06,37.22,21000,0
2025-06-26,36.28,37.59,36.28,37.5,24673,0
2025-06-27,38.43,38.43,37.36,37.57,17959,0
2025-06-30,37.57,37.94,37.41,37.61,16789,0
2025-07-01,37.89,37.9,37.52,37.66,21194,0
2025-07-02,37.67,37.88,37.51,37.58,41664,0
2025-07-03,37.88,37.88,37.52,37.6,11060,0
2025-07-04,37.52,37.89,37.46,37.63,11389,0
2025-07-07,37.79,37.79,37.51,37.67,16839,0
2025-07-08,37.86,37.86,37.55,37.6,9949,0
2025-07-09,37.78,37.78,37.38,37.58,16704,0
2025-07-10,37.59,39.18,37.52,37.64,36110,0
2025-07-11,38.45,38.74,37.26,37.92,57885,0
2025-07-14,38.86,38.86,37.36,37.75,18315,0
2025-07-15,37.37,38.34,37.37,38.07,19560,0
2025-07-16,39.02,39.02,37.68,38.44,35924,0
2025-07-17,39.4,39.4,38.01,38.25,20112,0
2025-07-18,39.2,39.2,37.29,38.12,20959,0
2025-07-21,38.28,38.29,37.56,38.07,11676,0
2025-07-22,37.91,38.14,37.88,38.08,11269,0
2025-07-23,38.08,38.13,37.86,38.0,9697,0
2025-07-24,38.95,38.95,37.8,37.85,18030,0
2025-07-25,37.99,39.0,37.61,38.12,20507,0
2025-07-28,37.16,39.55,37.0,38.95,38275,0
2025-07-29,38.9,38.9,36.81,37.26,234385,0
2025-07-30,37.79,37.79,36.9,37.01,39010,0
2025-07-31,36.98,37.09,36.55,36.69,35961,0
2025-08-01,36.81,36.98,36.13,36.23,80884,0
2025-08-04,36.23,36.59,36.22,36.52,16225,0
2025-08-05,36.15,36.78,36.15,36.47,12629,0
2025-08-06,36.65,36.67,36.08,36.2,21642,0
2025-08-07,36.29,36.42,35.84,36.31,28231,0
2025-08-08,36.67,36.67,35.93,35.99,20208,0
2025-08-11,35.98,36.22,35.94,36.19,8647,0
2025-08-12,36.01,36.43,36.01,36.15,6702,0
2025-08-13,36.15,36.48,36.01,36.22,12661,0
2025-08-14,36.23,36.4,36.22,36.33,22657,0
2025-08-18,37.23,37.23,36.41,36.74,10264,0
2025-08-19,37.65,37.65,36.64,36.97,34529,0
