date,open,high,low,close,volume,oi
2025-04-23,114.97,114.97,113.0,114.62,57436,0
2025-04-24,115.97,115.99,114.0,114.88,56016,0
2025-04-25,116.98,116.98,112.43,114.07,39749,0
2025-04-28,114.63,115.89,113.7,115.0,34774,0
2025-04-29,115.98,115.98,114.3,114.93,33447,0
2025-04-30,116.03,116.03,114.22,114.92,21929,0
2025-05-02,115.98,115.98,114.51,114.96,22797,0
2025-05-05,116.02,116.99,115.1,115.92,28000,0
2025-05-06,115.92,116.49,115.65,115.81,42346,0
2025-05-07,115.01,116.5,115.01,116.24,16942,0
2025-05-08,116.98,116.98,114.0,114.73,18566,0
2025-05-09,114.2,114.2,111.03,113.73,25019,0
2025-05-12,115.88,117.5,114.61,117.22,47994,0
2025-05-13,117.81,117.81,116.01,116.74,25101,0
2025-05-14,117.32,117.54,116.51,117.3,21413,0
2025-05-15,117.37,118.5,116.71,118.37,30095,0
2025-05-16,118.38,119.25,117.63,118.89,37903,0
2025-05-19,118.89,120.06,118.56,118.92,35014,0
2025-05-20,118.92,119.6,116.0,117.67,50472,0
2025-05-21,117.67,120.0,116.8,118.65,29281,0
2025-05-22,118.0,118.98,115.5,116.68,118104,0
2025-05-23,117.98,117.99,116.25,117.03,68205,0
2025-05-26,117.61,118.03,116.77,117.71,45259,0
2025-05-27,118.02,118.03,115.36,117.38,32065,0
2025-05-28,117.38,117.88,114.63,116.64,57796,0
2025-05-29,117.02,117.36,116.2,116.96,23275,0
2025-05-30,117.54,117.54,115.65,116.09,41716,0
2025-06-02,116.67,118.02,115.36,116.11,28033,0
2025-06-03,116.7,116.7,115.2,115.48,39270,0
2025-06-04,116.0,116.22,115.51,116.05,20835,0
2025-06-05,116.05,117.55,115.63,116.8,27560,0
2025-06-06,117.48,117.5,115.69,117.03,32080,0
2025-06-09,117.61,117.94,117.01,117.45,44169,0
2025-06-10,118.02,118.02,117.46,117.88,32535,0
2025-06-11,118.02,118.4,117.5,118.24,35536,0
2025-06-12,118.83,118.83,117.02,117.48,30567,0
2025-06-13,114.54,118.55,114.54,118.2,28790,0
2025-06-16,119.38,119.38,117.01,118.46,30911,0
2025-06-17,119.25,119.64,117.5,117.84,24332,0
2025-06-18,118.9,119.74,117.3,118.4,33799,0
2025-06-19,118.12,118.4,117.01,117.93,17204,0
2025-06-20,118.51,118.9,117.3,118.43,18009,0
2025-06-23,118.43,118.43,116.95,117.75,27028,0
2025-06-24,118.33,119.18,117.41,118.0,30829,0
2025-06-25,118.0,119.0,117.99,118.85,24896,0
2025-06-26,119.67,119.67,116.63,118.21,38014,0
2025-06-27,119.03,119.74,118.3,119.18,54482,0
2025-06-30,119.77,119.77,118.4,119.5,30535,0
2025-07-01,119.67,119.78,119.01,119.62,21480,0
2025-07-02,119.41,119.83,119.07,119.43,14399,0
2025-07-03,119.99,120.3,119.45,119.71,37647,0
2025-07-04,119.8,120.31,119.51,120.21,19830,0
2025-07-07,119.89,120.96,119.47,120.55,38335,0
2025-07-08,120.55,120.86,119.2,120.32,21251,0
2025-07-09,121.03,121.03,120.36,120.5,15754,0
2025-07-10,120.36,120.71,119.6,119.96,15797,0
2025-07-11,119.56,120.29,119.19,119.66,13075,0
2025-07-14,120.25,120.26,118.58,119.39,13834,0
2025-07-15,119.41,120.49,119.1,120.24,8864,0
2025-07-16,120.23,120.99,120.0,120.85,18742,0
2025-07-17,120.98,121.02,120.27,120.48,18087,0
2025-07-18,119.65,120.85,119.65,120.26,13859,0
2025-07-21,120.0,121.6,119.0,120.25,11064,0
2025-07-22,120.29,121.19,119.33,119.84,9304,0
2025-07-23,120.94,122.25,119.39,119.96,11097,0
