date,open,high,low,close,volume,oi
2025-04-23,1008.06,1008.06,1008.02,1008.03,3310,0
2025-04-24,1008.17,1008.17,1008.15,1008.16,7737,0
2025-04-25,1008.57,1008.63,1008.57,1008.6,12357,0
2025-04-28,1008.77,1008.77,1008.73,1008.75,12522,0
2025-04-29,1008.91,1008.91,1008.85,1008.88,23568,0
2025-04-30,1009.14,1009.19,1009.14,1009.19,8021,0
2025-05-02,1009.58,1009.64,1009.58,1009.6,20958,0
2025-05-05,1009.78,1009.78,1009.72,1009.76,17079,0
2025-05-06,1009.85,1009.89,1009.85,1009.89,20533,0
2025-05-07,1009.98,1010.04,1009.98,1010.02,10221,0
2025-05-08,1010.18,1010.18,1010.15,1010.16,9254,0
2025-05-09,1010.7,1010.76,1010.7,1010.72,1568,0
2025-05-12,1010.7,1010.74,1010.7,1010.72,4554,0
2025-05-13,1010.84,1010.88,1010.84,1010.87,12177,0
2025-05-14,1011.0,1011.02,1011.0,1011.02,1568,0
2025-05-15,1011.11,1011.15,1011.11,1011.15,2575,0
2025-05-16,1011.61,1011.61,1011.55,1011.57,9027,0
2025-05-19,1011.74,1011.74,1011.68,1011.71,3249,0
2025-05-20,1011.82,1011.86,1011.82,1011.86,2893,0
2025-05-21,1012.02,1012.02,1011.96,1012.0,7646,0
2025-05-22,1012.11,1012.15,1012.11,1012.15,13936,0
2025-05-23,1017.21,1017.21,1012.55,1012.57,2450,0
2025-05-26,1017.63,1017.63,1012.68,1012.72,1157,0
2025-05-27,1012.82,1012.86,1012.82,1012.86,4089,0
2025-05-28,1012.97,1013.03,1012.97,1012.99,4865,0
2025-05-29,1013.11,1013.15,1013.11,1013.13,10769,0
2025-05-30,1013.55,1013.61,1013.55,1013.58,64629,0
2025-06-02,1018.64,1018.64,1013.7,1013.73,7692,0
2025-06-03,1013.81,1013.85,1013.81,1013.84,4831,0
2025-06-04,1013.95,1013.99,1013.95,1013.98,3108,0
2025-06-05,1014.09,1014.13,1014.09,1014.1,10074,0
2025-06-06,1014.51,1014.54,1014.51,1014.53,16474,0
2025-06-09,1014.66,1014.66,1014.62,1014.62,7953,0
2025-06-10,1014.78,1014.78,1014.74,1014.77,3469,0
2025-06-11,1014.87,1014.91,1014.87,1014.9,16721,0
2025-06-12,1015.0,1015.04,1015.0,1015.04,11525,0
2025-06-13,1015.43,1015.43,1015.39,1015.42,2756,0
2025-06-16,1015.51,1015.55,1015.51,1015.54,10664,0
2025-06-17,1015.64,1015.68,1015.64,1015.68,1404,0
2025-06-18,1015.76,1015.8,1015.76,1015.76,4480,0
2025-06-19,1015.89,1015.93,1015.89,1015.92,1701,0
2025-06-20,1016.29,1016.33,1016.29,1016.29,4879,0
2025-06-23,1016.42,1016.46,1016.42,1016.45,16859,0
2025-06-24,1016.55,1016.59,1016.55,1016.58,10099,0
2025-06-25,1016.71,1016.71,1016.67,1016.67,8232,0
2025-06-26,1016.8,1016.84,1016.8,1016.84,2611,0
2025-06-27,1017.2,1017.25,1017.2,1017.23,13603,0
2025-06-30,1017.38,1017.38,1017.34,1017.36,3131,0
2025-07-01,1042.79,1042.79,1017.47,1017.5,4678,0
2025-07-02,1017.6,1017.64,1017.6,1017.63,16147,0
2025-07-03,1022.71,1022.71,1017.77,1017.81,14874,0
2025-07-04,1018.16,1018.2,1018.15,1018.18,19300,0
2025-07-07,1018.27,1018.31,1018.27,1018.3,15117,0
2025-07-08,1018.39,1018.43,1018.39,1018.39,8170,0
2025-07-09,1018.52,1018.56,1018.52,1018.54,14427,0
2025-07-10,1018.65,1018.69,1018.65,1018.68,7012,0
2025-07-11,1019.05,1019.09,1019.05,1019.05,26051,0
2025-07-14,1019.18,1019.22,1019.18,1019.22,4261,0
2025-07-15,1019.34,1019.34,1019.3,1019.33,12383,0
2025-07-16,1019.43,1019.47,1019.43,1019.43,15986,0
2025-07-17,1019.56,1019.6,1019.56,1019.6,1796,0
2025-07-18,1020.0,1020.0,1019.96,1019.98,6276,0
2025-07-21,1045.47,1045.47,1020.1,1020.11,6912,0
2025-07-22,1020.28,1020.28,1020.24,1020.28,1617,0
2025-07-23,1020.39,1020.43,1020.39,1020.41,2143,0
2025-07-24,1020.57,1020.57,1020.53,1020.56,22386,0
2025-07-25,1020.98,1020.98,1020.93,1020.93,5299,0
2025-07-28,1021.1,1021.1,1021.06,1021.06,15012,0
2025-07-29,1021.23,1021.23,1021.19,1021.19,69703,0
2025-07-30,1021.36,1021.36,1021.32,1021.36,12527,0
2025-07-31,1021.44,1021.48,1021.44,1021.48,3752,0
2025-08-01,1021.84,1021.88,1021.84,1021.84,7584,0
2025-08-04,1022.01,1022.01,1021.97,1022.01,3098,0
2025-08-05,1022.14,1022.14,1022.1,1022.11,10239,0
2025-08-06,1022.23,1022.27,1022.23,1022.26,5144,0
2025-08-07,1022.36,1022.4,1022.36,1022.39,13109,0
2025-08-08,1022.5,1022.82,1022.5,1022.81,21607,0
2025-08-11,1027.92,1027.92,1022.91,1022.95,4585,0
2025-08-12,1023.04,1023.09,1023.04,1023.05,3763,0
2025-08-13,1023.18,1023.22,1023.18,1023.21,1949,0
2025-08-14,1023.73,1023.77,1023.73,1023.74,30160,0
2025-08-18,1023.86,1023.9,1023.86,1023.9,6619,0
2025-08-19,1024.03,1024.03,1023.99,1023.99,14570,0
2025-08-20,1024.16,1024.16,1024.12,1024.15,6254,0
2025-08-21,1024.26,1024.3,1024.26,1024.3,2869,0
2025-08-22,1029.42,1029.42,1024.7,1024.71,5813,0
2025-08-25,1024.82,1024.86,1024.82,1024.86,2811,0
2025-08-26,1025.09,1025.14,1025.09,1025.1,84940,0
2025-08-28,1025.23,1025.27,1025.23,1025.26,12304,0
2025-08-29,1025.63,1025.67,1025.63,1025.67,15595,0
2025-09-01,1025.76,1025.8,1025.76,1025.76,5495,0
2025-09-02,1025.89,1025.93,1025.89,1025.93,3477,0
2025-09-03,1026.06,1026.06,1026.02,1026.05,2709,0
2025-09-04,1026.6,1026.6,1026.56,1026.6,11729,0
2025-09-05,1026.7,1026.74,1026.7,1026.74,1424,0
2025-09-08,1026.74,1026.74,1026.7,1026.7,8959,0
2025-09-09,1026.83,1026.87,1026.83,1026.84,8301,0
2025-09-10,1027.0,1027.0,1026.96,1027.0,2934,0
2025-09-11,1027.09,1027.13,1027.09,1027.09,1773,0
2025-09-12,1027.54,1027.54,1027.5,1027.5,9360,0
2025-09-15,1027.64,1027.68,1027.64,1027.68,4425,0
2025-09-16,1027.77,1027.81,1027.77,1027.8,5154,0
2025-09-17,1027.91,1027.95,1027.91,1027.94,5743,0
2025-09-18,1028.05,1028.09,1028.05,1028.06,20080,0
2025-09-19,1028.47,1028.51,1028.47,1028.48,43879,0
2025-09-22,1028.6,1028.64,1028.6,1028.63,3848,0
2025-09-23,1028.75,1028.79,1028.75,1028.75,8318,0
2025-09-24,1028.93,1028.93,1028.89,1028.92,53117,0
2025-09-25,1029.03,1029.07,1029.03,1029.06,9989,0
2025-09-26,1029.47,1029.5,1029.46,1029.46,7531,0
2025-09-29,1029.59,1029.63,1029.59,1029.59,13814,0
2025-09-30,1029.73,1029.77,1029.73,1029.73,3713,0
2025-10-01,1030.0,1030.04,1030.0,1030.03,117771,0
2025-10-03,1030.41,1030.45,1030.41,1030.44,24279,0
2025-10-06,1030.62,1030.62,1030.58,1030.61,17054,0
2025-10-07,1030.72,1030.76,1030.72,1030.72,28912,0
2025-10-08,1030.85,1030.89,1030.85,1030.86,10502,0
2025-10-09,1031.0,1031.03,1031.0,1031.03,2917,0
2025-10-10,1031.42,1031.46,1031.42,1031.42,3452,0
2025-10-13,1031.56,1031.6,1031.56,1031.56,7462,0
2025-10-14,1031.7,1031.74,1031.7,1031.71,28891,0
2025-10-15,1031.84,1031.87,1031.83,1031.86,8084,0
2025-10-16,1031.97,1032.01,1031.97,1031.97,31297,0
2025-10-17,1037.12,1037.12,1032.3,1032.4,10171,0
2025-10-20,1032.83,1032.87,1032.83,1032.87,25203,0
2025-10-21,1033.0,1033.0,1032.0,1032.83,232,0
2025-10-23,1032.96,1033.0,1032.96,1032.99,60734,0
2025-10-24,1033.4,1033.42,1033.38,1033.42,21781,0
2025-10-27,1033.53,1033.57,1033.53,1033.53,3976,0
2025-10-28,1033.68,1033.72,1033.68,1033.72,12869,0
2025-10-29,1033.86,1033.86,1033.82,1033.82,21045,0
2025-10-30,1034.0,1034.0,1033.96,1033.99,13893,0
2025-10-31,1034.43,1034.43,1034.39,1034.42,17714,0
2025-11-03,1034.53,1034.57,1034.53,1034.53,18177,0
2025-11-04,1034.8,1034.84,1034.8,1034.84,23424,0
2025-11-06,1034.93,1034.97,1034.93,1034.96,10636,0
2025-11-07,1035.33,1035.37,1035.33,1035.33,16613,0
2025-11-10,1035.46,1035.5,1035.46,1035.48,13736,0
2025-11-11,1035.59,1035.63,1035.59,1035.59,72383,0
2025-11-12,1035.72,1035.76,1035.72,1035.75,3450,0
2025-11-13,1035.87,1035.9,1035.87,1035.89,1439,0
2025-11-14,1036.28,1036.32,1036.28,1036.31,4636,0
2025-11-17,1036.45,1036.45,1036.41,1036.44,12976,0
2025-11-18,1035.5,1036.58,1035.5,1036.56,9414,0
2025-11-19,1036.68,1036.72,1036.68,1036.71,2293,0
2025-11-20,1036.85,1036.85,1036.81,1036.83,16280,0
2025-11-21,1037.27,1037.27,1037.23,1037.27,8696,0
2025-11-24,1037.41,1037.41,1037.37,1037.38,3926,0
2025-11-25,1037.54,1037.54,1037.5,1037.53,30306,0
2025-11-26,1037.68,1037.68,1037.64,1037.67,5258,0
2025-11-27,1037.77,1037.81,1037.77,1037.78,9661,0
2025-11-28,1038.23,1038.23,1038.19,1038.22,9151,0
2025-12-01,1038.37,1038.37,1038.33,1038.33,10827,0
2025-12-02,1038.5,1038.5,1038.46,1038.5,8577,0
2025-12-03,1038.6,1038.64,1038.6,1038.63,14109,0
2025-12-04,1038.73,1038.77,1038.73,1038.76,10252,0
2025-12-05,1039.14,1039.18,1039.14,1039.17,5473,0
2025-12-08,1039.3,1039.3,1039.26,1039.29,34833,0
2025-12-09,1039.39,1039.43,1039.39,1039.42,8344,0
2025-12-10,1039.56,1039.56,1039.52,1039.55,43906,0
2025-12-11,1039.69,1039.69,1039.65,1039.66,24208,0
2025-12-12,1040.05,1040.09,1040.05,1040.09,10315,0
2025-12-15,1040.21,1040.21,1040.17,1040.19,21310,0
2025-12-16,1040.32,1040.35,1040.31,1040.32,8743,0
2025-12-17,1040.49,1040.49,1040.45,1040.45,8043,0
2025-12-18,1040.63,1040.63,1040.59,1040.59,11107,0
2025-12-19,1040.99,1041.03,1040.99,1041.02,2833,0
2025-12-22,1041.11,1041.15,1041.11,1041.14,18340,0
2025-12-23,1009.91,1041.29,1009.91,1041.25,10239,0
2025-12-24,1041.52,1041.56,1041.52,1041.55,8059,0
