date,open,high,low,close,volume,oi
2025-04-23,20.22,20.5,19.99,20.34,465561,0
2025-04-24,20.51,20.52,20.12,20.35,242233,0
2025-04-25,20.48,20.48,19.68,19.9,788869,0
2025-04-28,19.99,20.18,19.6,20.07,403983,0
2025-04-29,20.3,20.3,19.95,20.1,234140,0
2025-04-30,20.2,20.24,19.87,20.02,299253,0
2025-05-02,20.19,20.2,19.84,19.93,296115,0
2025-05-05,19.81,20.3,19.78,20.13,399406,0
2025-05-06,20.14,20.25,19.71,19.78,356303,0
2025-05-07,19.95,20.13,19.21,20.05,345157,0
2025-05-08,20.35,20.35,19.65,19.76,267353,0
2025-05-09,19.41,20.2,18.91,19.71,790789,0
2025-05-12,20.15,20.55,19.92,20.44,417218,0
2025-05-13,20.51,20.66,20.35,20.55,284563,0
2025-05-14,20.65,20.8,20.54,20.72,248121,0
2025-05-15,21.09,21.09,20.72,20.9,363695,0
2025-05-16,21.0,21.23,20.81,21.12,473076,0
2025-05-19,21.14,21.28,20.9,21.13,460273,0
2025-05-20,21.44,21.44,20.75,20.83,507929,0
2025-05-21,20.85,21.05,20.7,21.01,347367,0
2025-05-22,21.01,21.19,20.71,20.9,391125,0
2025-05-23,21.2,21.2,20.78,21.03,190603,0
2025-05-26,21.13,21.24,20.98,21.18,382319,0
2025-05-27,20.8,21.29,20.8,21.19,306105,0
2025-05-28,21.3,21.43,21.14,21.19,168100,0
2025-05-29,21.83,21.83,21.0,21.27,146348,0
2025-05-30,21.46,21.46,21.21,21.28,509176,0
2025-06-02,21.28,21.49,21.15,21.36,321115,0
2025-06-03,20.82,21.88,20.82,21.35,731498,0
2025-06-04,20.81,21.58,20.81,21.43,289280,0
2025-06-05,21.96,21.96,21.38,21.54,317829,0
2025-06-06,21.0,21.85,21.0,21.82,475598,0
2025-06-09,22.36,22.36,21.7,22.05,433773,0
2025-06-10,21.49,22.44,21.49,22.05,489561,0
2025-06-11,22.27,22.27,21.89,21.99,493431,0
2025-06-12,22.53,22.53,21.67,21.71,421996,0
2025-06-13,22.25,22.25,21.05,21.58,497953,0
2025-06-16,20.97,21.87,20.97,21.73,297719,0
2025-06-17,22.38,22.38,21.21,21.6,227180,0
2025-06-18,21.41,21.9,21.41,21.54,221659,0
2025-06-19,22.07,22.07,21.12,21.24,388317,0
2025-06-20,21.77,21.77,21.11,21.44,259069,0
2025-06-23,21.75,21.75,21.1,21.55,348076,0
2025-06-24,22.08,22.08,21.6,21.71,391999,0
2025-06-25,22.25,22.25,21.16,21.82,287088,0
2025-06-26,22.36,22.36,21.7,21.9,240689,0
2025-06-27,21.71,22.28,21.71,22.03,512855,0
2025-06-30,22.58,22.58,21.71,22.1,491448,0
2025-07-01,22.65,22.65,22.0,22.09,282665,0
2025-07-02,22.45,22.45,22.01,22.11,376598,0
2025-07-03,22.66,22.66,22.07,22.18,270781,0
2025-07-04,21.62,22.3,21.62,22.19,262326,0
2025-07-07,22.74,22.74,21.99,22.12,219735,0
2025-07-08,22.14,22.15,21.9,22.06,521790,0
2025-07-09,21.84,22.25,21.84,22.05,155905,0
2025-07-10,21.49,22.71,21.07,21.98,227952,0
2025-07-11,22.06,22.14,21.76,21.84,256737,0
2025-07-14,21.61,22.09,21.61,21.94,206477,0
2025-07-15,21.81,22.16,21.81,22.11,376841,0
2025-07-16,22.01,22.3,22.01,22.17,305396,0
2025-07-17,22.06,22.4,22.06,22.21,158720,0
2025-07-18,22.76,22.76,22.0,22.05,343506,0
2025-07-21,21.49,22.3,21.49,22.17,263502,0
2025-07-22,22.32,22.32,22.01,22.06,277429,0
2025-07-23,22.29,22.3,22.0,22.12,148537,0
2025-07-24,22.67,22.67,21.94,22.01,220016,0
2025-07-25,22.56,22.56,21.7,21.78,405064,0
2025-07-28,22.32,22.32,21.4,21.51,471559,0
2025-07-29,21.52,22.05,21.43,21.71,190046,0
2025-07-30,21.16,21.99,21.16,21.72,177200,0
2025-07-31,21.17,22.1,21.17,21.59,347283,0
2025-08-01,22.12,22.12,21.25,21.31,303414,0
2025-08-04,20.77,21.57,20.77,21.47,386631,0
2025-08-05,20.93,21.68,20.93,21.51,112088,0
2025-08-06,22.04,22.04,21.2,21.3,200769,0
2025-08-07,21.31,21.56,21.01,21.32,297523,0
2025-08-08,20.78,21.54,20.78,21.11,436991,0
2025-08-11,21.39,21.39,20.81,21.14,621677,0
2025-08-12,20.61,21.45,20.61,21.13,210366,0
2025-08-13,21.32,21.35,21.2,21.29,169403,0
2025-08-14,21.39,21.44,21.15,21.24,133778,0
2025-08-18,21.88,21.88,21.31,21.51,220491,0
2025-08-19,21.56,21.8,21.42,21.71,135867,0
2025-08-20,21.71,21.93,21.48,21.8,118730,0
2025-08-21,21.8,22.34,21.68,21.74,258666,0
