date,open,high,low,close,volume,oi
2025-04-23,29.12,29.61,29.02,29.51,260668,0
2025-04-24,29.63,29.68,29.03,29.52,138312,0
2025-04-25,29.9,29.9,28.78,29.06,521780,0
2025-04-28,29.2,29.45,28.35,29.42,436506,0
2025-04-29,29.87,29.87,28.41,29.59,591697,0
2025-04-30,29.49,29.75,29.04,29.38,359792,0
2025-05-02,29.5,29.84,29.16,29.44,383005,0
2025-05-05,29.01,29.96,29.01,29.78,350177,0
2025-05-06,30.26,30.26,29.31,29.37,271308,0
2025-05-07,29.4,29.76,28.3,29.69,135819,0
2025-05-08,29.99,29.99,29.02,29.28,207107,0
2025-05-09,29.06,29.23,28.52,29.09,362624,0
2025-05-12,29.45,30.42,29.45,30.29,386470,0
2025-05-13,30.48,30.5,30.12,30.26,300540,0
2025-05-14,30.13,30.6,30.13,30.55,314503,0
2025-05-15,30.74,30.94,30.31,30.87,250065,0
2025-05-16,31.03,31.24,30.7,30.95,482907,0
2025-05-19,31.19,31.19,30.6,30.87,349014,0
2025-05-20,31.19,31.2,30.4,30.44,318241,0
2025-05-21,30.44,30.77,30.27,30.71,150456,0
2025-05-22,30.79,30.79,30.31,30.44,380945,0
2025-05-23,30.54,30.71,30.24,30.59,8263646,0
2025-05-26,30.79,30.95,30.59,30.84,325358,0
2025-05-27,31.19,31.19,30.6,30.69,272900,0
2025-05-28,30.94,30.94,29.83,30.23,286421,0
2025-05-29,30.49,30.89,30.29,30.83,368718,0
2025-05-30,30.83,30.94,30.33,30.58,234671,0
2025-06-02,30.76,30.9,30.47,30.82,291342,0
2025-06-03,30.99,31.04,30.62,30.71,307992,0
2025-06-04,30.93,31.18,30.62,30.97,145300,0
2025-06-05,31.74,31.74,31.0,31.34,315768,0
2025-06-06,31.49,31.67,31.19,31.57,215181,0
2025-06-09,31.75,31.97,31.43,31.82,310865,0
2025-06-10,31.9,32.1,31.81,31.87,413737,0
2025-06-11,32.05,32.05,31.71,31.92,415284,0
2025-06-12,32.04,32.1,31.34,31.44,334155,0
2025-06-13,31.3,31.58,30.98,31.35,296102,0
2025-06-16,30.56,31.88,30.56,31.49,215640,0
2025-06-17,32.43,32.43,31.42,31.56,337760,0
2025-06-18,31.65,31.7,31.38,31.5,157907,0
2025-06-19,32.09,32.09,31.18,31.29,161027,0
2025-06-20,31.43,31.92,31.22,31.68,221445,0
2025-06-23,30.88,31.89,30.88,31.73,243529,0
2025-06-24,31.52,32.1,31.52,31.8,380912,0
2025-06-25,32.67,32.67,31.74,31.95,295158,0
2025-06-26,31.15,32.44,31.15,32.11,365326,0
2025-06-27,32.36,32.46,32.04,32.12,359104,0
2025-06-30,32.92,32.92,32.0,32.15,253020,0
2025-07-01,33.11,33.11,32.02,32.18,255285,0
2025-07-02,32.17,32.54,31.83,31.98,229828,0
2025-07-03,32.28,32.28,31.76,31.8,243983,0
2025-07-04,31.15,31.98,31.0,31.73,206567,0
2025-07-07,32.68,32.68,31.0,31.66,296334,0
2025-07-08,31.89,31.89,31.51,31.68,117714,0
2025-07-09,31.68,31.84,31.62,31.67,69649,0
2025-07-10,32.46,32.46,31.43,31.49,167682,0
2025-07-11,32.27,32.27,31.16,31.21,200172,0
2025-07-14,31.21,31.47,30.84,31.21,251315,0
2025-07-15,31.99,31.99,31.21,31.4,184363,0
2025-07-16,30.61,31.74,30.61,31.42,154226,0
2025-07-17,31.74,31.74,31.14,31.17,226470,0
2025-07-18,31.18,31.48,30.82,30.98,258808,0
2025-07-21,30.71,31.43,30.71,31.2,149796,0
2025-07-22,31.98,31.98,31.14,31.26,84014,0
2025-07-23,31.44,31.52,30.73,31.38,470174,0
2025-07-24,31.16,31.45,30.5,31.11,557999,0
