date,open,high,low,close,volume,oi
2025-04-23,57.37,57.37,56.23,56.47,45792,0
2025-04-24,56.47,56.6,55.78,56.24,232074,0
2025-04-25,56.74,56.74,55.12,55.66,948477,0
2025-04-28,55.66,56.55,55.12,56.5,807320,0
2025-04-29,56.94,56.97,55.63,56.33,100394,0
2025-04-30,55.64,56.41,55.63,55.95,105637,0
2025-05-02,55.24,56.72,55.24,56.03,43494,0
2025-05-05,56.72,56.72,55.59,55.9,1929819,0
2025-05-06,56.58,56.58,55.11,55.16,313118,0
2025-05-07,55.15,55.71,54.23,55.51,374390,0
2025-05-08,55.52,56.19,55.04,55.07,84170,0
2025-05-09,54.89,55.01,54.41,54.5,892342,0
2025-05-12,55.6,56.49,55.37,56.37,838505,0
2025-05-13,56.78,56.78,55.68,56.01,60529,0
2025-05-14,56.54,56.54,55.52,55.85,144141,0
2025-05-15,56.49,56.63,55.39,56.41,215785,0
2025-05-16,56.94,56.94,56.11,56.39,1387076,0
2025-05-19,56.39,56.85,56.24,56.55,129473,0
2025-05-20,56.05,56.67,55.91,56.0,18631,0
2025-05-21,56.49,56.49,55.77,56.1,46714,0
2025-05-22,56.58,56.58,55.62,56.03,88800,0
2025-05-23,56.4,56.49,55.82,56.42,89024,0
2025-05-26,56.7,56.97,55.86,56.66,47250,0
2025-05-27,56.98,56.98,56.14,56.42,24180,0
2025-05-28,55.81,56.68,55.81,56.44,163958,0
2025-05-29,56.01,56.83,56.01,56.63,217836,0
2025-05-30,56.63,56.99,56.22,56.85,43379,0
2025-06-02,57.29,57.29,56.5,57.01,15861,0
2025-06-03,57.29,57.31,56.31,56.78,61466,0
2025-06-04,57.06,57.06,56.51,56.82,27319,0
2025-06-05,56.82,57.11,56.62,56.83,20013,0
2025-06-06,57.3,57.87,56.75,57.77,805496,0
2025-06-09,56.32,58.38,56.32,58.06,61046,0
2025-06-10,58.49,58.49,57.67,57.75,31734,0
2025-06-11,57.95,58.03,57.51,57.64,1029173,0
2025-06-12,57.56,57.97,57.1,57.13,51168,0
2025-06-13,56.04,57.18,56.04,56.6,40485,0
2025-06-16,56.6,57.14,56.41,57.0,46037,0
2025-06-17,58.42,58.42,56.68,56.76,39192,0
2025-06-18,56.75,57.08,56.57,56.86,80810,0
2025-06-19,57.14,57.14,56.54,56.62,29428,0
2025-06-20,56.97,57.44,56.06,57.3,23574,0
2025-06-23,57.58,57.58,56.83,57.13,48159,0
2025-06-24,58.55,58.55,57.13,57.59,33487,0
2025-06-25,59.02,59.02,57.51,57.63,283660,0
2025-06-26,57.82,58.5,57.63,58.37,3854882,0
2025-06-27,58.37,58.9,58.3,58.85,142208,0
2025-06-30,59.14,59.18,58.54,58.59,38956,0
2025-07-01,59.09,59.09,58.43,58.66,888525,0
2025-07-02,58.69,58.96,58.1,58.23,580423,0
2025-07-03,58.53,58.77,57.97,58.04,2839615,0
2025-07-04,59.49,59.49,54.45,58.27,74209,0
2025-07-07,58.0,58.43,57.8,58.19,37105,0
2025-07-08,58.44,58.56,57.9,58.47,63400,0
2025-07-09,58.89,58.89,58.31,58.44,19861,0
2025-07-10,58.88,58.89,58.23,58.39,124668,0
2025-07-11,58.39,58.5,57.91,58.17,17693,0
2025-07-14,58.5,58.71,57.85,58.09,100870,0
2025-07-15,58.09,58.56,58.05,58.35,1335182,0
2025-07-16,58.64,58.64,58.25,58.45,248736,0
