date,open,high,low,close,volume,oi
2025-04-23,36.03,37.15,36.03,36.81,150693,0
2025-04-24,37.0,37.54,36.44,36.64,82541,0
2025-04-25,36.85,37.55,36.46,36.92,82556,0
2025-04-28,36.92,37.1,36.2,36.87,80106,0
2025-04-29,37.59,37.59,36.28,37.23,89831,0
2025-04-30,37.42,37.58,36.92,37.08,90680,0
2025-05-02,37.28,37.7,37.01,37.36,36465,0
2025-05-05,37.54,37.7,37.3,37.31,22509,0
2025-05-06,37.88,37.88,37.12,37.15,53151,0
2025-05-07,37.0,37.38,36.51,37.21,24233,0
2025-05-08,37.47,37.66,37.25,37.31,19532,0
2025-05-09,37.7,37.7,36.73,37.22,35810,0
2025-05-12,38.34,39.87,37.74,39.75,148592,0
2025-05-13,39.47,40.18,38.83,38.88,72589,0
2025-05-14,39.01,39.64,39.01,39.33,44277,0
2025-05-15,39.33,39.89,38.95,39.76,49055,0
2025-05-16,40.0,40.64,39.0,39.5,118511,0
2025-05-19,39.69,39.76,38.82,38.98,45360,0
2025-05-20,38.99,39.49,38.74,38.84,18360,0
2025-05-21,38.84,39.11,38.6,39.0,16975,0
2025-05-22,39.08,39.08,38.35,38.54,41434,0
2025-05-23,38.96,39.29,38.62,38.94,51025,0
2025-05-26,39.13,39.42,38.87,39.25,21026,0
2025-05-27,39.49,39.5,38.66,39.17,16383,0
2025-05-28,39.36,39.6,38.9,39.0,18306,0
2025-05-29,39.19,39.68,39.03,39.29,52373,0
2025-05-30,39.29,39.29,38.9,39.08,29867,0
2025-06-02,39.08,39.34,38.3,38.74,32300,0
2025-06-03,38.74,39.23,38.29,38.46,26203,0
2025-06-04,38.55,38.81,38.0,38.61,34189,0
2025-06-05,38.77,39.12,38.18,38.73,31876,0
2025-06-06,38.73,39.12,38.58,38.99,18974,0
2025-06-09,38.2,39.67,38.2,39.32,57102,0
2025-06-10,39.47,40.37,39.47,39.96,99001,0
2025-06-11,39.99,40.64,39.89,40.52,46595,0
2025-06-12,40.72,40.72,39.97,40.21,79385,0
2025-06-13,39.63,40.5,39.51,40.22,49145,0
2025-06-16,40.67,40.92,40.06,40.72,25436,0
2025-06-17,40.91,42.7,40.7,41.28,39496,0
2025-06-18,41.41,41.41,40.67,40.84,49796,0
2025-06-19,40.84,40.84,40.11,40.3,46344,0
2025-06-20,40.64,40.75,40.16,40.71,20508,0
2025-06-23,40.7,40.71,39.63,40.12,77352,0
2025-06-24,40.45,40.67,40.02,40.08,50566,0
2025-06-25,40.4,40.93,40.4,40.7,22753,0
2025-06-26,40.84,40.9,40.11,40.81,55230,0
2025-06-27,40.51,41.5,40.48,40.66,53536,0
2025-06-30,40.66,41.38,40.03,40.76,33839,0
2025-07-01,39.74,41.28,39.74,40.59,42343,0
2025-07-02,40.91,41.22,40.45,40.57,20959,0
2025-07-03,40.69,40.8,40.46,40.54,17051,0
