date,open,high,low,close,volume,oi
2025-04-23,89.2,89.47,88.51,89.07,59874,0
2025-04-24,89.07,89.48,88.65,88.89,22456,0
2025-04-25,89.33,89.33,87.1,88.44,100880,0
2025-04-28,88.88,89.4,88.0,89.22,23305,0
2025-04-29,89.78,89.89,89.02,89.23,70112,0
2025-04-30,89.26,89.95,89.1,89.61,48924,0
2025-05-02,90.4,90.46,88.8,89.55,30024,0
2025-05-05,89.11,90.37,89.11,89.92,30617,0
2025-05-06,89.92,90.0,89.55,89.82,41365,0
2025-05-07,89.55,90.0,88.2,89.81,85795,0
2025-05-08,90.25,90.39,89.04,89.58,16803,0
2025-05-09,89.46,89.48,88.21,88.64,43003,0
2025-05-12,90.11,91.75,90.11,91.62,98836,0
2025-05-13,91.99,91.99,90.5,90.72,41362,0
2025-05-14,90.79,91.95,90.15,90.65,70639,0
2025-05-15,90.91,92.05,90.01,91.86,29489,0
2025-05-16,91.4,92.57,91.4,91.8,36054,0
2025-05-19,92.46,92.47,91.3,91.75,75112,0
2025-05-20,91.75,92.2,90.51,90.75,29851,0
2025-05-21,90.56,91.62,90.56,91.22,9715,0
2025-05-22,90.81,90.99,90.01,90.25,39588,0
2025-05-23,90.24,91.5,90.24,91.17,14662,0
2025-05-26,91.79,91.96,91.01,91.62,39432,0
2025-05-27,91.63,92.5,90.66,91.13,53016,0
2025-05-28,91.89,91.89,90.61,91.0,17793,0
2025-05-29,91.01,91.86,90.51,91.16,25777,0
2025-05-30,91.48,91.48,90.72,91.26,13555,0
2025-06-02,91.26,91.26,90.3,90.75,39641,0
2025-06-03,91.2,91.48,90.22,90.52,29517,0
2025-06-04,90.53,91.19,90.26,90.65,20538,0
2025-06-05,91.0,91.57,90.66,91.31,13385,0
2025-06-06,91.49,91.96,90.82,91.85,31746,0
2025-06-09,94.14,94.14,91.63,92.28,29161,0
2025-06-10,92.49,92.98,91.34,92.24,49218,0
2025-06-11,92.68,92.68,92.0,92.17,20297,0
2025-06-12,92.59,92.65,91.44,91.64,30074,0
2025-06-13,91.59,91.67,90.0,90.83,90122,0
2025-06-16,90.82,92.7,90.51,91.67,22052,0
2025-06-17,91.67,91.76,91.06,91.35,15416,0
2025-06-18,91.69,91.7,90.8,90.98,17959,0
2025-06-19,91.58,91.58,90.85,91.06,25421,0
2025-06-20,90.32,92.25,90.32,92.08,17155,0
2025-06-23,91.5,92.37,91.07,91.73,35358,0
2025-06-24,91.76,92.88,91.71,91.87,45897,0
