date,open,high,low,close,volume,oi
2025-04-23,159.21,160.51,157.28,159.72,1028520,0
2025-04-24,159.72,160.4,156.0,159.11,901732,0
2025-04-25,161.63,161.63,154.0,155.79,1420839,0
2025-04-28,157.89,157.89,154.2,156.77,697898,0
2025-04-29,155.2,158.75,152.07,157.17,655128,0
2025-04-30,158.78,158.78,153.78,154.37,784687,0
2025-05-02,155.88,155.9,153.0,154.47,794200,0
2025-05-05,156.8,156.8,154.0,156.16,636879,0
2025-05-06,158.1,160.0,152.48,152.68,950574,0
2025-05-07,153.5,154.66,147.0,154.1,959679,0
2025-05-08,154.21,156.0,151.24,152.12,2264614,0
2025-05-09,151.0,153.0,148.71,151.62,2178964,0
2025-05-12,155.99,158.0,154.39,157.68,1330401,0
2025-05-13,158.85,158.89,157.06,158.49,1254055,0
2025-05-14,159.34,161.38,158.6,161.04,826733,0
2025-05-15,161.22,162.5,161.04,162.36,975901,0
2025-05-16,164.99,164.99,162.04,164.54,1196487,0
2025-05-19,165.95,167.0,164.5,165.86,983552,0
2025-05-20,165.86,167.09,163.7,164.14,1684033,0
2025-05-21,164.2,165.68,163.44,165.02,652288,0
2025-05-22,166.3,166.3,163.72,164.83,750567,0
2025-05-23,165.26,166.31,164.0,166.17,599460,0
2025-05-26,166.9,168.25,166.18,167.11,796100,0
2025-05-27,168.5,168.5,166.55,167.44,1524952,0
2025-05-28,167.45,168.43,167.36,168.05,573623,0
2025-05-29,169.33,169.49,168.0,168.53,445640,0
2025-05-30,170.4,170.4,168.0,168.99,868024,0
2025-06-02,170.66,170.66,168.0,170.37,827232,0
2025-06-03,174.0,174.0,169.95,170.73,826404,0
2025-06-04,171.19,171.81,169.65,171.6,694470,0
2025-06-05,173.5,173.5,171.2,172.63,723597,0
2025-06-06,177.81,177.81,172.6,173.37,900359,0
2025-06-09,169.03,175.98,169.03,175.72,754968,0
2025-06-10,176.0,177.42,175.3,176.4,850599,0
2025-06-11,176.41,177.48,174.34,176.05,1067836,0
