date,open,high,low,close,volume,oi
2025-04-23,131.05,131.69,130.76,131.58,4130,0
2025-04-24,132.9,132.9,130.91,131.62,22394,0
2025-04-25,131.5,131.5,129.77,130.34,4164,0
2025-04-28,130.34,132.1,128.03,131.48,14476,0
2025-04-29,130.83,132.31,130.83,131.6,1605,0
2025-04-30,131.6,131.96,130.92,131.12,2254,0
2025-05-02,132.01,132.49,130.59,131.31,23430,0
2025-05-05,131.31,132.3,128.73,131.63,47040,0
2025-05-06,130.78,132.1,130.78,130.96,3949,0
2025-05-07,131.0,131.71,130.41,131.32,26351,0
2025-05-08,131.07,131.99,130.47,130.6,9023,0
2025-05-09,130.41,130.95,127.71,129.78,3837,0
2025-05-12,130.1,135.76,130.1,134.81,16113,0
2025-05-13,134.1,135.08,132.87,132.99,5597,0
2025-05-14,134.0,134.3,132.87,133.6,26116,0
2025-05-15,133.6,136.0,132.87,135.95,16125,0
2025-05-16,136.07,138.68,134.2,135.26,30648,0
2025-05-19,135.85,135.89,133.12,134.75,11312,0
2025-05-20,135.42,135.89,134.0,134.22,7909,0
2025-05-21,133.82,135.0,133.31,134.24,36068,0
2025-05-22,134.25,134.25,132.01,133.19,11632,0
2025-05-23,134.34,135.16,133.7,134.0,3548,0
2025-05-26,136.68,136.9,132.51,135.39,6559,0
2025-05-27,135.39,135.45,133.7,134.17,11463,0
2025-05-28,134.17,135.49,133.57,133.74,14089,0
2025-05-29,134.12,134.84,133.53,134.15,1998,0
2025-05-30,136.83,136.83,133.5,133.79,2121,0
2025-06-02,136.31,136.31,132.29,133.21,17767,0
2025-06-03,135.87,135.87,132.0,132.52,4064,0
2025-06-04,133.18,133.5,132.16,132.5,1479,0
2025-06-05,134.95,134.95,131.04,133.29,3041,0
2025-06-06,133.29,134.47,132.61,134.11,3263,0
2025-06-09,133.44,135.0,131.85,134.71,5260,0
2025-06-10,135.5,136.0,134.72,135.78,4440,0
2025-06-11,135.78,136.85,135.37,136.33,6019,0
2025-06-12,137.85,137.85,134.75,135.08,5119,0
2025-06-13,134.9,136.85,133.23,133.98,9596,0
2025-06-16,134.64,136.31,133.98,135.16,9560,0
2025-06-17,135.2,135.51,134.65,135.28,22172,0
2025-06-18,135.28,135.79,134.0,134.46,1929,0
2025-06-19,132.06,134.49,132.06,134.11,3431,0
