date,open,high,low,close,volume,oi
2025-04-23,142.36,144.02,141.91,143.67,92854,0
2025-04-24,143.0,145.26,143.0,144.23,72637,0
2025-04-25,144.23,146.82,140.0,140.78,528442,0
2025-04-28,143.75,144.2,139.86,143.89,78382,0
2025-04-29,143.89,144.81,142.29,142.89,67951,0
2025-04-30,142.89,144.58,142.79,143.45,74363,0
2025-05-02,143.01,144.49,141.79,142.64,99328,0
2025-05-05,142.64,144.0,142.57,143.89,107316,0
2025-05-06,143.89,143.89,141.8,143.04,37760,0
2025-05-07,142.0,143.03,141.3,142.12,72554,0
2025-05-08,142.12,142.83,139.35,139.84,62510,0
2025-05-09,140.54,140.54,137.56,139.69,65160,0
2025-05-12,139.69,141.02,137.06,140.62,181905,0
2025-05-13,142.49,143.0,140.72,141.67,899906,0
2025-05-14,141.66,142.7,140.6,142.3,63133,0
2025-05-15,142.3,144.23,141.85,143.9,50976,0
2025-05-16,146.27,146.27,142.67,143.8,108510,0
2025-05-19,148.11,148.11,143.8,144.44,115152,0
2025-05-20,144.44,144.71,141.96,142.25,130628,0
2025-05-21,142.25,144.56,142.25,143.26,124718,0
2025-05-22,143.25,143.25,141.76,142.78,58028,0
2025-05-23,142.78,143.3,140.75,142.81,100842,0
2025-05-26,142.64,143.78,142.64,143.12,93852,0
2025-05-27,143.12,144.08,142.44,143.06,87213,0
2025-05-28,143.06,143.77,141.8,142.11,136840,0
2025-05-29,142.82,142.9,141.57,142.67,47550,0
2025-05-30,142.67,143.64,141.5,142.04,82823,0
2025-06-02,142.01,142.45,141.1,141.93,62421,0
2025-06-03,141.93,144.06,140.8,141.47,56333,0
2025-06-04,141.4,142.03,141.05,141.85,33394,0
2025-06-05,146.11,146.11,141.85,143.41,100793,0
2025-06-06,143.41,144.14,142.57,144.08,44145,0
2025-06-09,147.68,147.68,143.79,144.76,154921,0
2025-06-10,144.76,145.86,144.6,145.32,86248,0
2025-06-11,145.32,146.22,145.13,145.76,97828,0
2025-06-12,145.87,147.77,145.36,145.88,112146,0
2025-06-13,145.88,146.41,144.36,146.1,63084,0
2025-06-16,146.83,150.28,144.95,146.98,87877,0
2025-06-17,146.98,146.98,143.76,144.39,110948,0
2025-06-18,147.27,147.27,143.26,143.54,51515,0
2025-06-19,143.54,144.99,142.0,142.33,72346,0
2025-06-20,142.33,144.0,142.33,143.64,34306,0
2025-06-23,143.62,144.0,142.39,143.45,850379,0
2025-06-24,143.45,144.86,143.44,143.8,69300,0
2025-06-25,143.79,145.33,143.79,145.05,93737,0
2025-06-26,142.98,146.14,140.71,145.57,132356,0
2025-06-27,145.99,148.49,145.82,146.84,83045,0
2025-06-30,146.84,148.0,146.51,147.43,63150,0
2025-07-01,148.49,148.69,146.8,147.72,67163,0
2025-07-02,151.41,151.41,146.87,148.15,82174,0
2025-07-03,148.89,149.25,148.3,148.91,46424,0
2025-07-04,153.38,153.38,148.76,150.46,157825,0
2025-07-07,154.22,154.22,149.48,150.18,114594,0
2025-07-08,150.18,150.81,147.86,148.93,64206,0
2025-07-09,148.84,149.54,148.36,148.65,63152,0
2025-07-10,148.58,148.65,147.2,147.94,47339,0
2025-07-11,147.94,149.93,147.37,147.99,57273,0
2025-07-14,147.98,150.7,146.92,149.5,104478,0
2025-07-15,147.62,153.99,147.62,151.34,75194,0
2025-07-16,151.26,152.14,150.1,150.36,29024,0
2025-07-17,150.49,151.58,150.36,150.7,31949,0
2025-07-18,152.67,152.67,149.28,150.09,45262,0
2025-07-21,150.48,150.48,148.88,149.78,33680,0
2025-07-22,151.8,151.8,147.98,148.33,96885,0
2025-07-23,148.33,149.75,148.04,149.47,47039,0
2025-07-24,150.68,150.99,149.36,150.38,65199,0
2025-07-25,149.82,152.07,149.82,151.68,66074,0
2025-07-28,151.68,152.91,151.21,152.04,66946,0
2025-07-29,155.84,155.84,148.23,153.76,72107,0
2025-07-30,153.88,154.45,153.11,153.87,69040,0
2025-07-31,153.48,153.49,150.62,152.02,196227,0
