date,open,high,low,close,volume,oi
2025-04-23,14.53,14.53,14.11,14.44,136138,0
2025-04-24,14.41,14.74,14.38,14.5,160321,0
2025-04-25,14.5,14.7,14.03,14.15,257986,0
2025-04-28,14.49,14.49,14.0,14.42,335149,0
2025-04-29,14.79,14.8,14.25,14.33,126262,0
2025-04-30,14.6,14.6,14.3,14.34,228799,0
2025-05-02,14.63,14.63,14.21,14.29,146306,0
2025-05-05,14.5,14.5,14.25,14.39,108707,0
2025-05-06,14.82,14.82,14.2,14.32,164384,0
2025-05-07,14.24,14.32,14.02,14.25,131069,0
2025-05-08,14.49,14.49,13.99,14.01,160635,0
2025-05-09,13.99,14.05,13.17,14.0,166628,0
2025-05-12,14.05,14.35,13.78,14.1,416793,0
2025-05-13,14.35,14.35,14.15,14.24,208228,0
2025-05-14,14.24,14.45,14.0,14.28,204430,0
2025-05-15,14.28,14.49,14.16,14.4,140462,0
2025-05-16,14.48,14.5,14.21,14.42,230688,0
2025-05-19,14.5,14.65,14.26,14.45,298874,0
2025-05-20,14.52,14.68,14.25,14.28,330510,0
2025-05-21,14.29,14.55,14.28,14.37,279833,0
2025-05-22,14.49,14.49,14.25,14.32,123773,0
2025-05-23,14.49,14.49,14.21,14.32,261873,0
2025-05-26,14.39,14.47,14.31,14.36,153478,0
2025-05-27,14.49,14.49,14.3,14.35,103020,0
2025-05-28,14.44,14.45,14.23,14.27,192193,0
2025-05-29,14.44,14.44,14.22,14.28,301717,0
2025-05-30,14.33,14.33,14.2,14.22,200793,0
2025-06-02,14.28,14.3,14.15,14.24,143914,0
2025-06-03,14.59,14.59,13.88,14.18,173737,0
2025-06-04,13.82,14.28,13.82,14.21,120680,0
2025-06-05,14.56,14.56,14.02,14.35,178453,0
2025-06-06,13.99,14.5,13.99,14.3,374043,0
2025-06-09,13.94,15.11,13.94,14.52,270623,0
2025-06-10,14.53,14.84,14.41,14.57,205172,0
2025-06-11,14.2,14.68,14.2,14.62,173142,0
2025-06-12,14.98,14.98,14.57,14.66,423102,0
2025-06-13,14.29,14.84,14.29,14.62,164974,0
2025-06-16,14.25,14.98,14.25,14.69,159259,0
2025-06-17,15.05,15.05,14.32,14.46,218215,0
2025-06-18,14.49,14.73,14.34,14.36,125755,0
2025-06-19,14.35,14.6,14.28,14.3,102065,0
2025-06-20,14.23,14.45,14.2,14.41,100091,0
2025-06-23,14.04,14.8,14.04,14.42,112006,0
2025-06-24,14.05,15.04,14.05,14.42,102179,0
2025-06-25,14.05,14.58,14.05,14.55,132939,0
2025-06-26,14.91,14.91,14.41,14.61,123600,0
2025-06-27,14.97,14.97,14.24,14.73,168983,0
2025-06-30,14.36,14.81,14.36,14.77,186960,0
2025-07-01,14.4,15.13,14.4,14.79,201617,0
2025-07-02,14.42,14.97,14.42,14.85,185855,0
2025-07-03,14.47,15.22,14.47,14.93,262888,0
2025-07-04,14.55,15.05,14.55,15.03,214081,0
2025-07-07,14.65,15.1,14.65,15.03,204633,0
2025-07-08,15.4,15.4,14.71,14.93,239964,0
2025-07-09,14.55,15.99,14.55,14.92,94904,0
2025-07-10,14.86,15.1,14.72,14.81,148712,0
2025-07-11,14.43,15.0,14.43,14.8,127364,0
2025-07-14,15.17,15.17,14.73,14.97,179877,0
2025-07-15,15.34,15.34,14.85,15.12,173312,0
2025-07-16,15.49,16.25,14.99,15.08,113518,0
2025-07-17,14.7,15.2,14.7,15.13,139029,0
2025-07-18,15.13,15.2,14.99,15.0,123603,0
2025-07-21,14.98,15.15,14.92,15.02,173856,0
2025-07-22,14.67,15.25,14.67,14.9,144677,0
2025-07-23,14.88,15.3,14.88,14.99,79219,0
2025-07-24,15.44,15.44,14.96,15.08,173604,0
2025-07-25,14.95,15.2,14.95,15.16,228730,0
2025-07-28,14.78,15.35,14.78,15.24,224378,0
2025-07-29,14.85,15.45,14.85,15.41,249359,0
2025-07-30,15.79,15.79,15.31,15.39,221523,0
2025-07-31,15.34,15.39,15.01,15.26,395554,0
2025-08-01,15.4,15.4,14.85,14.88,301495,0
2025-08-04,14.87,15.19,14.5,14.93,141864,0
2025-08-05,15.3,15.33,14.78,14.83,122692,0
2025-08-06,14.99,14.99,14.6,14.63,387121,0
2025-08-07,14.53,14.8,14.5,14.71,325141,0
2025-08-08,14.79,14.79,14.5,14.55,121655,0
2025-08-11,14.55,14.9,14.5,14.73,126681,0
2025-08-12,14.36,15.27,14.36,14.95,145953,0
