date,open,high,low,close,volume,oi
2025-04-23,1707.7,1726.4,1682.0,1721.4,2346661,0
2025-04-24,1722.0,1730.3,1713.0,1719.1,481511,0
2025-04-25,1719.0,1723.0,1655.9,1667.7,1690538,0
2025-04-28,1651.0,1667.7,1635.8,1661.3,397009,0
2025-04-29,1662.0,1690.0,1662.0,1676.6,597827,0
2025-04-30,1683.4,1715.4,1681.7,1707.6,1236921,0
2025-05-02,1703.5,1725.0,1690.0,1719.2,983753,0
2025-05-05,1719.0,1733.4,1710.1,1728.2,509733,0
2025-05-06,1728.0,1755.0,1711.4,1740.7,518493,0
2025-05-07,1700.0,1780.0,1700.0,1775.5,578328,0
2025-05-08,1762.0,1784.4,1720.5,1733.1,321599,0
2025-05-09,1697.5,1742.0,1690.0,1734.1,560109,0
2025-05-12,1750.4,1770.2,1742.3,1755.9,410715,0
2025-05-13,1770.0,1779.6,1751.1,1768.5,532232,0
2025-05-14,1772.0,1808.5,1771.1,1799.9,677698,0
2025-05-15,1799.1,1839.0,1792.0,1836.0,637712,0
2025-05-16,1839.9,1874.0,1806.7,1855.6,971924,0
2025-05-19,1865.0,1908.0,1830.0,1894.5,1240164,0
2025-05-20,1885.0,1902.7,1868.2,1883.3,556842,0
2025-05-21,1872.7,1916.9,1869.6,1910.0,613356,0
2025-05-22,1890.0,1906.1,1847.0,1854.3,985749,0
2025-05-23,1860.0,1888.8,1851.1,1882.1,685769,0
2025-05-26,1891.0,1912.5,1881.9,1889.3,888713,0
2025-05-27,1887.0,1891.2,1853.4,1883.2,740200,0
2025-05-28,1883.2,1902.0,1873.4,1883.0,553816,0
2025-05-29,1887.7,1899.9,1858.9,1870.3,836458,0
2025-05-30,1880.0,1888.1,1803.7,1847.2,2406721,0
2025-06-02,1847.2,1868.6,1832.7,1852.7,852214,0
2025-06-03,1859.8,1859.8,1820.0,1822.3,1203045,0
2025-06-04,1827.6,1846.6,1815.2,1829.4,1037176,0
2025-06-05,1828.0,1841.9,1807.1,1835.2,1578859,0
2025-06-06,1835.1,1866.6,1812.9,1861.1,614731,0
2025-06-09,1900.0,1984.8,1898.4,1952.2,2612912,0
2025-06-10,1950.0,1958.7,1928.6,1948.2,484124,0
2025-06-11,1943.0,1958.3,1930.0,1937.1,529537,0
2025-06-12,1940.9,1971.7,1940.0,1956.4,945269,0
2025-06-13,1915.1,1948.0,1912.2,1941.4,398072,0
2025-06-16,1951.9,1982.4,1927.0,1939.4,1061499,0
2025-06-17,1965.0,1971.0,1940.1,1945.6,1318784,0
2025-06-18,1940.0,1949.2,1920.5,1930.8,436280,0
2025-06-19,1924.0,1936.0,1895.0,1908.0,537242,0
