date,open,high,low,close,volume,oi
2025-04-23,602.05,609.75,590.55,607.0,2947373,0
2025-04-24,609.0,610.0,600.0,602.35,649984,0
2025-04-25,607.0,618.6,585.0,595.8,1861383,0
2025-04-28,590.25,607.0,590.25,602.6,730997,0
2025-04-29,607.0,609.1,599.2,605.25,1032408,0
2025-04-30,603.8,621.9,601.3,614.35,1238587,0
2025-05-02,615.0,619.65,606.25,608.95,587287,0
2025-05-05,609.1,613.8,605.6,612.2,437619,0
2025-05-06,612.2,616.7,590.2,592.65,451754,0
2025-05-07,583.2,597.25,583.2,592.0,548882,0
2025-05-08,594.4,595.75,578.6,582.4,601296,0
2025-05-09,571.0,582.85,570.95,581.2,517496,0
2025-05-12,592.8,605.15,591.1,604.0,517861,0
2025-05-13,607.9,610.45,602.0,603.65,400154,0
2025-05-14,605.2,609.8,602.0,608.25,476527,0
2025-05-15,607.0,614.8,597.45,613.0,754198,0
2025-05-16,615.0,617.9,609.8,615.6,403837,0
2025-05-19,615.6,627.85,613.2,623.45,673068,0
2025-05-20,624.1,627.1,610.7,613.0,619915,0
2025-05-21,613.0,621.0,610.05,618.15,423274,0
2025-05-22,618.0,626.5,614.0,619.75,655543,0
2025-05-23,621.0,643.95,619.8,642.2,1332437,0
2025-05-26,649.95,655.65,643.15,650.0,1743631,0
2025-05-27,648.2,654.9,643.85,652.35,474686,0
2025-05-28,654.05,661.7,650.2,658.0,853125,0
2025-05-29,661.3,676.65,661.3,668.45,2000745,0
2025-05-30,666.2,670.0,660.4,662.4,1957768,0
2025-06-02,665.6,673.9,659.6,664.15,978907,0
2025-06-03,661.2,666.4,637.75,640.9,1498807,0
2025-06-04,637.0,645.95,636.35,643.6,538752,0
2025-06-05,645.8,645.8,634.6,637.9,489984,0
2025-06-06,637.9,642.95,632.35,636.05,456497,0
2025-06-09,634.5,640.95,629.25,637.55,1269615,0
2025-06-10,638.9,643.0,628.7,637.55,1083060,0
2025-06-11,640.0,647.5,637.3,642.2,813324,0
2025-06-12,644.0,645.6,630.2,631.65,580998,0
2025-06-13,627.0,630.75,620.85,629.5,427999,0
2025-06-16,629.5,641.25,625.7,638.75,774695,0
2025-06-17,639.7,644.0,635.65,640.3,844307,0
2025-06-18,637.1,638.3,625.6,631.45,810195,0
2025-06-19,629.5,640.0,621.1,623.35,540121,0
2025-06-20,623.0,640.0,621.1,633.75,1535398,0
2025-06-23,631.0,634.45,627.0,628.35,1836782,0
2025-06-24,631.5,641.65,629.5,634.6,1111676,0
2025-06-25,635.0,640.4,630.2,634.65,1561644,0
2025-06-26,636.95,650.7,635.2,647.3,2816846,0
2025-06-27,649.05,650.35,641.5,647.85,1034094,0
2025-06-30,651.0,659.0,643.5,657.9,1858056,0
2025-07-01,659.2,664.95,657.9,660.75,1164854,0
2025-07-02,659.25,662.9,655.7,658.8,768602,0
2025-07-03,661.1,662.0,636.95,639.9,1167586,0
2025-07-04,645.45,659.4,645.45,650.95,2629729,0
2025-07-07,650.95,667.9,650.95,666.05,1032527,0
2025-07-08,668.0,669.0,659.0,664.55,895084,0
2025-07-09,663.0,683.4,661.0,680.35,2572195,0
2025-07-10,684.0,685.75,662.85,673.05,1376200,0
2025-07-11,675.0,678.0,658.55,660.7,698865,0
2025-07-14,658.1,674.0,654.75,672.5,967098,0
2025-07-15,672.5,693.5,660.0,669.6,3460481,0
2025-07-16,665.0,665.0,642.4,650.6,5298097,0
2025-07-17,652.0,653.95,641.2,642.9,3191101,0
2025-07-18,644.0,645.45,632.0,633.8,1142535,0
2025-07-21,629.95,642.9,628.85,634.9,1482517,0
2025-07-22,636.9,637.9,623.6,625.1,1458438,0
2025-07-23,628.4,632.2,625.2,628.9,618170,0
2025-07-24,628.9,633.0,622.2,622.85,746393,0
2025-07-25,621.0,622.5,615.0,618.7,546689,0
2025-07-28,618.7,624.7,613.25,614.7,421140,0
2025-07-29,614.7,620.35,612.5,616.4,632734,0
2025-07-30,619.8,622.7,613.6,619.15,579816,0
2025-07-31,617.85,618.15,609.6,615.95,453485,0
2025-08-01,616.2,616.4,599.0,601.05,597063,0
2025-08-04,602.0,612.85,600.35,611.5,452541,0
2025-08-05,609.05,615.8,604.05,614.75,404117,0
2025-08-06,614.7,621.0,608.45,619.4,2232551,0
2025-08-07,618.0,620.35,597.0,618.7,494731,0
2025-08-08,616.1,624.2,608.05,610.05,396975,0
2025-08-11,611.05,611.5,602.3,609.65,661745,0
2025-08-12,609.75,619.95,608.0,616.8,465659,0
2025-08-13,618.25,629.3,617.15,621.3,1318633,0
2025-08-14,620.6,630.95,619.95,626.6,1392104,0
2025-08-18,642.0,655.9,633.0,636.4,2335275,0
2025-08-19,639.0,639.0,629.0,633.45,425554,0
2025-08-20,636.9,636.9,630.75,632.05,408873,0
2025-08-21,639.0,641.9,627.0,629.2,1285595,0
2025-08-22,629.2,632.45,622.25,626.05,390505,0
2025-08-25,626.05,630.75,623.35,629.65,950429,0
2025-08-26,626.0,627.9,613.9,616.3,1412371,0
2025-08-28,616.3,623.9,607.3,609.55,996116,0
2025-08-29,612.0,612.0,598.5,599.85,597806,0
2025-09-01,601.95,609.95,599.4,608.8,607747,0
2025-09-02,610.05,616.15,605.9,610.65,1108101,0
2025-09-03,611.0,611.95,604.25,609.35,441785,0
2025-09-04,640.0,640.0,598.5,599.8,3082959,0
2025-09-05,604.75,610.0,592.35,596.75,649016,0
2025-09-08,598.9,599.15,587.05,593.15,625989,0
2025-09-09,594.95,599.25,590.65,598.15,493567,0
2025-09-10,601.0,605.8,597.85,602.25,531014,0
2025-09-11,603.55,606.95,596.95,598.45,1062511,0
2025-09-12,602.95,603.65,595.75,600.8,2142200,0
2025-09-15,600.8,606.85,599.45,605.2,356585,0
2025-09-16,604.95,605.0,600.6,603.7,579616,0
2025-09-17,605.15,606.0,598.05,600.1,897726,0
2025-09-18,601.0,609.75,600.75,605.0,577642,0
2025-09-19,607.8,609.45,601.15,602.55,1210911,0
2025-09-22,604.85,615.3,603.05,609.5,786924,0
2025-09-23,609.5,610.3,599.4,600.85,420953,0
2025-09-24,600.85,602.6,594.15,596.65,775181,0
2025-09-25,596.65,598.95,592.8,595.0,902584,0
2025-09-26,593.8,595.7,582.1,585.5,792307,0
2025-09-29,586.05,599.8,584.4,589.15,9274876,0
2025-09-30,592.0,603.45,589.7,595.2,1348136,0
2025-10-01,596.9,597.25,587.6,596.6,445018,0
2025-10-03,596.5,602.4,594.95,601.1,1380291,0
2025-10-06,598.95,603.2,597.3,600.45,842678,0
2025-10-07,601.1,609.75,601.1,603.5,841825,0
2025-10-08,601.5,605.85,591.3,592.9,972845,0
2025-10-09,592.1,596.55,589.5,593.4,461949,0
2025-10-10,595.1,604.35,595.1,597.7,844847,0
2025-10-13,597.0,601.0,592.75,593.6,383497,0
2025-10-14,595.85,610.95,591.25,598.05,2049147,0
2025-10-15,590.0,598.4,578.65,588.0,9413761,0
2025-10-16,588.0,589.6,582.45,587.0,1880912,0
2025-10-17,588.05,598.45,583.0,595.75,1404254,0
2025-10-20,598.0,600.95,588.45,596.75,1409667,0
2025-10-21,592.95,597.85,592.1,595.3,68916,0
2025-10-23,599.55,610.95,594.25,607.15,1468888,0
2025-10-24,607.15,608.5,598.75,601.95,392751,0
2025-10-27,601.95,604.95,598.0,600.75,2210274,0
2025-10-28,601.4,604.0,598.35,600.5,840483,0
2025-10-29,604.0,608.65,600.15,601.0,3541088,0
2025-10-30,601.0,604.5,594.25,600.4,740839,0
2025-10-31,603.5,604.2,589.15,591.15,931369,0
2025-11-03,592.95,601.05,590.0,599.25,1409594,0
2025-11-04,599.0,608.95,598.05,607.55,695525,0
2025-11-06,609.8,609.8,601.45,603.75,563718,0
2025-11-07,603.0,616.95,599.85,615.35,815618,0
2025-11-10,619.8,620.75,612.0,614.8,872520,0
2025-11-11,612.2,626.65,609.1,624.7,854265,0
2025-11-12,627.75,635.3,626.1,632.95,2488995,0
2025-11-13,631.1,633.95,625.9,630.1,592016,0
2025-11-14,630.1,633.85,625.05,629.45,652101,0
2025-11-17,628.0,632.9,626.15,630.6,363830,0
2025-11-18,632.1,632.1,620.7,626.8,587932,0
2025-11-19,626.1,626.1,609.0,613.95,1774466,0
2025-11-20,615.0,620.95,609.05,618.4,969004,0
2025-11-21,621.0,621.0,609.6,610.9,387131,0
2025-11-24,610.9,614.65,604.0,607.35,2202503,0
2025-11-25,602.75,616.0,602.75,612.25,905724,0
2025-11-26,615.0,623.0,613.3,621.9,284416,0
2025-11-27,624.9,627.95,621.0,625.25,441657,0
2025-11-28,625.95,626.8,614.5,619.75,1442638,0
2025-12-01,619.75,623.3,616.0,621.55,407679,0
2025-12-02,620.0,623.0,613.4,616.55,2230559,0
2025-12-03,614.0,615.75,607.25,611.25,985834,0
2025-12-04,608.45,617.0,606.4,615.35,367145,0
2025-12-05,615.0,627.2,612.95,626.05,386465,0
2025-12-08,629.05,634.8,613.35,616.25,1711904,0
2025-12-09,616.25,631.25,614.9,623.6,1276946,0
2025-12-10,620.0,646.0,619.0,642.85,2073986,0
2025-12-11,644.5,647.55,633.8,635.85,661780,0
2025-12-12,635.85,649.0,633.3,647.55,845174,0
2025-12-15,650.0,651.25,639.35,648.5,2602182,0
2025-12-16,651.35,652.8,634.25,637.95,2339227,0
2025-12-17,638.0,639.6,627.0,630.5,361180,0
2025-12-18,632.05,647.45,625.95,645.65,2632156,0
2025-12-19,649.9,653.0,647.65,650.4,820206,0
2025-12-22,650.0,652.1,645.05,650.5,543562,0
2025-12-23,650.0,656.2,646.0,650.9,850478,0
2025-12-24,650.0,654.0,648.75,652.05,672563,0
2025-12-26,652.0,654.6,645.95,649.95,253980,0
2025-12-29,648.05,653.95,647.75,651.2,462974,0
2025-12-30,651.0,658.0,648.35,654.85,1904206,0
2025-12-31,659.0,669.5,654.8,668.25,1551003,0
2026-01-01,669.3,676.4,666.0,674.3,393336,0
2026-01-02,674.3,681.5,671.35,678.3,351756,0
2026-01-05,680.0,688.4,678.3,683.85,579420,0
2026-01-06,685.05,697.5,685.05,688.45,920286,0
2026-01-07,688.45,695.5,682.4,684.6,1565458,0
2026-01-08,684.6,686.8,671.05,681.35,1909675,0
2026-01-09,684.0,693.0,671.1,685.45,789798,0
2026-01-12,691.1,696.85,677.8,680.75,1326285,0
2026-01-13,684.55,706.8,671.8,681.45,4801288,0
2026-01-14,685.0,700.0,665.8,669.25,4004960,0
2026-01-16,669.25,683.75,667.3,678.0,4417190,0
2026-01-19,678.0,680.0,657.0,660.95,1068763,0
2026-01-20,660.5,668.2,649.2,651.8,644527,0
2026-01-21,645.65,653.95,638.15,647.1,1363072,0
2026-01-22,650.05,658.0,646.95,653.15,1055554,0
2026-01-23,653.0,653.0,636.1,638.7,744889,0
2026-01-27,637.15,647.55,628.5,643.85,1758161,0
2026-01-28,640.8,650.8,638.9,642.4,438995,0
2026-01-29,643.0,643.0,623.7,625.3,1251462,0
2026-01-30,625.3,640.15,621.0,636.85,1484926,0
2026-02-01,640.05,651.0,626.95,643.45,302890,0
2026-02-02,643.0,646.6,631.05,641.8,632919,0
2026-02-03,651.2,662.8,651.2,654.4,888413,0
2026-02-04,658.45,663.6,649.4,660.35,762585,0
2026-02-05,660.2,660.3,653.65,655.2,324372,0
2026-02-06,653.0,656.55,645.15,651.35,499107,0
2026-02-09,650.35,658.0,647.1,648.3,1947423,0
2026-02-10,649.0,651.2,639.5,643.0,1431592,0
2026-02-11,643.05,644.9,636.3,640.95,709123,0
2026-02-12,637.0,641.15,631.25,638.1,956432,0
2026-02-13,635.0,646.8,629.85,643.65,711887,0
2026-02-16,643.0,643.75,633.7,640.85,295460,0
2026-02-17,640.85,641.65,636.7,638.7,357102,0
2026-02-18,638.7,650.95,636.0,648.85,4146626,0
2026-02-19,651.15,656.25,646.0,648.65,1373867,0
2026-02-20,645.0,665.0,642.85,651.3,1399223,0
2026-02-23,655.0,667.8,652.0,664.15,1021190,0
2026-02-24,665.2,665.35,658.45,661.4,812117,0
2026-02-25,662.0,670.0,660.5,668.25,707124,0
2026-02-26,670.0,677.55,667.65,674.55,961820,0
