date,open,high,low,close,volume,oi
2025-04-23,260.06,266.0,260.06,264.97,2115,0
2025-04-24,265.01,265.01,262.52,263.6,640,0
2025-04-25,262.29,266.89,259.78,260.95,379,0
2025-04-28,260.96,265.07,260.95,264.88,319,0
2025-04-29,263.56,266.99,263.52,263.55,767,0
2025-04-30,265.55,265.6,263.6,265.0,185,0
2025-05-02,267.2,267.2,263.21,265.82,1372,0
2025-05-05,265.82,267.1,265.33,266.86,615,0
2025-05-06,268.19,268.98,264.01,265.42,327,0
2025-05-07,266.01,267.25,261.23,266.08,426,0
2025-05-08,265.81,266.12,262.47,263.5,267,0
2025-05-09,263.38,263.38,259.68,261.33,1484,0
2025-05-12,261.61,270.23,261.61,270.08,619,0
2025-05-13,270.25,270.25,267.59,267.74,686,0
2025-05-14,269.08,270.0,267.0,268.7,221,0
2025-05-15,268.7,273.09,267.34,271.62,1914,0
2025-05-16,271.62,271.77,268.25,271.76,248,0
2025-05-19,271.75,274.8,268.11,270.58,339,0
2025-05-20,274.7,274.7,267.6,269.81,213,0
2025-05-21,269.81,271.0,265.1,269.15,74551,0
2025-05-22,270.49,271.87,266.7,268.27,993,0
2025-05-23,269.49,270.23,269.49,270.23,219,0
2025-05-26,273.87,273.88,267.59,271.55,859,0
2025-05-27,270.2,272.61,268.85,270.8,131,0
2025-05-28,272.15,272.6,268.64,269.86,176,0
2025-05-29,271.2,271.2,268.66,270.36,175,0
2025-05-30,269.31,270.3,269.31,270.3,119,0
2025-06-02,270.3,272.84,260.11,269.4,957,0
2025-06-03,273.4,273.4,267.79,268.33,660,0
2025-06-04,268.34,271.9,267.11,270.12,457,0
2025-06-05,270.35,270.79,268.78,270.39,1014,0
2025-06-06,270.4,272.4,269.53,271.47,647,0
2025-06-09,272.82,273.51,271.46,272.67,1669,0
2025-06-10,276.9,276.9,269.5,273.5,1704,0
2025-06-11,273.5,274.45,272.93,273.96,213,0
2025-06-12,273.96,274.81,271.6,272.06,381,0
2025-06-13,264.39,270.69,264.38,269.84,382,0
2025-06-16,268.5,271.94,268.09,270.53,431,0
2025-06-17,270.53,271.9,270.4,271.62,178,0
2025-06-18,271.62,272.52,270.42,271.38,218,0
2025-06-19,272.73,272.73,269.3,269.65,366,0
2025-06-20,273.0,273.92,266.74,272.13,406,0
2025-06-23,275.9,275.9,272.0,273.0,247,0
2025-06-24,266.17,275.99,266.17,272.2,255,0
2025-06-25,273.67,275.2,273.61,274.82,664,0
2025-06-26,274.8,276.75,274.2,276.68,719,0
2025-06-27,276.67,282.44,272.1,278.64,3410,0
2025-06-30,278.64,278.64,277.01,278.64,200,0
2025-07-01,277.25,279.95,277.24,277.46,313,0
2025-07-02,280.46,280.46,276.0,277.41,572,0
2025-07-03,277.41,278.63,276.67,276.67,76340,0
2025-07-04,276.6,278.65,274.62,277.89,637,0
2025-07-07,279.27,281.43,277.24,278.73,1346,0
2025-07-08,278.72,278.72,275.1,278.54,115,0
2025-07-09,279.93,279.93,275.1,278.05,40577,0
2025-07-10,278.46,278.46,277.88,277.89,84,0
2025-07-11,276.89,276.89,275.0,275.83,918,0
2025-07-14,277.2,277.2,272.8,274.43,623,0
2025-07-15,275.8,275.8,274.43,275.35,107,0
2025-07-16,275.25,275.44,273.75,275.37,176,0
2025-07-17,276.06,276.06,274.68,274.95,78,0
2025-07-18,274.14,276.06,272.14,273.84,268,0
2025-07-21,273.84,274.64,272.74,273.2,1805,0
2025-07-22,274.56,277.3,272.62,274.8,2071,0
2025-07-23,275.01,276.06,273.95,274.85,171,0
2025-07-24,275.95,275.95,273.99,274.83,138,0
2025-07-25,273.8,273.8,272.29,272.36,371,0
2025-07-28,276.48,276.48,270.0,270.69,594,0
2025-07-29,270.79,271.23,269.41,271.23,415,0
2025-07-30,271.29,273.1,271.0,272.91,239,0
2025-07-31,271.03,272.6,270.7,271.75,266,0
2025-08-01,273.1,273.1,269.47,269.86,321,0
2025-08-04,269.86,271.22,269.17,270.5,161,0
2025-08-05,270.11,270.52,269.3,270.18,596,0
2025-08-06,270.3,270.43,268.47,269.16,469,0
2025-08-07,269.16,269.16,267.63,268.46,295,0
2025-08-08,268.46,268.77,266.39,267.36,674,0
2025-08-11,267.0,267.79,266.29,267.79,38471,0
2025-08-12,267.85,270.59,267.85,267.91,315,0
2025-08-13,269.37,269.85,269.03,269.04,233,0
2025-08-14,270.2,270.4,268.91,269.16,267,0
2025-08-18,273.18,273.66,272.19,272.87,176,0
2025-08-19,274.23,274.23,272.59,272.9,688,0
2025-08-20,271.54,274.37,271.54,273.55,50146,0
2025-08-21,270.0,274.55,270.0,273.55,73,0
2025-08-22,268.1,274.91,268.1,273.29,335,0
2025-08-25,274.65,274.65,272.53,274.25,1176,0
2025-08-26,275.62,275.62,271.81,271.81,134,0
2025-08-28,269.28,270.6,268.96,269.03,652,0
2025-08-29,269.35,269.35,267.72,268.29,54,0
2025-09-01,272.31,272.31,268.04,269.07,277,0
2025-09-02,269.85,271.73,269.81,269.83,423,0
2025-09-03,269.97,270.22,269.13,269.94,911,0
2025-09-04,271.91,272.86,270.32,270.61,718,0
2025-09-05,271.96,271.96,269.26,271.0,103,0
2025-09-08,275.07,275.07,268.0,270.55,1382,0
2025-09-09,270.0,271.76,269.2,271.43,808,0
2025-09-10,272.81,274.55,272.81,274.34,878,0
2025-09-11,275.71,278.39,272.85,274.2,216,0
2025-09-12,275.0,275.06,274.26,274.26,35,0
2025-09-15,275.54,275.65,273.97,274.11,285,0
2025-09-16,275.48,275.92,275.18,275.92,152,0
2025-09-17,277.29,278.45,276.61,278.14,109,0
2025-09-18,279.53,279.53,277.15,278.98,515,0
2025-09-19,278.57,278.98,276.72,277.96,536,0
2025-09-22,277.96,277.96,276.5,277.13,140,0
2025-09-23,277.12,277.13,275.62,276.71,136,0
2025-09-24,275.99,276.0,272.55,274.02,220,0
2025-09-25,274.02,274.85,273.18,274.54,368,0
2025-09-26,275.91,275.91,270.2,270.42,656,0
2025-09-29,272.0,275.88,270.42,271.03,461,0
2025-09-30,272.38,275.47,271.03,271.17,231,0
2025-10-01,274.0,274.0,269.08,270.63,440,0
2025-10-03,271.98,275.92,271.5,272.32,1117,0
2025-10-06,272.32,276.4,271.81,275.36,883,0
2025-10-07,275.36,279.38,274.93,276.01,661,0
2025-10-08,275.98,275.98,274.0,274.57,2453,0
2025-10-09,275.94,275.94,274.14,275.06,822,0
2025-10-10,275.06,278.25,273.69,277.79,1155,0
2025-10-13,279.17,279.17,275.38,275.64,1083,0
2025-10-14,275.64,285.56,274.54,282.3,3081,0
2025-10-15,282.97,282.97,277.26,280.34,480,0
2025-10-16,285.59,285.9,278.73,279.19,1874,0
2025-10-17,279.19,283.37,278.61,282.0,542,0
2025-10-20,282.0,284.13,282.0,283.89,445,0
2025-10-21,284.12,284.13,279.98,281.9,62,0
2025-10-23,283.0,287.97,280.23,283.94,2502,0
2025-10-24,284.29,284.43,281.87,281.88,291,0
2025-10-27,286.11,286.35,277.79,283.49,1186,0
2025-10-28,283.49,287.74,280.06,284.53,264,0
2025-10-29,283.11,289.4,282.02,286.45,1394,0
2025-10-30,286.45,288.95,276.45,285.67,2282,0
2025-10-31,287.09,288.97,281.8,282.75,1721,0
2025-11-03,287.89,287.89,279.69,282.2,967,0
2025-11-04,282.54,282.54,279.6,280.51,732,0
2025-11-06,280.51,284.71,278.61,278.93,1275,0
2025-11-07,277.0,281.37,275.9,280.01,797,0
2025-11-10,284.18,284.18,279.92,281.05,1972,0
2025-11-11,280.61,281.01,278.61,281.01,943,0
2025-11-12,281.02,284.16,278.62,283.53,1606,0
2025-11-13,283.53,284.85,282.74,283.42,2507,0
2025-11-14,284.83,286.99,278.7,283.76,2027,0
2025-11-17,283.99,286.0,283.76,284.66,1211,0
2025-11-18,286.08,286.08,284.1,284.89,617,0
2025-11-19,284.3,284.89,283.6,284.87,890,0
2025-11-20,284.87,286.95,282.45,286.59,862,0
2025-11-21,288.02,288.02,285.5,285.5,1346,0
2025-11-24,286.92,286.92,276.94,282.02,1479,0
2025-11-25,282.02,284.5,279.11,284.5,972,0
2025-11-26,284.5,289.97,279.0,285.14,2329,0
2025-11-27,284.1,287.5,283.72,286.33,493,0
2025-11-28,286.33,288.0,284.9,287.85,630,0
2025-12-01,287.85,288.8,286.27,287.48,3228,0
2025-12-02,288.34,288.34,285.65,286.55,366,0
2025-12-03,286.11,286.11,283.58,284.32,1323,0
2025-12-04,285.74,286.1,284.71,284.91,256,0
2025-12-05,286.33,288.35,279.25,285.41,2866,0
