date,open,high,low,close,volume,oi
2025-05-19,151.0,151.0,149.5,150.45,93840,0
2025-05-20,147.0,147.11,146.0,146.71,55629,0
2025-05-21,147.39,147.39,145.35,145.91,160635,0
2025-05-22,146.3,146.34,145.8,146.16,21450,0
2025-05-23,146.44,146.62,145.91,146.2,102799,0
2025-05-26,146.3,146.97,146.3,146.41,48069,0
2025-05-27,146.6,147.0,146.06,146.54,18372,0
2025-05-28,146.7,146.8,146.28,146.52,19722,0
2025-05-29,146.26,147.29,146.26,147.0,8898,0
2025-05-30,147.05,147.35,146.5,147.06,28519,0
2025-06-02,147.5,148.0,147.36,147.8,43346,0
2025-06-03,148.0,149.32,148.0,149.04,30912,0
2025-06-04,149.32,151.0,149.32,150.22,31883,0
2025-06-05,151.0,151.01,149.1,150.92,17600,0
2025-06-06,150.92,152.0,150.55,151.88,49978,0
2025-06-09,151.9,154.15,151.15,152.94,59354,0
2025-06-10,154.0,154.0,153.1,153.51,19982,0
2025-06-11,154.5,154.5,152.0,153.37,30632,0
2025-06-12,153.03,154.0,149.31,153.5,81915,0
2025-06-13,153.5,155.0,152.9,153.74,26289,0
2025-06-16,153.5,154.41,152.05,153.6,13498,0
2025-06-17,154.7,154.76,153.07,153.4,15152,0
2025-06-18,153.98,154.79,153.05,153.91,10077,0
2025-06-19,153.05,154.5,153.05,153.99,30955,0
2025-06-20,155.4,155.4,153.62,154.66,16077,0
2025-06-23,154.89,155.0,153.25,154.55,51004,0
2025-06-24,154.02,155.5,152.35,154.9,33294,0
2025-06-25,155.15,155.7,153.56,155.07,51694,0
2025-06-26,155.15,155.48,151.99,152.41,64077,0
2025-06-27,152.75,155.0,150.1,154.77,27007,0
2025-06-30,155.0,156.5,148.2,150.31,402464,0
2025-07-01,151.4,154.84,150.68,154.33,36616,0
2025-07-02,154.93,155.48,153.5,154.9,8988,0
2025-07-03,154.0,155.19,153.11,155.07,16813,0
2025-07-04,155.05,155.32,153.67,154.42,13177,0
2025-07-07,154.6,155.0,154.05,154.8,12371,0
2025-07-08,154.8,155.8,153.51,155.0,29745,0
