date,open,high,low,close,volume,oi
2025-04-23,89.19,89.45,88.27,89.38,127979,0
2025-04-24,89.4,89.4,88.94,89.1,120742,0
2025-04-25,89.54,89.83,86.89,87.75,107846,0
2025-04-28,88.05,89.8,87.75,89.49,163391,0
2025-04-29,90.21,90.4,89.5,89.57,74628,0
2025-04-30,90.01,90.15,89.32,89.72,171808,0
2025-05-02,89.45,90.85,89.4,89.86,221390,0
2025-05-05,90.3,91.06,89.86,90.91,156874,0
2025-05-06,91.36,91.6,89.91,90.09,54842,0
2025-05-07,89.91,90.68,88.03,90.17,181968,0
2025-05-08,90.26,90.5,88.03,89.16,113603,0
2025-05-09,88.26,89.13,88.03,88.5,64969,0
2025-05-12,90.28,91.9,90.27,91.75,199380,0
2025-05-13,91.74,92.65,90.68,90.85,80523,0
2025-05-14,91.39,91.8,90.88,91.25,65630,0
2025-05-15,91.71,92.85,90.89,92.59,213592,0
2025-05-16,92.35,93.09,92.2,92.49,123603,0
2025-05-19,92.95,92.95,91.96,92.33,93021,0
2025-05-20,92.64,92.95,91.35,91.45,3000241,0
2025-05-21,91.45,92.22,91.29,91.82,91423,0
2025-05-22,92.09,92.14,90.76,91.29,59228,0
2025-05-23,91.29,92.34,91.25,92.11,134934,0
2025-05-26,92.6,92.89,92.1,92.43,55948,0
2025-05-27,92.13,92.62,91.41,91.99,64952,0
2025-05-28,91.93,92.25,91.5,91.87,26981,0
2025-05-29,91.92,92.36,91.6,91.89,93579,0
2025-05-30,91.91,92.44,91.58,91.79,41084,0
2025-06-02,92.08,92.08,91.1,91.72,76949,0
2025-06-03,90.94,92.55,90.94,91.14,71719,0
2025-06-04,91.22,91.89,91.22,91.74,28758,0
2025-06-05,92.5,92.89,91.81,92.27,69405,0
2025-06-06,92.79,92.95,91.59,92.82,145819,0
2025-06-09,93.35,93.6,92.5,93.52,259831,0
2025-06-10,93.55,94.0,93.0,93.49,111334,0
2025-06-11,93.95,94.1,93.02,93.69,104567,0
2025-06-12,94.15,94.18,92.19,92.46,87040,0
2025-06-13,92.47,92.47,90.43,91.8,93860,0
2025-06-16,91.8,93.0,91.0,92.76,71527,0
2025-06-17,92.99,93.0,92.2,92.36,37853,0
2025-06-18,92.75,92.75,91.82,92.04,54565,0
2025-06-19,92.03,92.59,91.58,91.9,37664,0
2025-06-20,91.61,93.63,91.61,93.26,163965,0
2025-06-23,93.27,93.5,90.3,92.96,91153,0
2025-06-24,94.82,94.82,93.15,93.27,174886,0
2025-06-25,93.26,94.25,93.26,94.1,116031,0
2025-06-26,94.57,95.8,93.6,95.69,316567,0
2025-06-27,96.16,96.79,95.53,96.64,218998,0
2025-06-30,97.12,97.12,95.64,96.12,189646,0
2025-07-01,98.52,98.52,96.19,96.58,164021,0
2025-07-02,96.55,96.99,96.25,96.37,71167,0
2025-07-03,96.49,96.95,96.03,96.13,48676,0
2025-07-04,98.53,98.53,95.9,96.44,44143,0
2025-07-07,96.47,97.13,96.13,96.63,100258,0
2025-07-08,96.74,97.11,96.5,96.94,176866,0
2025-07-09,97.27,97.27,96.01,96.32,77688,0
2025-07-10,96.82,96.82,95.77,96.01,1429291,0
2025-07-11,95.8,95.94,94.68,95.0,3685777,0
2025-07-14,97.37,97.37,94.45,94.89,8294407,0
2025-07-15,95.37,95.92,94.9,95.29,1452757,0
2025-07-16,95.49,95.5,94.97,95.41,5354890,0
2025-07-17,95.8,95.8,94.7,94.8,116705,0
2025-07-18,97.17,97.17,94.15,94.68,46369,0
2025-07-21,97.44,97.44,93.72,94.47,345384,0
2025-07-22,94.08,94.56,93.48,93.9,143263,0
2025-07-23,93.98,94.68,93.61,94.56,83185,0
2025-07-24,94.56,94.64,93.81,94.1,116656,0
2025-07-25,94.1,94.13,93.02,93.16,353890,0
2025-07-28,93.02,93.47,92.11,92.47,75341,0
2025-07-29,92.48,93.6,91.63,93.08,100509,0
2025-07-30,93.79,94.27,93.57,94.02,160685,0
2025-07-31,93.94,93.94,92.61,93.1,150430,0
2025-08-01,92.57,94.38,91.9,92.32,159792,0
2025-08-04,92.33,93.5,91.9,93.05,372260,0
2025-08-05,93.0,93.5,92.3,92.9,56445,0
2025-08-06,93.44,93.45,92.4,92.64,35808,0
2025-08-07,92.5,92.64,91.26,92.48,87937,0
2025-08-08,92.3,92.3,91.01,91.27,55370,0
2025-08-11,89.77,92.34,89.77,92.26,56670,0
2025-08-12,92.6,92.77,91.96,92.24,75213,0
2025-08-13,92.83,92.95,92.31,92.79,42945,0
2025-08-14,92.86,93.01,92.11,92.57,72974,0
2025-08-18,92.83,93.5,92.7,92.95,153810,0
2025-08-19,95.74,95.74,92.91,93.83,95388,0
2025-08-20,94.38,94.43,93.83,94.21,48197,0
2025-08-21,94.68,94.68,94.14,94.38,52050,0
2025-08-22,94.29,94.34,93.53,93.69,63660,0
2025-08-25,94.96,94.97,93.16,93.72,69676,0
2025-08-26,93.69,93.69,91.81,92.22,261867,0
2025-08-28,92.37,92.37,91.17,91.28,278119,0
2025-08-29,94.02,94.02,90.8,90.98,66538,0
2025-09-01,91.43,92.76,91.01,91.98,49930,0
2025-09-02,94.27,94.27,91.9,92.17,99619,0
2025-09-03,92.54,92.79,91.9,92.3,85169,0
2025-09-04,95.07,95.07,91.7,91.96,109617,0
2025-09-05,92.41,92.55,91.6,92.07,66847,0
2025-09-08,92.53,92.64,91.51,91.98,111078,0
2025-09-09,92.43,92.48,91.8,92.0,47123,0
2025-09-10,92.4,92.79,92.17,92.62,84740,0
2025-09-11,92.62,93.11,92.17,93.03,578195,0
2025-09-12,93.6,93.6,93.03,93.36,49665,0
2025-09-15,93.6,93.69,92.89,93.29,54923,0
2025-09-16,93.4,94.7,93.4,94.55,78670,0
2025-09-17,94.86,94.95,94.51,94.92,263012,0
2025-09-18,95.12,95.12,94.5,94.85,44888,0
2025-09-19,95.32,95.32,94.53,94.89,113000,0
2025-09-22,95.01,95.4,94.3,94.52,258417,0
2025-09-23,94.99,94.99,93.79,94.63,66754,0
2025-09-24,94.63,94.77,93.8,94.08,94549,0
2025-09-25,94.49,94.49,92.92,93.13,99489,0
2025-09-26,93.14,93.76,92.59,92.65,232423,0
2025-09-29,90.33,93.44,90.33,92.99,50608,0
2025-09-30,93.35,93.35,92.4,92.64,30198,0
2025-10-01,92.97,92.97,91.03,91.84,118219,0
2025-10-03,92.47,93.22,92.32,93.11,58910,0
2025-10-06,93.69,93.69,92.8,93.41,52120,0
2025-10-07,93.68,94.41,93.6,93.96,88146,0
2025-10-08,94.33,94.33,93.23,93.48,55586,0
2025-10-09,93.86,94.2,93.26,94.02,56226,0
2025-10-10,94.01,94.68,93.86,94.24,121147,0
2025-10-13,93.67,94.43,93.38,94.07,87699,0
2025-10-14,94.54,94.93,93.33,93.63,155244,0
2025-10-15,93.86,94.87,93.7,94.56,45815,0
2025-10-16,95.03,95.5,94.76,95.36,102501,0
2025-10-17,95.83,96.2,95.2,95.69,170680,0
2025-10-20,96.59,97.19,96.29,97.0,867649,0
2025-10-21,96.99,97.5,96.83,97.02,36130,0
2025-10-23,97.51,97.69,96.32,96.51,918832,0
