date,open,high,low,close,volume,oi
2025-04-23,35.61,36.47,35.61,36.4,25673,0
2025-04-24,36.22,36.54,36.22,36.35,5080,0
2025-04-25,36.37,36.89,36.06,36.46,11335,0
2025-04-28,36.65,36.69,36.14,36.56,9632,0
2025-04-29,36.74,37.19,36.38,36.87,4837,0
2025-04-30,36.95,37.28,36.66,36.77,4377,0
2025-05-02,36.9,37.29,36.77,36.96,7086,0
2025-05-05,37.47,37.47,36.94,37.02,4190,0
2025-05-06,37.47,37.48,36.76,36.81,7283,0
2025-05-07,36.25,37.12,36.25,37.01,5329,0
2025-05-08,37.01,37.3,36.82,36.88,3564,0
2025-05-09,36.81,36.88,36.47,36.83,13267,0
2025-05-12,37.33,39.53,37.33,39.31,32133,0
2025-05-13,39.12,39.99,38.41,38.62,23165,0
2025-05-14,38.5,38.99,38.5,38.87,8209,0
2025-05-15,39.07,39.44,38.56,39.3,10573,0
2025-05-16,38.9,39.34,38.8,39.12,5687,0
2025-05-19,40.29,40.29,38.39,38.62,25458,0
2025-05-20,38.8,39.15,38.33,38.4,5323,0
2025-05-21,38.55,38.77,38.54,38.7,659,0
2025-05-22,38.55,38.89,37.91,38.17,8292,0
2025-05-23,38.51,39.0,38.5,38.57,5745,0
2025-05-26,38.76,39.0,38.69,38.94,1379,0
2025-05-27,38.69,38.96,38.5,38.61,9426,0
2025-05-28,38.66,38.89,38.52,38.61,1023,0
2025-05-29,39.05,39.05,38.7,38.79,6121,0
2025-05-30,38.61,38.85,38.41,38.61,1883,0
2025-06-02,38.62,38.62,38.02,38.25,7486,0
2025-06-03,38.78,38.78,38.05,38.13,5928,0
2025-06-04,38.26,38.41,38.13,38.26,5241,0
2025-06-05,38.41,38.76,38.22,38.44,6696,0
2025-06-06,38.51,39.0,38.17,38.67,8863,0
2025-06-09,38.9,39.22,38.84,38.96,29648,0
2025-06-10,39.38,39.97,39.32,39.61,17192,0
2025-06-11,39.76,40.18,39.44,40.14,11969,0
2025-06-12,40.67,40.68,39.55,39.91,569850,0
2025-06-13,39.95,40.03,39.5,39.73,41837,0
2025-06-16,39.54,40.61,39.54,40.33,20511,0
2025-06-17,40.46,40.94,40.38,40.74,23880,0
2025-06-18,40.77,40.93,40.26,40.36,16772,0
2025-06-19,40.2,40.2,39.86,40.1,9074,0
2025-06-20,40.09,40.31,39.73,40.27,5271,0
2025-06-23,40.47,40.47,39.61,39.84,6833,0
2025-06-24,39.84,40.33,39.77,39.78,5194,0
2025-06-25,39.99,40.55,39.97,40.44,6105,0
2025-06-26,40.64,40.64,40.19,40.4,151562,0
2025-06-27,40.44,40.8,40.16,40.19,6722,0
2025-06-30,40.39,40.39,39.98,40.23,2229,0
2025-07-01,40.23,40.6,40.04,40.09,10068,0
2025-07-02,40.44,40.79,40.1,40.29,4700,0
2025-07-03,40.31,40.45,40.08,40.17,2910,0
2025-07-04,39.37,40.67,39.37,40.55,19387,0
2025-07-07,40.0,40.55,40.0,40.28,21438,0
2025-07-08,40.28,40.58,40.01,40.25,25501,0
2025-07-09,39.45,40.36,39.45,40.07,7386,0
2025-07-10,39.9,40.0,39.6,39.81,10012,0
2025-07-11,40.8,40.8,39.01,39.13,42743,0
2025-07-14,40.1,40.1,38.37,38.62,43220,0
2025-07-15,38.35,39.01,38.35,38.8,83803,0
2025-07-16,38.8,39.12,38.67,39.08,24987,0
2025-07-17,38.89,39.12,38.5,38.52,64126,0
2025-07-18,39.29,39.29,38.23,38.54,39349,0
2025-07-21,38.45,38.54,38.29,38.44,41933,0
2025-07-22,38.45,38.52,38.25,38.28,29578,0
2025-07-23,38.47,38.52,38.19,38.4,124484,0
2025-07-24,38.6,38.6,37.45,37.54,119768,0
2025-07-25,37.72,37.74,36.86,37.0,72496,0
2025-07-28,36.63,36.93,36.63,36.77,56300,0
2025-07-29,36.61,36.93,36.51,36.79,104166,0
2025-07-30,36.97,37.03,36.61,36.9,85419,0
2025-07-31,36.69,36.93,36.41,36.72,54812,0
2025-08-01,37.45,37.45,35.97,36.07,223096,0
2025-08-04,36.97,36.97,35.8,36.64,778838,0
2025-08-05,37.55,37.55,36.24,36.45,27522,0
2025-08-06,36.35,36.35,35.75,35.8,60790,0
2025-08-07,35.79,36.14,35.54,36.05,95814,0
2025-08-08,35.97,35.97,35.71,35.76,13187,0
2025-08-11,36.18,36.18,35.6,35.93,31566,0
2025-08-12,35.94,36.34,35.93,36.06,36621,0
2025-08-13,36.07,36.15,35.93,36.07,10934,0
2025-08-14,36.28,36.63,36.14,36.15,12374,0
2025-08-18,36.18,36.35,35.9,36.04,24919,0
2025-08-19,35.52,36.2,35.32,36.13,9176,0
2025-08-20,36.09,37.07,36.09,36.99,37696,0
2025-08-21,36.06,37.47,36.06,37.08,45284,0
2025-08-22,37.05,37.05,36.7,36.77,5216,0
2025-08-25,36.76,37.86,36.76,37.61,45300,0
2025-08-26,37.58,37.78,37.33,37.37,11933,0
2025-08-28,37.37,37.37,36.85,36.88,12674,0
2025-08-29,36.9,36.9,36.45,36.48,5325,0
2025-09-01,37.12,37.2,36.9,37.03,12075,0
2025-09-02,36.1,37.42,36.1,37.08,6578,0
2025-09-03,37.04,37.17,36.63,36.79,20793,0
2025-09-04,36.98,36.98,36.47,36.52,6016,0
2025-09-05,36.13,36.71,35.61,36.04,41598,0
2025-09-08,36.22,36.22,35.71,35.77,50432,0
2025-09-09,36.66,36.66,35.67,36.59,15607,0
2025-09-10,36.89,37.65,36.88,37.48,82145,0
2025-09-11,37.42,37.42,37.13,37.33,17878,0
2025-09-12,37.51,37.75,37.38,37.41,15295,0
2025-09-15,37.41,37.75,37.05,37.45,8700,0
2025-09-16,37.33,37.61,37.27,37.51,9036,0
2025-09-17,37.79,37.94,37.66,37.77,31173,0
2025-09-18,38.2,38.5,37.78,38.07,68532,0
2025-09-19,38.05,38.07,37.81,37.9,17731,0
2025-09-22,38.08,38.08,36.6,36.9,167501,0
2025-09-23,35.97,37.08,35.91,36.69,24170,0
2025-09-24,35.77,36.64,35.77,36.4,36987,0
2025-09-25,36.4,36.47,35.85,35.91,56531,0
2025-09-26,36.28,36.28,34.97,35.04,52825,0
2025-09-29,35.22,35.29,34.94,35.03,35949,0
2025-09-30,35.03,35.44,34.97,34.98,30594,0
2025-10-01,35.86,35.86,34.78,35.23,92596,0
2025-10-03,35.23,35.43,35.1,35.21,36403,0
2025-10-06,36.09,36.15,35.21,36.01,303400,0
2025-10-07,36.91,36.91,35.84,36.04,17415,0
2025-10-08,37.75,37.75,35.79,36.5,35412,0
2025-10-09,36.71,37.0,36.49,36.88,38662,0
2025-10-10,37.05,37.19,36.85,36.89,29842,0
2025-10-13,36.78,36.88,36.41,36.73,49603,0
2025-10-14,36.94,37.17,36.53,36.57,69002,0
2025-10-15,36.75,36.89,36.54,36.74,12660,0
2025-10-16,36.75,36.89,36.62,36.84,5159,0
2025-10-17,36.52,36.6,36.26,36.33,45396,0
2025-10-20,37.94,37.94,36.47,36.72,33399,0
2025-10-21,37.82,37.82,36.66,36.71,31644,0
2025-10-23,37.27,37.93,37.27,37.6,115928,0
2025-10-24,37.6,37.8,37.34,37.47,24907,0
2025-10-27,37.79,37.9,37.65,37.69,51954,0
2025-10-28,37.92,37.92,37.35,37.53,41517,0
2025-10-29,37.61,37.85,37.42,37.73,62011,0
2025-10-30,37.81,37.81,37.39,37.54,14023,0
2025-10-31,37.5,37.63,37.25,37.3,21690,0
2025-11-03,37.2,37.39,37.1,37.32,16087,0
2025-11-04,37.31,37.31,36.79,36.93,13954,0
2025-11-06,37.03,37.1,36.9,36.96,5372,0
2025-11-07,36.77,36.78,36.33,36.73,18931,0
2025-11-10,36.82,37.48,36.82,37.31,196130,0
