date,open,high,low,close,volume,oi
2025-04-23,37.01,38.36,37.01,38.3,32819171,0
2025-04-24,38.3,38.49,37.96,38.08,9920086,0
2025-04-25,38.5,38.74,37.8,38.34,15417573,0
2025-04-28,38.84,38.84,37.95,38.31,7312868,0
2025-04-29,38.68,39.05,38.26,38.78,9765038,0
2025-04-30,38.78,39.1,38.41,38.6,8660554,0
2025-05-02,38.61,39.2,38.48,38.72,9797209,0
2025-05-05,38.75,39.24,38.75,38.92,6347159,0
2025-05-06,39.0,39.28,38.61,38.67,12055924,0
2025-05-07,39.15,39.15,38.23,38.79,4659187,0
2025-05-08,38.8,39.12,38.69,38.81,12685625,0
2025-05-09,38.81,38.81,38.24,38.72,5032717,0
2025-05-12,39.5,41.4,39.0,41.33,23231100,0
2025-05-13,41.3,41.46,40.4,40.45,11907933,0
2025-05-14,40.99,40.99,40.45,40.93,6316251,0
2025-05-15,40.93,41.45,40.56,41.35,13041965,0
2025-05-16,41.36,41.6,40.91,41.12,8277397,0
2025-05-19,41.26,41.88,40.51,40.59,7830327,0
2025-05-20,40.6,41.05,40.31,40.37,7153518,0
2025-05-21,40.38,40.87,40.13,40.64,4336603,0
2025-05-22,40.62,40.62,39.85,40.05,8054980,0
2025-05-23,40.05,40.92,40.05,40.48,6855310,0
2025-05-26,40.79,40.9,40.51,40.8,8194480,0
2025-05-27,40.8,40.82,40.43,40.63,4714449,0
2025-05-28,40.9,41.03,40.55,40.59,2765201,0
2025-05-29,40.65,41.15,40.65,40.82,5995814,0
2025-05-30,40.82,40.98,40.5,40.53,3698572,0
2025-06-02,40.6,40.88,40.01,40.3,5052954,0
2025-06-03,41.14,41.14,39.96,40.04,5187879,0
2025-06-04,41.04,41.04,40.0,40.15,3881029,0
2025-06-05,41.15,41.15,40.0,40.31,3719038,0
2025-06-06,41.31,41.31,39.3,40.48,4089734,0
2025-06-09,41.14,41.14,40.48,40.89,6145171,0
2025-06-10,40.89,41.93,40.89,41.8,20549171,0
2025-06-11,43.0,43.0,40.8,42.25,19690455,0
2025-06-12,42.45,42.5,41.63,41.86,15257545,0
2025-06-13,42.9,42.9,40.1,41.92,8634263,0
2025-06-16,41.99,42.75,41.22,42.54,19108060,0
2025-06-17,43.6,43.6,42.46,42.77,8958123,0
2025-06-18,43.24,43.24,42.3,42.41,9643622,0
2025-06-19,41.34,42.41,41.34,41.96,18117658,0
2025-06-20,40.91,42.39,40.91,42.31,5609741,0
2025-06-23,42.98,42.98,41.25,41.84,5959455,0
2025-06-24,42.39,42.39,41.73,41.82,7206045,0
2025-06-25,40.77,42.5,40.77,42.44,7542946,0
2025-06-26,42.44,42.56,42.16,42.4,5149821,0
2025-06-27,41.34,42.88,41.25,42.29,10250436,0
2025-06-30,43.34,43.56,42.08,42.41,6132686,0
2025-07-01,43.68,43.68,42.1,42.22,9455532,0
2025-07-02,42.68,42.89,41.77,42.25,9366954,0
2025-07-03,42.75,42.75,42.02,42.24,4101135,0
2025-07-04,43.29,43.29,42.17,42.53,4423452,0
2025-07-07,42.21,43.59,42.2,42.3,5112502,0
2025-07-08,43.35,43.35,41.4,42.36,4669314,0
2025-07-09,42.37,42.7,41.96,42.04,7304717,0
2025-07-10,41.5,42.96,40.98,41.79,5608070,0
2025-07-11,41.49,41.49,40.9,41.02,12168054,0
2025-07-14,41.48,41.48,40.3,40.49,11984085,0
2025-07-15,41.7,41.7,40.34,40.64,10892981,0
2025-07-16,41.65,41.65,40.54,41.0,7869588,0
2025-07-17,42.02,42.23,40.43,40.47,8619374,0
2025-07-18,40.47,41.01,40.28,40.51,6064382,0
2025-07-21,40.92,40.92,40.12,40.39,4724727,0
2025-07-22,41.39,41.39,40.18,40.21,5546295,0
2025-07-23,39.2,40.99,39.2,40.32,4977047,0
2025-07-24,41.32,41.32,39.31,39.4,17742433,0
2025-07-25,39.44,39.56,38.77,38.85,10838784,0
2025-07-28,38.85,39.75,38.3,38.64,14980463,0
2025-07-29,39.16,39.16,38.32,38.66,10801392,0
2025-07-30,39.62,39.62,38.52,38.77,6555771,0
2025-07-31,39.7,39.7,38.25,38.58,7373810,0
2025-08-01,39.45,39.45,37.65,37.87,10271852,0
2025-08-04,37.85,39.01,37.52,38.46,8202997,0
2025-08-05,38.1,39.42,37.52,38.29,4905083,0
2025-08-06,37.65,38.65,37.35,37.61,7094276,0
2025-08-07,38.55,38.74,37.4,37.93,6844583,0
2025-08-08,39.8,39.8,37.55,37.59,5791829,0
2025-08-11,37.02,37.98,37.02,37.75,7430170,0
2025-08-12,36.8,38.65,36.8,37.88,7679642,0
2025-08-13,37.81,38.6,37.75,37.9,4537432,0
2025-08-14,37.8,38.57,37.5,38.12,5452173,0
2025-08-18,38.7,38.8,37.7,37.83,7673783,0
2025-08-19,37.65,38.77,37.65,37.95,5672788,0
2025-08-20,38.6,39.0,37.84,38.94,19311808,0
2025-08-21,39.5,39.52,38.75,39.01,8154259,0
2025-08-22,38.11,39.98,38.11,38.72,4696189,0
2025-08-25,38.7,39.69,38.7,39.54,12077370,0
2025-08-26,39.83,39.83,38.8,39.26,12128599,0
2025-08-28,38.45,39.74,38.45,38.7,6950623,0
2025-08-29,39.66,39.66,38.37,38.42,6149663,0
2025-09-01,37.65,39.0,37.65,38.96,4958707,0
2025-09-02,39.12,39.3,38.74,39.0,4622262,0
2025-09-03,38.02,39.3,38.02,38.76,4991525,0
2025-09-04,38.76,39.01,38.31,38.38,6101554,0
2025-09-05,39.33,39.33,37.53,37.85,18818110,0
2025-09-08,38.79,38.79,37.43,37.49,9935512,0
2025-09-09,38.42,38.61,37.8,38.52,17538685,0
2025-09-10,38.56,39.54,38.5,39.43,16064146,0
2025-09-11,40.41,40.41,39.04,39.24,5621790,0
2025-09-12,40.22,40.42,39.25,39.36,5153358,0
2025-09-15,39.79,39.79,38.37,39.18,4912862,0
2025-09-16,38.62,39.79,38.62,39.48,4790630,0
2025-09-17,39.4,39.9,39.4,39.77,7411546,0
2025-09-18,39.68,40.35,39.46,40.12,11082621,0
2025-09-19,40.32,40.4,39.7,39.91,7172837,0
2025-09-22,38.85,40.0,38.37,38.78,30071128,0
2025-09-23,38.95,38.98,38.43,38.48,13024404,0
2025-09-24,39.07,39.15,38.08,38.21,8396500,0
2025-09-25,37.25,39.05,37.25,37.73,10130158,0
2025-09-26,37.73,37.76,36.75,36.83,19382458,0
2025-09-29,36.8,37.29,35.9,36.8,7765764,0
2025-09-30,37.1,37.1,35.88,36.75,4907004,0
2025-10-01,37.0,38.05,36.52,37.16,6982213,0
2025-10-03,37.65,37.65,36.88,37.08,6832500,0
2025-10-06,37.08,37.86,37.0,37.83,8889214,0
2025-10-07,37.3,38.23,37.3,37.82,5644419,0
2025-10-08,37.82,38.55,37.73,38.37,10652074,0
2025-10-09,38.71,38.85,38.35,38.79,9636078,0
2025-10-10,38.86,39.0,38.52,38.78,5415617,0
2025-10-13,38.48,38.79,38.23,38.49,5904570,0
2025-10-14,38.57,38.94,38.34,38.37,7057586,0
2025-10-15,38.41,38.8,38.41,38.64,5181928,0
2025-10-16,38.99,38.99,38.46,38.81,6609735,0
2025-10-17,38.81,38.81,38.15,38.23,15241334,0
2025-10-20,38.61,38.65,38.23,38.58,6744161,0
2025-10-21,39.7,39.7,38.56,38.7,3513072,0
2025-10-23,38.95,39.8,38.75,39.42,26123975,0
2025-10-24,39.7,39.7,39.16,39.28,11695258,0
2025-10-27,39.28,40.8,39.28,39.63,8697032,0
2025-10-28,39.81,39.81,39.23,39.42,6605063,0
2025-10-29,39.42,39.95,39.35,39.66,7792406,0
2025-10-30,39.66,40.8,39.35,39.45,5463774,0
2025-10-31,39.45,39.61,39.22,39.25,4923401,0
2025-11-03,39.25,39.36,38.95,39.11,10179303,0
2025-11-04,39.0,39.25,38.13,38.79,5569098,0
2025-11-06,38.99,39.03,38.74,38.79,4084707,0
2025-11-07,38.79,38.85,38.21,38.6,5450088,0
2025-11-10,38.55,39.76,38.0,39.23,7118311,0
2025-11-11,39.4,39.78,39.19,39.73,14007612,0
2025-11-12,39.7,40.59,39.7,40.52,30124977,0
2025-11-13,40.7,40.77,40.2,40.36,17787711,0
2025-11-14,40.2,40.21,39.57,39.95,13380444,0
2025-11-17,40.41,40.41,39.71,40.02,6872958,0
2025-11-18,40.02,40.34,39.51,39.57,6461315,0
2025-11-19,39.58,40.77,39.57,40.72,27287469,0
2025-11-20,40.72,40.97,40.56,40.61,18675363,0
2025-11-21,40.9,40.9,40.32,40.44,27003669,0
2025-11-24,41.7,41.73,40.46,40.67,14590994,0
2025-11-25,40.67,41.44,40.29,40.42,9316966,0
2025-11-26,40.89,41.0,40.5,40.98,8516804,0
2025-11-27,41.75,41.75,40.83,41.07,8770195,0
2025-11-28,42.05,42.3,40.95,41.04,7144350,0
2025-12-01,41.05,41.34,41.03,41.18,9833347,0
2025-12-02,41.42,41.42,41.04,41.19,7058950,0
2025-12-03,41.19,42.0,41.02,41.63,16221762,0
2025-12-04,41.63,42.2,41.44,42.07,15450983,0
2025-12-05,42.87,42.87,42.07,42.45,14539964,0
2025-12-08,42.1,42.81,42.04,42.37,15777328,0
2025-12-09,42.37,42.37,41.65,41.89,13757646,0
2025-12-10,42.93,42.93,41.1,41.48,6792206,0
2025-12-11,42.51,42.51,40.7,41.82,8812584,0
2025-12-12,41.82,42.1,41.63,42.05,6250199,0
2025-12-15,40.99,42.4,40.99,42.14,4437380,0
2025-12-16,42.49,42.49,41.07,41.76,5326034,0
2025-12-17,42.8,42.8,41.67,41.88,4391973,0
2025-12-18,41.88,42.4,41.88,42.35,6736696,0
2025-12-19,41.29,42.9,41.29,42.42,6444191,0
2025-12-22,42.62,43.8,42.62,43.29,18019893,0
2025-12-23,43.02,43.43,42.75,42.99,9976013,0
2025-12-24,42.72,43.09,42.69,42.73,8339647,0
2025-12-26,42.73,42.9,42.3,42.34,6706847,0
2025-12-29,43.0,43.0,41.9,41.98,17822718,0
2025-12-30,41.35,42.38,41.35,41.76,6405178,0
2025-12-31,41.0,41.98,40.71,41.67,4812659,0
2026-01-01,40.75,42.3,40.75,41.97,3866387,0
2026-01-02,43.01,43.01,41.85,42.14,5801440,0
2026-01-05,42.99,42.99,41.1,41.51,14550136,0
2026-01-06,42.54,42.54,41.11,41.64,6668952,0
2026-01-07,42.89,42.89,41.5,42.43,10654719,0
2026-01-08,41.36,42.53,41.36,41.63,8036013,0
2026-01-09,41.94,41.95,41.39,41.73,6762107,0
2026-01-12,42.77,42.77,41.23,41.69,7380255,0
2026-01-13,40.64,42.14,40.64,41.93,7895396,0
2026-01-14,41.64,43.0,41.31,41.49,5572625,0
2026-01-16,41.65,43.11,41.65,43.05,26818445,0
2026-01-19,43.07,43.07,42.62,42.86,11070925,0
2026-01-20,42.43,43.93,41.88,41.97,8285841,0
2026-01-21,41.97,42.05,41.27,41.85,8286724,0
2026-01-22,42.89,42.89,41.94,42.23,4022778,0
2026-01-23,43.0,43.0,42.02,42.12,6337415,0
2026-01-27,43.17,43.38,41.95,42.51,5022385,0
2026-01-28,42.55,42.75,42.37,42.65,7099924,0
2026-01-29,42.75,42.75,41.94,42.32,5613589,0
2026-01-30,42.32,42.32,41.58,41.94,5776996,0
2026-02-01,42.93,42.93,41.16,42.1,11455467,0
2026-02-02,43.0,43.0,41.65,41.94,4022797,0
2026-02-03,42.36,44.27,42.36,42.59,16932381,0
2026-02-04,42.2,42.59,39.6,40.24,86921887,0
2026-02-05,40.24,40.43,39.82,39.98,38107205,0
