date,open,high,low,close,volume,oi
2025-04-23,35.59,36.61,35.06,36.31,8585924,0
2025-04-24,36.98,36.99,36.2,36.32,265863,0
2025-04-25,36.51,36.94,36.04,36.58,351392,0
2025-04-28,36.91,36.92,36.1,36.46,169072,0
2025-04-29,36.45,37.23,36.43,37.05,316675,0
2025-04-30,37.23,37.4,36.62,36.94,217599,0
2025-05-02,37.3,37.38,36.7,36.99,699835,0
2025-05-05,36.74,37.62,36.69,36.99,197801,0
2025-05-06,37.25,37.31,36.8,36.97,292917,0
2025-05-07,36.99,37.28,36.48,37.1,247462,0
2025-05-08,37.11,37.28,36.79,36.93,70342,0
2025-05-09,36.94,37.12,36.57,36.98,746878,0
2025-05-12,37.26,39.29,37.25,39.25,443872,0
2025-05-13,39.39,39.54,38.51,38.61,328567,0
2025-05-14,38.81,39.24,38.68,39.06,388366,0
2025-05-15,39.01,39.67,38.66,39.52,516538,0
2025-05-16,39.71,39.84,39.05,39.15,415534,0
2025-05-19,39.26,39.26,38.55,38.73,398394,0
2025-05-20,39.0,39.34,38.38,38.42,300321,0
2025-05-21,38.89,38.89,38.13,38.6,71662,0
2025-05-22,38.32,38.41,38.0,38.25,189782,0
2025-05-23,38.32,38.95,38.21,38.51,214018,0
2025-05-26,38.57,38.96,38.57,38.93,122210,0
2025-05-27,38.95,39.19,38.48,38.6,196004,0
2025-05-28,38.89,38.9,38.51,38.56,67029,0
2025-05-29,38.94,39.27,38.7,38.86,67653,0
2025-05-30,38.71,38.71,38.4,38.46,97516,0
2025-06-02,38.46,38.54,38.03,38.26,236608,0
2025-06-03,38.5,38.59,38.0,38.06,190105,0
2025-06-04,38.07,38.37,38.07,38.18,95822,0
2025-06-05,38.37,38.7,38.19,38.43,62143,0
2025-06-06,38.84,38.84,38.2,38.61,188931,0
2025-06-09,38.87,39.11,38.81,38.98,214029,0
2025-06-10,38.98,39.98,38.85,39.66,763358,0
2025-06-11,40.14,40.23,39.56,40.18,301551,0
2025-06-12,40.18,40.38,39.63,39.83,541060,0
2025-06-13,39.55,40.17,39.12,39.85,1055455,0
2025-06-16,40.09,40.64,39.42,40.39,266735,0
2025-06-17,40.52,40.93,40.35,40.75,370943,0
2025-06-18,41.1,41.51,40.36,40.41,150563,0
2025-06-19,40.41,40.78,39.79,40.03,213606,0
2025-06-20,40.03,40.42,39.11,40.34,88728,0
2025-06-23,39.78,40.5,39.13,39.81,233581,0
2025-06-24,40.61,40.61,39.73,39.81,107774,0
2025-06-25,40.8,40.8,40.0,40.43,78652,0
2025-06-26,40.44,40.5,40.17,40.41,133495,0
2025-06-27,40.62,40.71,40.08,40.24,2820832,0
2025-06-30,40.45,40.63,40.0,40.33,174887,0
2025-07-01,40.78,40.78,40.07,40.24,151447,0
2025-07-02,40.32,40.96,40.1,40.28,153819,0
2025-07-03,40.49,40.62,40.2,40.28,68648,0
2025-07-04,40.46,40.59,40.19,40.57,176709,0
2025-07-07,40.57,41.0,40.2,40.26,118927,0
2025-07-08,40.26,40.62,40.1,40.36,98955,0
2025-07-09,40.56,40.81,39.95,40.08,124547,0
2025-07-10,40.08,40.12,39.63,39.82,146280,0
2025-07-11,40.81,40.81,38.9,39.05,935760,0
2025-07-14,40.02,40.02,38.36,38.62,461252,0
2025-07-15,39.05,39.05,38.4,38.78,414629,0
2025-07-16,38.78,39.09,38.59,39.04,113229,0
2025-07-17,39.23,39.37,38.41,38.44,2706094,0
2025-07-18,38.47,38.73,38.35,38.52,360871,0
2025-07-21,39.25,40.37,38.1,38.42,146684,0
2025-07-22,38.61,38.65,38.2,38.26,164780,0
2025-07-23,38.46,38.46,38.15,38.34,116005,0
2025-07-24,38.5,38.5,37.32,37.47,1549627,0
2025-07-25,37.73,37.74,36.89,36.98,566468,0
2025-07-28,36.65,36.98,35.32,36.71,370694,0
2025-07-29,36.89,36.89,36.45,36.76,319318,0
2025-07-30,36.85,36.99,36.65,36.88,144835,0
2025-07-31,35.95,37.29,35.95,36.62,267561,0
2025-08-01,36.51,36.53,35.9,36.09,1442042,0
2025-08-04,36.99,36.99,35.74,36.58,239505,0
2025-08-05,36.92,36.94,36.22,36.42,76244,0
2025-08-06,36.42,36.74,35.71,35.79,191467,0
2025-08-07,35.99,36.17,35.55,36.07,170286,0
2025-08-08,36.25,36.25,35.67,35.75,164487,0
2025-08-11,35.92,35.99,35.6,35.83,112386,0
2025-08-12,35.93,36.97,35.93,36.06,312251,0
2025-08-13,36.25,36.55,35.93,36.05,178916,0
2025-08-14,36.48,36.74,36.15,36.22,261065,0
2025-08-18,36.4,36.88,35.85,36.01,282116,0
2025-08-19,36.37,36.4,35.86,36.03,538302,0
2025-08-20,36.04,37.15,36.04,37.08,405472,0
2025-08-21,37.08,37.54,36.86,37.12,333852,0
2025-08-22,37.12,37.12,36.8,36.84,167805,0
2025-08-25,37.03,37.86,37.03,37.63,360747,0
2025-08-26,37.7,37.74,37.34,37.47,242539,0
2025-08-28,37.65,37.65,36.79,36.85,617902,0
2025-08-29,37.14,37.14,36.5,36.55,101094,0
2025-09-01,36.98,37.15,36.74,37.13,110001,0
2025-09-02,37.14,37.45,36.95,37.11,171794,0
2025-09-03,37.14,37.14,36.7,36.83,188256,0
2025-09-04,37.61,38.18,36.42,36.53,1549696,0
2025-09-05,36.72,36.72,35.7,36.02,286427,0
2025-09-08,36.21,36.96,35.56,35.63,707702,0
2025-09-09,36.35,36.69,36.08,36.6,193213,0
2025-09-10,36.42,37.65,36.36,37.57,438263,0
2025-09-11,37.93,37.93,37.22,37.39,233276,0
2025-09-12,37.58,37.83,37.42,37.48,91669,0
2025-09-15,37.48,37.66,37.13,37.28,118227,0
2025-09-16,37.41,37.65,37.25,37.61,207297,0
2025-09-17,37.78,37.98,37.66,37.82,203945,0
2025-09-18,38.36,38.5,37.65,38.18,215872,0
2025-09-19,38.37,38.37,37.76,38.04,307010,0
2025-09-22,37.79,37.79,36.51,36.91,1872911,0
2025-09-23,37.1,37.25,36.55,36.56,1916835,0
2025-09-24,36.75,36.75,36.2,36.32,309598,0
2025-09-25,36.5,36.5,35.84,35.93,500637,0
2025-09-26,35.81,35.83,34.99,35.03,1153097,0
2025-09-29,35.0,35.52,34.84,35.04,199462,0
2025-09-30,35.21,35.25,34.91,34.98,397242,0
2025-10-01,35.19,35.32,34.75,35.21,241503,0
2025-10-03,35.56,35.56,35.09,35.29,135334,0
2025-10-06,36.09,36.12,35.12,36.04,222353,0
2025-10-07,36.15,36.26,35.83,36.03,139929,0
2025-10-08,36.03,36.75,35.95,36.58,367728,0
2025-10-09,37.49,37.49,36.55,36.98,283370,0
2025-10-10,36.8,37.18,36.61,36.94,421500,0
2025-10-13,36.84,36.93,36.45,36.69,233949,0
2025-10-14,36.66,37.19,36.47,36.53,490802,0
2025-10-15,36.71,36.95,36.55,36.78,166338,0
2025-10-16,36.78,36.99,36.62,36.89,245959,0
2025-10-17,37.07,37.07,36.23,36.36,294482,0
2025-10-20,36.65,36.81,36.55,36.76,225865,0
2025-10-21,36.94,37.19,36.68,36.79,80407,0
2025-10-23,37.64,37.98,36.94,37.58,1749969,0
2025-10-24,37.26,37.8,37.26,37.43,160073,0
2025-10-27,37.61,37.81,37.44,37.59,230067,0
2025-10-28,37.79,37.83,37.33,37.53,232656,0
2025-10-29,37.61,37.9,37.46,37.76,283679,0
2025-10-30,37.75,37.89,37.46,37.59,94181,0
2025-10-31,37.55,37.71,37.3,37.38,97849,0
2025-11-03,37.38,37.41,37.08,37.3,222577,0
2025-11-04,38.23,38.23,36.81,36.91,131182,0
2025-11-06,37.4,37.4,36.87,36.99,359684,0
2025-11-07,37.17,37.17,36.32,36.78,89603,0
2025-11-10,36.95,37.54,36.85,37.36,148769,0
2025-11-11,37.52,37.8,37.33,37.77,141390,0
2025-11-12,37.89,38.6,37.89,38.56,611868,0
2025-11-13,38.75,38.75,38.2,38.4,199914,0
2025-11-14,38.59,38.59,37.68,37.99,196980,0
2025-11-17,38.0,38.1,37.84,38.04,92659,0
2025-11-18,38.01,38.22,37.56,37.64,90881,0
2025-11-19,37.64,38.84,37.64,38.73,400934,0
2025-11-20,38.84,38.97,38.66,38.76,233441,0
2025-11-21,38.65,38.82,38.5,38.54,341459,0
2025-11-24,38.95,39.32,38.67,38.75,412876,0
2025-11-25,38.75,38.75,38.47,38.55,253684,0
