date,open,high,low,close,volume,oi
2025-04-23,37.46,38.27,37.37,38.17,1362062,0
2025-04-24,38.36,38.5,37.92,38.05,406243,0
2025-04-25,38.13,38.73,37.8,38.29,1653213,0
2025-04-28,38.49,38.88,37.85,38.27,534854,0
2025-04-29,37.81,38.97,37.81,38.73,409005,0
2025-04-30,38.75,39.03,38.37,38.61,465862,0
2025-05-02,39.77,39.77,38.5,38.71,1374130,0
2025-05-05,38.98,39.19,38.82,38.87,496048,0
2025-05-06,39.21,39.21,38.63,38.7,310746,0
2025-05-07,38.5,38.84,38.32,38.71,212150,0
2025-05-08,38.76,39.08,38.6,38.79,277894,0
2025-05-09,38.53,38.77,38.29,38.67,411869,0
2025-05-12,38.67,41.35,38.67,41.29,1587541,0
2025-05-13,41.29,41.41,40.31,40.41,1211496,0
2025-05-14,40.56,40.91,40.32,40.84,536156,0
2025-05-15,41.04,41.48,40.49,41.37,3273626,0
2025-05-16,41.3,41.51,40.91,41.09,440915,0
2025-05-19,41.11,41.11,40.5,40.55,752462,0
2025-05-20,40.64,41.0,40.23,40.33,7250828,0
2025-05-21,40.59,40.69,40.11,40.62,1079813,0
2025-05-22,40.62,40.62,39.85,40.08,1730365,0
2025-05-23,40.1,40.82,39.93,40.48,604050,0
2025-05-26,40.68,40.93,40.49,40.9,3321546,0
2025-05-27,40.93,40.98,40.4,40.59,632818,0
2025-05-28,40.98,40.98,40.51,40.54,343267,0
2025-05-29,40.84,41.15,40.68,40.7,4097537,0
2025-05-30,41.92,41.92,40.32,40.39,502316,0
2025-06-02,40.4,40.4,39.84,40.25,999019,0
2025-06-03,40.45,40.56,39.92,39.99,1064655,0
2025-06-04,40.19,40.33,39.99,40.07,324891,0
2025-06-05,40.07,40.59,40.07,40.27,358008,0
2025-06-06,39.26,40.71,39.26,40.48,697825,0
2025-06-09,40.75,41.07,40.61,40.99,898723,0
2025-06-10,40.99,41.86,40.99,41.56,717987,0
2025-06-11,42.37,42.37,41.53,42.16,942618,0
2025-06-12,42.19,42.28,41.59,41.72,542271,0
2025-06-13,40.67,41.94,40.67,41.7,573511,0
2025-06-16,42.9,42.95,41.7,42.5,2563335,0
2025-06-17,42.51,42.9,42.34,42.67,1003036,0
2025-06-18,42.76,42.95,42.27,42.36,213734,0
2025-06-19,42.36,42.41,41.8,41.91,554690,0
2025-06-20,42.23,42.34,41.74,42.27,253761,0
2025-06-23,41.21,42.08,41.21,41.67,479839,0
2025-06-24,42.5,42.5,41.67,41.7,307929,0
2025-06-25,40.65,42.99,40.65,42.35,274577,0
2025-06-26,42.52,42.52,42.05,42.25,504493,0
2025-06-27,42.9,42.9,41.97,42.09,3986985,0
2025-06-30,42.09,42.33,41.84,42.23,524698,0
2025-07-01,43.28,43.28,42.0,42.12,224678,0
2025-07-02,42.2,42.85,42.04,42.14,595170,0
2025-07-03,42.26,42.51,42.2,42.26,342386,0
2025-07-04,42.47,42.53,42.08,42.51,223304,0
2025-07-07,42.57,42.66,42.18,42.26,184520,0
2025-07-08,42.26,42.63,41.96,42.34,152878,0
2025-07-09,41.28,42.75,41.28,42.08,743854,0
2025-07-10,42.08,42.13,41.55,41.76,307058,0
2025-07-11,41.76,41.76,40.86,41.0,517444,0
2025-07-14,39.97,41.09,39.97,40.42,3131349,0
2025-07-15,40.43,40.85,40.2,40.57,4759740,0
2025-07-16,40.7,40.98,40.5,40.88,451839,0
2025-07-17,40.87,41.01,40.3,40.42,668271,0
2025-07-18,40.56,40.79,40.26,40.42,352658,0
2025-07-21,40.49,40.49,40.02,40.3,344809,0
2025-07-22,40.3,40.48,40.13,40.15,453330,0
2025-07-23,40.17,40.41,40.07,40.24,249090,0
2025-07-24,40.11,40.24,39.34,39.38,2680508,0
2025-07-25,39.39,39.51,38.74,38.83,476051,0
2025-07-28,38.53,39.14,38.25,38.6,526086,0
2025-07-29,38.54,38.65,38.31,38.61,499762,0
2025-07-30,38.51,38.77,38.5,38.73,400287,0
2025-07-31,38.8,38.83,38.21,38.4,1614146,0
2025-08-01,39.36,39.36,37.77,37.81,605323,0
2025-08-04,37.85,38.45,37.5,38.41,808053,0
2025-08-05,38.37,38.37,38.02,38.22,258985,0
2025-08-06,38.13,38.17,37.51,37.57,2379000,0
2025-08-07,37.57,38.0,37.35,37.9,298490,0
2025-08-08,37.83,37.91,37.51,37.55,541970,0
2025-08-11,37.59,37.78,37.35,37.71,2921121,0
2025-08-12,37.93,38.27,37.7,37.85,3038392,0
2025-08-13,38.03,38.07,37.7,37.87,541245,0
2025-08-14,38.05,38.49,37.88,38.0,359735,0
2025-08-18,38.49,38.49,37.67,37.8,416823,0
2025-08-19,37.81,38.11,37.7,37.89,416603,0
2025-08-20,38.01,38.94,37.85,38.84,610845,0
2025-08-21,39.3,39.3,38.6,38.85,304550,0
2025-08-22,38.86,38.88,38.59,38.66,296323,0
2025-08-25,39.82,39.82,38.61,39.45,564045,0
2025-08-26,39.41,39.56,39.17,39.2,5725257,0
2025-08-28,39.09,39.33,38.55,38.61,475875,0
2025-08-29,39.57,39.57,38.3,38.33,294566,0
2025-09-01,38.37,38.96,38.37,38.87,546115,0
2025-09-02,40.04,40.04,38.43,38.74,299119,0
2025-09-03,37.77,38.93,37.77,38.68,438013,0
2025-09-04,39.84,39.84,38.3,38.36,401429,0
