date,open,high,low,close,volume,oi
2025-04-23,86.8,86.8,83.4,84.3,104400,0
2025-04-24,84.3,84.95,84.3,84.7,17000,0
2025-04-25,84.7,84.7,83.8,84.05,31600,0
2025-04-28,84.45,84.45,83.0,83.25,56200,0
2025-04-29,84.2,84.4,84.0,84.35,16700,0
2025-04-30,85.65,85.65,82.55,82.8,87800,0
2025-05-02,82.8,82.8,81.05,81.95,34700,0
2025-05-05,82.25,83.85,81.35,83.45,215700,0
2025-05-06,85.4,86.15,85.0,86.0,51700,0
2025-05-07,86.0,86.0,85.15,85.45,242900,0
2025-05-08,85.85,86.0,84.0,84.75,231100,0
2025-05-09,85.5,85.5,84.15,84.45,24300,0
2025-05-12,84.0,84.0,81.2,81.65,110200,0
2025-05-13,82.05,83.1,81.5,82.8,17700,0
2025-05-14,82.7,82.7,82.0,82.4,15400,0
2025-05-15,81.85,81.85,79.25,80.8,74000,0
2025-05-16,81.9,82.7,81.6,81.8,11500,0
2025-05-19,82.15,82.5,81.7,82.35,226800,0
2025-05-20,81.95,82.2,81.3,82.0,19800,0
2025-05-21,83.4,84.1,83.25,83.45,50800,0
2025-05-22,84.2,84.2,83.6,83.8,25000,0
2025-05-23,83.6,83.95,83.3,83.8,12500,0
2025-05-26,84.6,84.6,83.2,83.5,349100,0
2025-05-27,83.95,83.95,83.45,83.55,19500,0
2025-05-28,83.8,84.25,83.35,84.2,16600,0
2025-05-29,83.35,83.35,82.55,82.95,40100,0
2025-05-30,83.35,83.8,83.3,83.75,10400,0
2025-06-02,84.2,85.0,83.75,84.6,41300,0
2025-06-03,86.65,86.65,84.7,85.0,12400,0
2025-06-04,85.0,85.4,84.9,85.4,30400,0
2025-06-05,85.7,85.9,85.2,85.7,29900,0
2025-06-06,86.15,86.15,84.7,85.1,31900,0
2025-06-09,84.65,85.2,83.7,84.05,85100,0
2025-06-10,84.4,84.75,83.85,84.75,29200,0
2025-06-11,84.8,85.0,84.5,84.8,23500,0
2025-06-12,85.3,85.75,85.25,85.4,218200,0
2025-06-13,87.5,88.0,86.9,87.25,282300,0
2025-06-16,89.4,89.4,86.75,86.9,54000,0
2025-06-17,86.75,86.9,85.55,86.35,29100,0
2025-06-18,86.5,87.3,86.5,86.75,11200,0
2025-06-19,88.45,88.45,86.25,86.75,20900,0
2025-06-20,86.65,86.75,85.75,86.15,11700,0
2025-06-23,87.0,87.0,86.5,86.95,32600,0
2025-06-24,86.7,86.7,84.8,84.85,53100,0
2025-06-25,84.85,85.5,84.6,85.15,117200,0
2025-06-26,84.85,85.4,84.85,85.1,124100,0
2025-06-27,83.85,84.1,83.55,83.8,237700,0
2025-06-30,83.85,84.15,83.3,83.9,25400,0
2025-07-01,84.9,85.2,84.1,84.95,48800,0
2025-07-02,85.4,85.4,84.75,85.1,13100,0
2025-07-03,85.15,85.55,84.8,85.05,20400,0
2025-07-04,84.9,85.0,84.6,84.9,7300,0
2025-07-07,85.0,85.0,84.35,84.8,11700,0
2025-07-08,85.2,85.35,84.8,84.8,121700,0
2025-07-09,84.6,84.6,83.8,84.0,16500,0
2025-07-10,84.5,84.9,84.5,84.8,18400,0
2025-07-11,84.65,85.6,84.65,85.35,21300,0
2025-07-14,85.4,86.35,85.4,86.05,233600,0
2025-07-15,88.2,88.2,85.55,85.75,5800,0
2025-07-16,84.75,85.6,84.75,85.4,27500,0
2025-07-17,85.45,85.45,85.0,85.1,9800,0
2025-07-18,85.1,86.0,85.1,85.9,8200,0
2025-07-21,86.05,86.4,85.95,86.15,37100,0
2025-07-22,86.3,87.3,86.3,87.0,26200,0
2025-07-23,87.35,88.15,87.35,87.8,49600,0
2025-07-24,87.5,87.5,85.35,86.25,72800,0
2025-07-25,86.5,86.6,86.2,86.2,312100,0
2025-07-28,86.2,86.2,85.2,85.95,255000,0
2025-07-29,85.9,86.0,85.5,85.95,39600,0
2025-07-30,86.4,86.75,86.2,86.6,67500,0
2025-07-31,85.85,86.35,85.6,86.2,73200,0
2025-08-01,86.2,86.2,85.35,85.7,39400,0
2025-08-04,86.25,87.85,86.25,87.45,33100,0
2025-08-05,87.45,88.5,87.45,87.85,178500,0
2025-08-06,87.85,88.75,87.5,87.7,17700,0
2025-08-07,87.75,88.5,87.75,88.15,16000,0
2025-08-08,88.1,88.65,88.0,88.5,64400,0
2025-08-11,87.9,87.9,87.2,87.25,189700,0
2025-08-12,87.25,87.25,86.9,87.05,41600,0
2025-08-13,87.25,87.45,87.05,87.35,9000,0
2025-08-14,87.3,87.5,86.9,87.3,115900,0
2025-08-18,87.95,87.95,86.6,86.85,93800,0
2025-08-19,86.6,86.7,86.25,86.3,137200,0
2025-08-20,86.35,86.4,85.9,86.1,52900,0
2025-08-21,86.55,86.7,86.25,86.7,20800,0
2025-08-22,86.7,86.8,86.5,86.75,8100,0
2025-08-25,87.2,87.95,87.2,87.65,11600,0
2025-08-26,88.1,88.3,87.7,88.2,85400,0
2025-08-28,88.2,88.6,88.2,88.5,26800,0
2025-08-29,88.8,89.5,88.75,88.95,36500,0
2025-09-01,90.0,91.7,90.0,91.2,66600,0
2025-09-02,91.65,91.7,91.0,91.05,259500,0
2025-09-03,92.0,92.7,92.0,92.7,14200,0
2025-09-04,93.0,93.0,92.15,92.8,25000,0
2025-09-05,92.7,94.7,92.7,93.15,359300,0
2025-09-08,93.85,95.7,93.85,94.55,35800,0
2025-09-09,96.9,96.9,95.0,96.0,46700,0
2025-09-10,96.45,96.45,94.5,95.75,39000,0
2025-09-11,95.5,95.5,94.75,95.05,269900,0
2025-09-12,95.9,96.3,95.25,95.8,490500,0
2025-09-15,94.8,96.2,94.8,95.5,44900,0
2025-09-16,96.5,97.0,96.5,96.85,20500,0
2025-09-17,97.1,97.1,95.35,95.5,467000,0
2025-09-18,96.4,96.75,94.65,96.4,41500,0
2025-09-19,95.8,96.0,95.3,95.8,104400,0
2025-09-22,96.05,98.0,96.05,98.0,250100,0
2025-09-23,97.7,100.4,97.7,100.05,128100,0
2025-09-24,99.5,99.6,99.1,99.3,313400,0
2025-09-25,99.2,102.05,97.55,99.0,261000,0
2025-09-26,98.9,99.0,98.5,98.95,90400,0
2025-09-29,100.3,101.2,99.1,101.1,74200,0
2025-09-30,101.1,102.8,100.2,100.5,176900,0
2025-10-01,100.9,107.25,100.9,103.05,72800,0
2025-10-03,105.65,120.25,103.05,118.55,126500,0
2025-10-06,115.95,122.75,104.0,106.2,877900,0
2025-10-07,106.7,106.7,104.15,104.55,670100,0
2025-10-08,105.0,107.05,105.0,106.9,208400,0
2025-10-09,107.85,109.0,105.3,106.85,143400,0
2025-10-10,106.5,106.5,103.6,105.2,1829800,0
2025-10-13,106.5,108.2,106.5,107.9,103100,0
2025-10-14,109.8,112.0,108.45,110.5,122800,0
2025-10-15,112.5,114.0,110.1,110.45,85600,0
2025-10-16,110.45,112.45,109.3,110.5,68000,0
2025-10-17,113.0,115.0,111.55,114.0,387800,0
2025-10-20,114.0,114.0,109.0,110.5,499200,0
2025-10-21,110.5,112.0,110.5,111.05,23800,0
2025-10-23,109.8,109.8,101.0,106.75,362900,0
2025-10-24,106.75,107.4,103.75,105.4,59400,0
2025-10-27,105.4,106.5,105.0,105.3,46300,0
2025-10-28,105.3,105.3,100.0,100.5,71800,0
2025-10-29,101.0,105.3,101.0,104.85,44500,0
2025-10-30,104.25,104.85,101.85,104.25,49500,0
2025-10-31,104.25,105.7,104.2,105.2,14300,0
2025-11-03,105.75,106.0,104.7,104.75,38700,0
2025-11-04,105.4,105.4,103.8,104.9,21200,0
2025-11-06,104.8,105.0,104.1,104.85,19700,0
2025-11-07,104.8,105.35,104.0,105.3,37200,0
2025-11-10,105.7,107.0,105.7,106.7,28900,0
2025-11-11,108.5,108.8,108.0,108.15,16100,0
2025-11-12,108.0,108.4,106.65,107.7,37100,0
2025-11-13,108.7,110.55,108.7,110.4,28900,0
2025-11-14,110.4,110.9,108.25,108.9,53900,0
2025-11-17,108.1,108.1,105.75,106.75,54000,0
2025-11-18,105.6,106.6,104.35,105.1,859000,0
2025-11-19,106.0,107.95,106.0,107.95,420800,0
2025-11-20,107.6,107.6,106.0,106.15,994200,0
2025-11-21,106.2,107.0,105.55,106.35,60600,0
2025-11-24,106.6,107.55,106.4,107.4,37500,0
2025-11-25,108.6,109.0,108.2,108.3,30700,0
2025-11-26,109.3,109.7,109.0,109.55,27300,0
2025-11-27,108.85,109.75,108.85,109.15,295900,0
2025-11-28,109.35,110.0,109.35,109.55,7300,0
2025-12-01,111.75,112.0,110.5,111.5,42800,0
2025-12-02,111.5,111.8,109.9,110.25,20500,0
2025-12-03,112.0,112.2,111.0,111.4,325500,0
2025-12-04,111.4,112.05,110.6,110.8,8700,0
2025-12-05,111.4,118.6,111.3,112.5,40400,0
2025-12-08,111.9,114.5,111.15,112.2,28400,0
2025-12-09,112.2,112.75,110.7,111.5,30600,0
2025-12-10,112.05,112.05,111.0,111.65,423200,0
2025-12-11,112.2,112.4,111.65,112.4,19900,0
2025-12-12,113.4,118.0,113.25,115.75,48800,0
2025-12-15,116.0,116.9,115.4,116.5,39700,0
2025-12-16,115.95,115.95,114.35,115.1,41600,0
2025-12-17,115.25,116.0,115.25,115.7,45500,0
2025-12-18,116.0,116.4,115.1,115.35,17800,0
2025-12-19,115.35,116.95,114.5,115.55,68700,0
2025-12-22,117.3,117.3,116.25,116.8,617700,0
2025-12-23,117.55,119.5,117.55,119.1,42800,0
2025-12-24,119.9,121.5,118.45,118.75,136900,0
2025-12-26,119.35,120.2,116.6,119.75,75700,0
2025-12-29,122.0,122.0,118.3,118.8,76800,0
2025-12-30,116.0,119.1,114.55,116.25,77000,0
2025-12-31,116.0,116.9,115.25,115.85,46000,0
2026-01-01,115.85,116.7,115.1,115.9,35900,0
2026-01-02,116.8,118.0,116.6,117.9,2428800,0
2026-01-05,117.3,119.9,117.3,118.5,267900,0
2026-01-06,119.3,119.3,118.6,118.7,122800,0
2026-01-07,118.8,119.55,118.05,118.85,37300,0
2026-01-08,118.0,118.0,117.2,117.55,280600,0
2026-01-09,118.3,119.3,118.3,119.1,48500,0
2026-01-12,120.5,122.95,120.5,122.7,1725300,0
2026-01-13,122.3,125.0,122.1,124.65,185200,0
2026-01-14,125.95,125.95,123.35,124.3,250600,0
2026-01-16,124.3,124.3,121.75,123.9,267400,0
2026-01-19,124.5,126.5,124.4,125.95,126900,0
