date,open,high,low,close,volume,oi
2025-04-23,411.5,413.5,404.5,410.3,1885266,0
2025-04-24,408.25,412.25,406.4,407.55,1071698,0
2025-04-25,409.5,414.5,393.85,395.6,2405682,0
2025-04-28,395.0,403.5,393.6,401.85,1748314,0
2025-04-29,402.5,407.1,399.1,400.2,1340534,0
2025-04-30,400.0,404.4,395.0,397.9,1597290,0
2025-05-02,396.9,403.05,395.15,396.1,1412872,0
2025-05-05,396.6,410.4,396.6,408.7,2330914,0
2025-05-06,408.7,409.85,391.2,392.2,2547892,0
2025-05-07,387.5,395.3,387.1,393.0,3027520,0
2025-05-08,394.0,398.9,389.0,390.9,2026672,0
2025-05-09,380.0,394.7,380.0,393.5,2218558,0
2025-05-12,400.9,408.45,400.6,407.7,2774654,0
2025-05-13,407.75,416.0,406.5,413.2,2377972,0
2025-05-14,413.2,419.85,410.2,411.1,2400978,0
2025-05-15,411.1,421.2,409.9,420.15,2485336,0
2025-05-16,421.5,430.9,419.5,428.5,3996110,0
2025-05-19,428.5,432.8,426.65,427.5,2108570,0
2025-05-20,428.0,436.5,423.8,425.35,2806388,0
2025-05-21,425.0,428.9,423.5,426.9,1520342,0
2025-05-22,425.5,426.5,420.0,422.85,1291500,0
2025-05-23,426.5,431.4,423.5,430.1,1691642,0
2025-05-26,432.5,436.85,432.05,435.0,1932494,0
2025-05-27,436.5,436.5,430.75,435.6,2860568,0
2025-05-28,446.0,474.0,444.0,471.0,46066568,0
2025-05-29,471.75,477.3,464.5,472.2,9262820,0
2025-05-30,470.75,478.9,467.1,477.2,5522706,0
2025-06-02,477.0,483.2,473.2,481.2,5131030,0
2025-06-03,480.5,484.1,475.0,476.8,2717844,0
2025-06-04,477.3,478.7,473.45,476.6,2650180,0
2025-06-05,476.6,480.7,475.3,478.3,2120814,0
2025-06-06,477.8,480.5,475.9,479.9,2097906,0
2025-06-09,479.95,486.7,479.3,481.45,3288882,0
2025-06-10,481.75,485.5,472.85,473.7,2982042,0
2025-06-11,475.0,484.25,473.9,482.4,4101828,0
2025-06-12,482.4,482.5,471.0,471.85,2028820,0
2025-06-13,466.5,471.5,460.6,469.0,2031298,0
2025-06-16,467.5,475.5,464.75,474.7,1885816,0
2025-06-17,473.0,477.0,471.6,473.7,1300068,0
2025-06-18,471.5,475.0,466.5,467.3,1919986,0
2025-06-19,467.0,471.85,461.3,463.95,1483432,0
2025-06-20,463.9,471.0,462.1,468.3,1757816,0
2025-06-23,464.0,474.5,463.7,470.0,1598430,0
2025-06-24,474.15,477.45,471.5,472.8,2484576,0
2025-06-25,473.5,476.95,472.05,475.55,1803804,0
2025-06-26,475.55,479.6,473.15,478.8,2799626,0
2025-06-27,479.0,481.1,475.25,478.85,1478610,0
2025-06-30,478.85,490.0,478.6,486.4,4874694,0
2025-07-01,488.5,488.95,481.3,485.5,1809164,0
2025-07-02,483.5,485.5,476.4,479.0,1442644,0
2025-07-03,479.0,480.75,472.45,473.0,1827586,0
2025-07-04,472.5,476.9,467.0,470.35,1574060,0
2025-07-07,470.35,473.5,469.0,471.85,929260,0
2025-07-08,471.85,474.5,470.45,473.4,1080982,0
2025-07-09,473.4,476.5,472.3,473.0,964760,0
2025-07-10,468.5,471.0,460.5,463.3,3970614,0
2025-07-11,463.3,467.0,460.25,461.2,1204148,0
2025-07-14,460.3,460.85,456.0,458.2,1686322,0
2025-07-15,458.2,463.5,458.2,462.6,819566,0
2025-07-16,463.75,466.8,462.6,466.3,1076740,0
2025-07-17,466.5,467.9,463.5,464.1,804800,0
2025-07-18,464.1,466.4,460.15,461.6,622432,0
2025-07-21,460.0,465.0,458.8,464.1,916670,0
2025-07-22,464.55,466.35,458.15,459.5,961168,0
2025-07-23,461.25,462.7,457.35,461.0,1250676,0
2025-07-24,461.0,462.7,455.0,458.5,963704,0
2025-07-25,455.0,455.0,441.05,443.4,2446204,0
2025-07-28,440.55,449.45,440.0,445.4,1960922,0
2025-07-29,444.5,451.5,443.3,449.5,1060324,0
2025-07-30,449.5,453.5,449.5,451.0,1175664,0
2025-07-31,448.0,448.5,444.1,447.5,1167284,0
2025-08-01,447.5,450.1,440.85,442.4,1765202,0
2025-08-04,440.0,448.75,439.0,447.65,1637390,0
2025-08-05,445.0,449.55,445.0,446.1,909364,0
2025-08-06,445.0,451.0,444.0,446.4,1382160,0
2025-08-07,447.45,448.15,437.0,442.5,1108424,0
2025-08-08,452.5,463.55,452.0,456.5,9063678,0
2025-08-11,457.0,458.4,446.05,453.2,2641120,0
2025-08-12,452.5,464.0,451.95,458.25,2568668,0
2025-08-13,458.0,460.5,440.6,443.75,3053392,0
2025-08-14,445.0,447.3,442.5,443.9,1523884,0
2025-08-18,454.8,457.6,444.2,445.1,2668168,0
2025-08-19,445.5,448.15,441.5,447.15,2320288,0
2025-08-20,446.4,450.65,445.35,449.7,865994,0
2025-08-21,458.5,458.5,443.3,447.8,3688914,0
2025-08-22,447.8,450.4,443.0,444.55,1511960,0
2025-08-25,445.5,447.8,443.75,447.0,1243254,0
2025-08-26,445.6,447.25,442.5,444.2,2061458,0
2025-08-28,443.5,444.8,433.0,434.75,1806666,0
2025-08-29,434.45,435.15,425.05,426.1,1852488,0
2025-09-01,426.9,432.5,426.1,429.6,1569462,0
2025-09-02,431.7,434.4,428.0,432.1,1001708,0
2025-09-03,434.2,436.5,433.0,435.35,1297360,0
2025-09-04,455.0,455.0,436.7,439.05,5375836,0
2025-09-05,439.8,441.1,432.6,438.7,1980504,0
2025-09-08,439.45,441.1,435.8,438.3,969786,0
2025-09-09,437.5,439.95,436.3,437.35,1166140,0
2025-09-10,437.35,440.0,437.35,438.8,1092362,0
2025-09-11,439.0,439.6,435.7,438.55,1940056,0
2025-09-12,437.6,439.4,436.7,437.4,1917168,0
2025-09-15,438.0,443.0,437.6,441.85,2226230,0
2025-09-16,441.0,444.5,439.3,441.3,1754066,0
2025-09-17,441.5,444.0,441.05,442.7,1329516,0
2025-09-18,444.5,446.5,443.4,444.7,1292596,0
2025-09-19,445.1,449.9,445.1,446.8,2946732,0
2025-09-22,446.8,456.9,446.5,452.25,5180326,0
2025-09-23,452.2,454.3,448.2,448.8,4897654,0
2025-09-24,448.8,451.05,446.2,447.1,1106720,0
2025-09-25,445.25,449.1,442.0,444.1,2139186,0
2025-09-26,443.8,443.8,435.3,436.2,999840,0
2025-09-29,436.2,448.25,436.1,447.5,1744730,0
2025-09-30,448.5,453.5,446.3,450.2,2154662,0
2025-10-01,450.2,455.0,447.8,452.05,2568920,0
2025-10-03,452.05,456.4,450.35,452.6,1783412,0
2025-10-06,450.0,455.7,449.25,453.6,2805796,0
2025-10-07,453.6,460.3,453.55,456.2,2372944,0
2025-10-08,455.5,456.3,445.1,446.9,2543264,0
2025-10-09,446.9,448.85,444.55,447.6,1386546,0
2025-10-10,447.5,453.7,445.65,448.9,1631172,0
2025-10-13,446.05,451.05,445.05,448.6,1077734,0
2025-10-14,449.5,453.0,447.5,451.0,3153192,0
2025-10-15,450.45,454.0,448.7,449.5,1149924,0
2025-10-16,449.5,451.75,445.75,447.1,1531566,0
2025-10-17,447.1,448.8,442.05,442.75,1122030,0
2025-10-20,444.0,448.85,443.4,445.9,746990,0
2025-10-21,445.0,447.35,445.0,446.05,228400,0
2025-10-23,446.5,452.45,446.5,450.0,2899082,0
2025-10-24,451.35,451.5,442.5,444.8,1135316,0
2025-10-27,443.6,450.4,442.8,448.8,1742184,0
2025-10-28,448.8,460.3,447.8,449.95,5037718,0
2025-10-29,449.5,458.45,449.5,454.4,3299394,0
2025-10-30,455.4,455.4,448.55,450.4,1512770,0
2025-10-31,448.6,450.5,445.15,447.35,2559480,0
2025-11-03,447.35,461.5,447.35,459.95,5933338,0
2025-11-04,462.5,462.5,451.05,452.85,3938402,0
2025-11-06,451.05,453.3,446.1,448.05,2407054,0
2025-11-07,455.0,468.5,447.55,462.1,15399360,0
2025-11-10,463.45,465.95,449.0,449.85,6409592,0
2025-11-11,452.0,452.4,447.5,450.3,4064832,0
2025-11-12,451.6,454.9,449.1,450.1,4987378,0
2025-11-13,450.25,454.2,444.1,451.4,6734498,0
2025-11-14,450.0,455.4,448.8,454.7,1660810,0
2025-11-17,454.7,458.3,454.1,457.7,1853980,0
2025-11-18,457.7,460.3,453.3,457.75,2577406,0
2025-11-19,457.75,460.5,455.25,457.0,1847726,0
2025-11-20,457.5,460.0,453.0,454.15,2602280,0
2025-11-21,454.5,455.0,449.6,451.2,3307168,0
2025-11-24,451.2,452.1,444.1,447.5,2273820,0
2025-11-25,446.05,450.4,445.75,448.8,2219090,0
2025-11-26,448.5,450.95,446.8,447.4,1695090,0
2025-11-27,448.0,451.0,445.6,450.1,3376454,0
2025-11-28,450.0,451.5,446.6,447.2,2072780,0
2025-12-01,448.5,449.9,440.1,441.05,2131396,0
2025-12-02,442.5,445.8,441.0,441.95,2444032,0
2025-12-03,442.5,444.3,433.15,434.0,3488504,0
2025-12-04,435.9,438.8,434.25,438.3,1222074,0
2025-12-05,437.5,438.45,433.0,434.95,2165570,0
2025-12-08,435.5,437.0,426.8,428.8,2619446,0
2025-12-09,428.0,431.3,421.7,430.5,1838812,0
2025-12-10,429.0,433.4,428.65,429.5,958474,0
2025-12-11,428.5,432.0,426.75,429.2,1981114,0
2025-12-12,432.5,435.0,430.6,433.8,1027366,0
2025-12-15,432.0,433.1,427.75,428.45,1520026,0
2025-12-16,430.0,430.0,425.15,427.25,2528974,0
2025-12-17,429.5,429.5,421.55,422.3,1411092,0
2025-12-18,423.0,424.95,417.9,423.7,8408104,0
2025-12-19,423.7,426.6,422.95,426.0,1487870,0
2025-12-22,426.0,429.75,424.45,428.7,962110,0
2025-12-23,428.7,429.7,427.0,427.7,2287094,0
2025-12-24,427.7,429.0,425.75,426.95,988108,0
2025-12-26,425.05,425.7,422.4,424.9,1407316,0
2025-12-29,423.05,427.25,420.1,421.1,1280810,0
2025-12-30,420.6,425.2,419.3,424.6,2164614,0
2025-12-31,423.3,429.7,423.0,427.45,899758,0
2026-01-01,427.5,429.7,425.8,426.4,481890,0
2026-01-02,426.6,431.0,425.6,430.4,1155554,0
2026-01-05,429.25,431.8,421.85,423.1,4168662,0
2026-01-06,424.0,429.3,424.0,425.0,1938260,0
2026-01-07,425.0,427.2,422.8,426.0,1762844,0
2026-01-08,425.05,425.65,417.55,418.9,1721098,0
2026-01-09,419.0,421.2,413.25,414.5,2235198,0
2026-01-12,414.5,418.4,411.5,416.05,1713932,0
2026-01-13,416.55,419.45,412.9,415.9,1309450,0
2026-01-14,415.0,416.4,412.25,413.35,1129766,0
2026-01-16,413.35,415.4,409.45,410.2,1420378,0
2026-01-19,409.0,411.1,403.35,404.9,2034722,0
2026-01-20,404.9,410.45,402.5,404.6,1948960,0
2026-01-21,404.5,406.9,401.3,404.8,2266090,0
2026-01-22,405.35,412.1,404.6,409.65,4041946,0
2026-01-23,411.0,413.65,400.05,401.2,1554458,0
2026-01-27,402.45,405.0,398.8,403.9,1921988,0
2026-01-28,404.45,412.5,404.35,411.1,1267534,0
2026-01-29,411.0,413.5,408.15,410.5,1061708,0
2026-01-30,408.45,417.45,406.6,412.25,1439724,0
2026-02-01,415.3,415.3,397.9,399.5,1685860,0
2026-02-02,400.0,403.5,394.2,401.1,2130904,0
2026-02-03,411.5,421.5,411.1,419.15,4413136,0
2026-02-04,420.0,420.7,415.4,417.65,1236242,0
2026-02-05,417.75,421.0,415.7,419.9,1344790,0
2026-02-06,423.7,453.75,423.7,450.9,31639860,0
2026-02-09,451.0,454.0,442.1,447.7,4648224,0
2026-02-10,449.5,451.4,444.35,445.85,2215602,0
2026-02-11,440.5,443.5,432.5,437.65,4060706,0
2026-02-12,438.2,441.15,436.0,440.5,2310858,0
2026-02-13,436.2,438.5,428.1,431.2,1750054,0
2026-02-16,431.2,435.4,426.8,434.6,1433834,0
2026-02-17,434.4,439.75,432.0,437.05,1345064,0
2026-02-18,437.8,440.45,435.4,439.35,1100504,0
2026-02-19,439.35,441.25,430.5,432.1,1223766,0
2026-02-20,432.1,438.5,430.85,436.65,1060254,0
2026-02-23,438.0,442.9,436.8,441.6,2150666,0
2026-02-24,441.0,443.0,436.0,441.0,2767354,0
2026-02-25,443.5,448.25,436.3,437.4,2706696,0
2026-02-26,438.0,439.5,432.6,435.4,1481174,0
2026-02-27,435.4,435.4,422.5,424.7,2177048,0
2026-03-02,412.0,422.5,411.1,421.0,2666370,0
2026-03-04,411.55,416.2,409.0,414.0,2420672,0
2026-03-05,415.5,420.0,411.45,416.5,2207700,0
2026-03-06,415.5,417.4,410.2,411.15,1434420,0
2026-03-09,403.5,406.5,396.6,402.7,2804324,0
2026-03-10,407.6,412.4,403.9,410.7,2057588,0
2026-03-11,410.5,413.7,400.05,401.2,1408504,0
2026-03-12,399.95,404.0,395.8,398.3,1511420,0
2026-03-13,396.5,399.0,385.05,386.35,2499568,0
2026-03-16,385.0,392.45,379.55,388.7,2442612,0
2026-03-17,390.5,391.2,387.7,388.9,1385998,0
2026-03-18,390.0,395.0,388.95,392.9,2328366,0
2026-03-19,387.0,388.95,381.25,383.0,1843922,0
2026-03-20,387.0,389.7,384.9,388.4,2091196,0
2026-03-23,383.0,384.45,368.5,370.0,2631002,0
2026-03-24,379.4,381.5,370.2,379.35,2055704,0
2026-03-25,382.0,392.3,381.8,390.55,2462134,0
2026-03-27,387.5,387.5,380.05,382.8,11354128,0
2026-03-30,380.0,380.0,361.3,362.8,6348214,0
2026-04-01,372.5,379.0,368.3,373.0,2923536,0
2026-04-02,369.0,369.0,360.75,367.4,3149234,0
2026-04-06,368.0,373.5,363.7,372.5,2191042,0
2026-04-07,372.5,372.5,366.5,371.6,1788720,0
2026-04-08,390.0,401.8,386.75,396.85,9052266,0
2026-04-09,398.35,399.5,393.15,396.7,3722952,0
2026-04-10,400.3,407.2,398.05,399.2,5018798,0
2026-04-13,397.35,405.0,390.9,401.8,4772460,0
2026-04-15,415.0,422.35,412.3,421.1,9442538,0
2026-04-16,425.8,428.2,419.0,420.8,4968048,0
2026-04-17,420.95,423.0,417.6,421.1,2689066,0
2026-04-20,421.1,421.1,413.1,414.05,3302870,0
2026-04-21,413.5,416.25,411.55,412.05,2557530,0
2026-04-22,412.05,413.35,409.65,410.25,2255716,0
2026-04-23,409.0,410.3,405.3,405.8,1740374,0
2026-04-24,406.0,408.7,402.0,405.5,1736534,0
2026-04-27,407.0,410.5,406.2,409.75,2168062,0
2026-04-28,409.0,411.45,407.5,408.85,3259634,0
2026-04-29,413.3,413.3,405.5,406.2,2186354,0
2026-04-30,405.5,406.0,398.1,398.95,2459440,0
2026-05-04,402.75,403.75,398.1,401.0,1952854,0
2026-05-05,400.0,400.85,398.5,399.6,1206994,0
2026-05-06,402.0,404.45,399.2,403.6,2867990,0
2026-05-07,405.0,407.9,401.6,405.6,2607670,0
2026-05-08,405.0,405.0,400.3,401.1,1926806,0
2026-05-11,400.0,403.4,397.5,399.2,3472092,0
2026-05-12,399.25,399.9,389.7,390.4,2868814,0
2026-05-13,390.6,396.5,388.0,393.5,1765760,0
2026-05-14,394.1,404.4,394.1,402.5,2871500,0
2026-05-15,405.0,407.85,398.35,399.6,2796790,0
2026-05-18,397.9,397.9,388.85,395.7,1886626,0
2026-05-19,396.5,404.5,396.5,401.75,1347980,0
2026-05-20,401.4,403.8,398.15,400.3,3138790,0
2026-05-21,404.0,406.0,399.45,400.1,8147150,0
2026-05-22,417.5,419.5,404.8,406.5,37606972,0
2026-05-25,413.9,423.25,410.7,418.7,9892270,0
2026-05-26,420.85,428.55,417.1,427.45,8146676,0
2026-05-27,427.5,427.5,409.4,415.0,11287600,0
2026-05-29,417.6,421.45,410.0,411.35,5247712,0
2026-06-01,413.4,414.35,403.6,404.85,4106271,0
2026-06-02,401.0,403.25,397.1,400.7,3873835,0
2026-06-03,400.7,404.8,397.5,402.9,4244501,0
2026-06-04,400.5,401.5,396.6,398.65,3174167,0
2026-06-05,395.9,403.0,395.1,399.9,3180615,0
2026-06-08,395.0,399.95,392.2,395.5,3226124,0
2026-06-09,396.65,404.75,396.15,403.9,3137828,0
2026-06-10,404.1,406.2,395.0,395.95,2722258,0
2026-06-11,393.2,396.1,391.55,393.2,2234212,0
2026-06-12,396.1,399.8,393.15,399.35,2044734,0
2026-06-15,403.0,409.9,403.0,405.7,2896817,0
2026-06-16,408.4,413.2,406.7,411.0,3630392,0
2026-06-17,410.5,419.15,408.6,418.15,4156009,0
2026-06-18,419.7,437.9,418.7,430.0,10970744,0
2026-06-19,430.8,450.2,430.05,440.15,12106383,0
2026-06-22,446.1,446.1,438.5,442.4,4709990,0
2026-06-23,432.65,438.5,427.2,430.05,6442829,0
2026-06-24,430.0,432.4,423.5,426.6,6122691,0
2026-06-25,423.0,429.85,420.4,423.35,6397374,0
2026-06-29,421.0,432.35,421.0,431.25,4278076,0
2026-06-30,433.4,436.25,428.25,431.65,4056374,0
2026-07-01,433.05,440.0,431.0,434.7,3542657,0
2026-07-02,434.7,435.55,430.05,432.1,1767476,0
2026-07-03,432.5,434.45,429.0,430.25,1622268,0
2026-07-06,430.0,434.65,428.05,429.1,1483509,0
2026-07-07,428.7,437.95,428.7,435.4,3555151,0
2026-07-08,434.8,440.75,425.4,427.9,3990127,0
2026-07-09,427.9,440.9,427.4,438.45,3344176,0
2026-07-10,440.0,446.0,437.2,443.05,3238469,0
2026-07-13,440.0,442.95,438.0,441.3,1065724,0
