date,open,high,low,close,volume,oi
2025-04-23,90.5,91.15,86.7,87.9,468400,0
2025-04-24,87.9,88.4,86.35,87.15,361400,0
2025-04-25,87.15,87.65,86.5,87.25,109200,0
2025-04-28,87.35,87.9,86.15,86.25,363900,0
2025-04-29,86.35,87.6,86.2,87.2,83100,0
2025-04-30,87.5,87.7,86.15,86.7,411400,0
2025-05-02,86.7,86.7,83.95,84.65,393600,0
2025-05-05,84.9,87.2,84.9,86.9,450000,0
2025-05-06,87.5,90.3,87.3,89.35,451300,0
2025-05-07,89.9,90.4,88.5,88.7,316000,0
2025-05-08,89.15,89.45,87.5,88.3,776800,0
2025-05-09,88.3,88.6,86.65,88.05,177800,0
2025-05-12,87.5,87.7,84.6,84.85,255500,0
2025-05-13,85.25,86.1,84.1,85.75,387100,0
2025-05-14,85.3,85.85,84.75,85.75,37100,0
2025-05-15,85.0,85.2,83.25,83.75,504900,0
2025-05-16,84.15,85.2,84.15,84.9,112900,0
2025-05-19,85.9,85.9,84.9,85.05,347000,0
2025-05-20,84.9,85.3,84.3,85.1,50100,0
2025-05-21,85.75,86.7,85.7,86.25,119900,0
2025-05-22,86.95,87.5,86.7,87.05,459900,0
2025-05-23,87.05,87.5,86.5,86.85,473100,0
2025-05-26,86.7,87.0,86.2,86.8,65500,0
2025-05-27,87.4,87.4,86.5,86.6,437900,0
2025-05-28,86.6,87.0,86.3,86.75,62100,0
2025-05-29,86.2,86.4,85.8,86.15,50200,0
2025-05-30,86.4,86.9,86.2,86.4,444100,0
2025-06-02,86.9,88.05,86.8,87.8,68000,0
2025-06-03,86.8,88.4,86.8,88.1,310900,0
2025-06-04,88.55,88.7,88.2,88.3,269200,0
2025-06-05,88.75,88.9,88.05,88.75,83600,0
2025-06-06,88.95,88.95,88.2,88.45,327100,0
2025-06-09,87.9,88.2,87.1,87.5,350500,0
2025-06-10,89.7,89.7,86.65,87.75,78700,0
2025-06-11,87.75,88.5,87.75,87.8,277000,0
2025-06-12,89.2,89.2,88.1,88.45,74700,0
2025-06-13,90.0,90.85,90.0,90.7,161000,0
2025-06-16,91.95,91.95,90.2,90.85,391700,0
2025-06-17,90.85,90.85,89.3,89.65,100300,0
2025-06-18,89.65,90.85,89.15,90.55,390000,0
2025-06-19,90.55,90.7,89.1,89.85,374700,0
2025-06-20,89.85,89.85,89.25,89.5,199600,0
2025-06-23,90.95,90.95,89.5,90.15,302100,0
2025-06-24,89.5,89.9,87.85,88.15,225200,0
2025-06-25,88.6,88.8,88.1,88.4,255900,0
2025-06-26,88.4,89.0,88.15,88.5,278000,0
2025-06-27,88.55,88.55,86.8,86.9,150300,0
2025-06-30,87.2,89.95,86.45,87.3,387500,0
2025-07-01,89.45,89.45,87.55,88.15,69000,0
2025-07-02,88.45,88.5,88.0,88.5,220800,0
2025-07-03,90.7,90.7,88.05,88.25,71300,0
2025-07-04,88.7,88.7,87.8,88.2,213600,0
2025-07-07,88.5,90.3,87.55,89.25,590000,0
2025-07-08,89.3,89.3,88.3,88.55,568200,0
2025-07-09,88.6,88.6,87.2,87.35,514500,0
2025-07-10,88.1,88.45,87.55,88.3,403000,0
2025-07-11,89.15,89.2,88.3,88.55,293900,0
2025-07-14,89.2,89.75,88.75,89.55,474900,0
